id,WisMDW200704050
info,visteam,PeoMDW
info,hometeam,WisMDW
info,date,2007/04/05
start,501865,Matt Camp,0,1,4
start,444566,Valerio Heredia,0,2,8
start,453341,Joshua Lansford,0,3,5
start,444453,Russell Canzler,0,4,3
start,448293,Alfred Joseph,0,5,7
start,445175,Yusuf Carter,0,6,9
start,489004,Dylan Johnston,0,7,6
start,453183,DJ Lewis,0,8,10
start,456078,Welington Castillo,0,9,2
start,453253,William Muldowney,0,0,1
start,501799,Gavin Dickey,1,1,8
start,508892,Carlos Triunfel,1,2,6
start,471897,Gregory Halman,1,3,9
start,462973,Gerardo Avila,1,4,3
start,499926,Alex Liddi,1,5,5
start,493101,Kuo Hui Lo,1,6,7
start,511628,Kalian Sams,1,7,10
start,468475,Jair Fernandez,1,8,2
start,451715,Luis Nunez,1,9,4
start,493564,Ricky Orta,1,0,1
play,1,0,501865,,,W
play,1,0,placeholder,,,PO1(E?).1-3
play,1,0,444566,,,K
play,1,0,453341,,,W
play,1,0,444453,,,W.1-2
play,1,0,448293,,,S9/F.1-2;2-3;3-H,160.64,133.53
play,1,0,445175,,,S1/G.1-2;2-3;3-H,117.47,191.77
play,1,0,489004,,,S4/G.1-2;2-3;3-H,135.54,176.71
play,1,0,453183,,,S7/G.1-2;2-H;3-H,82.33,129.52
play,1,0,456078,,,W.1-2;2-3
play,1,0,501865,,,FC4/G.1X2(46);2-H;3-H;B-3(E6/TH),144.58,171.69
play,1,0,444566,,,K
play,1,1,501799,,,3/G,144.58,183.73
play,1,1,508892,,,6/P,104.42,166.67
play,1,1,471897,,,K
play,2,0,453341,,,NP
sub,502532,Joseph Kantakevich,1,0,1
play,2,0,453341,,,9/F,169.68,138.55
play,2,0,444453,,,K
play,2,0,448293,,,43/G,141.57,172.69
play,2,1,462973,,,S9/L,166.67,128.51
play,2,1,499926,,,9/F,164.66,138.55
play,2,1,493101,,,D7/F.1-H,78.31,118.47
play,2,1,511628,,,T8/F.2-H,123.49,91.37
play,2,1,468475,,,FC5.3XH(52),108.43,185.74
play,2,1,451715,,,K
play,3,0,445175,,,9/F,173.69,127.51
play,3,0,489004,,,43/G,143.57,171.69
play,3,0,453183,,,4/P,142.57,173.69
play,3,1,501799,,,D7/G,70.28,121.49
play,3,1,508892,,,S8/G.2-H,128.51,113.45
play,3,1,471897,,,K
play,3,1,462973,,,K
play,3,1,499926,,,SB2+PB.2-3
play,3,1,499926,,,K
play,4,0,456078,,,63/G,110.44,168.67
play,4,0,501865,,,S4/G,148.59,176.71
play,4,0,444566,,,K
play,4,0,453341,,,SB2
play,4,0,444453,,,PO2(E?).2-3
play,4,0,453341,,,53/G,106.43,184.74
play,4,1,493101,,,63/G,114.46,165.66
play,4,1,511628,,,K
play,4,1,468475,,,S5/G.B-2(E5/TH),104.42,183.73
play,4,1,451715,,,S6/G.2-3,115.46,175.70
play,4,1,501799,,,WP.1-2
play,4,1,501799,,,K
play,5,0,444453,,,NP
