id,TreEL200607280
info,visteam,AkrEL
info,hometeam,TreEL
info,date,2006/07/28
play,7,0,435626,,,43/G
play,7,1,455167,,,NP
sub,459401,Jeff Petersen,0,0,1
play,7,1,455167,,,63/G
play,7,1,435408,,,K
play,7,1,460652,,,K
play,8,0,455723,,,6/L
play,8,0,435625,,,7/F
play,8,0,452245,,,13/G
play,8,1,450363,,,8/F
play,8,1,451629,,,S5/G
play,8,1,447670,,,SB2
play,8,1,447670,,,K
play,8,1,451668,,,K
play,9,0,447800,,,D7/L
play,9,0,452269,,,NP
sub,454536,Randy Walter,0,5,12
play,9,0,452269,,,53/SH.2-3
play,9,0,448170,,,IW
play,9,0,430653,,,4/P
play,9,0,430929,,,BK.1-2;3-H
play,9,0,430929,,,9/F
play,9,1,455369,,,NP
sub,461213,Joe Bateman,0,0,1
play,9,1,435405,,,NP
sub,454536,Randy Walter,0,5,10
play,9,1,455369,,,K
play,9,1,435405,,,NP
sub,446858,Kevin Howard,1,3,11
play,9,1,446858,,,53/G
play,9,1,455167,,,D9/L
play,9,1,435408,,,NP
sub,425479,Vince Faison,1,4,12
play,9,1,435408,,,S9/G.2-H
play,9,1,460652,,,K
play,10,0,435626,,,NP
sub,446858,Kevin Howard,1,3,10
play,10,0,455723,,,NP
sub,457499,Tom Rojas,1,4,3
play,10,0,435625,,,NP
sub,455943,Paul Thorp,1,0,1
play,10,0,435626,,,K
play,10,0,455723,,,5/L
play,10,0,435625,,,S8/G
play,10,0,452245,,,D7/F.1-H
play,10,0,454536,,,K
play,10,1,450363,,,NP
sub,457910,Eugene Espineli,0,0,1
play,10,1,450363,,,9/F
play,10,1,451629,,,K
play,10,1,447670,,,W
play,10,1,451668,,,W.1-2
play,10,1,455369,,,NP
sub,452724,Billy Sadler,0,0,1
play,10,1,455369,,,K
id,TreEL200604140
info,visteam,ConEL
info,hometeam,TreEL
info,date,2006/04/14
start,435626,Clay Timpner,0,1,8
start,455723,Derin McMains,0,2,4
start,435625,Nate Schierholtz,0,3,9
start,452245,Eddy Martinez-Esteve,0,4,7
start,447800,Tyler Von Schell,0,5,10
start,448170,Travis Ishikawa,0,6,3
start,452269,Aaron Sisk,0,7,5
start,430653,Justin Knoedler,0,8,2
start,430929,Jake Wald,0,9,6
start,456043,Jonathan Sanchez,0,0,1
start,451668,Gabe Lopez,1,1,4
start,455369,Ramiro Pena,1,2,6
start,446858,Kevin Howard,1,3,5
start,455167,Shelley Duncan,1,4,3
start,435408,Omir Santos,1,5,2
start,435405,Caonabo Cosme,1,6,10
start,450363,Bronson Sardinha,1,7,9
start,451629,Justin Christian,1,8,8
start,460652,Rudy Guillen,1,9,7
start,425428,Jorge De Paula,1,0,1
play,1,0,435626,,,5/P
play,1,0,455723,,,K
play,1,0,435625,,,7/F
play,1,1,451668,,,K
play,1,1,455369,,,K23
play,1,1,446858,,,K
play,2,0,452245,,,E3
play,2,0,447800,,,64(1)3/GDP/G6
play,2,0,448170,,,4/P
play,2,1,455167,,,K
play,2,1,435408,,,8/F
play,2,1,435405,,,43/G
play,3,0,452269,,,53/G
play,3,0,430653,,,K
play,3,0,430929,,,K
play,3,1,450363,,,K
play,3,1,451629,,,K
play,3,1,460652,,,8/F
play,4,0,435626,,,3/G
play,4,0,455723,,,5/PF
play,4,0,435625,,,S7/L
