id,BoiNWL200606220
info,visteam,EugNWL
info,hometeam,BoiNWL
info,date,2006/06/22
play,5,0,459945,,,NP
sub,462929,Jose Martinez,1,0,1
play,5,0,459945,,,HR/F
play,5,0,464991,,,HR/F
play,5,0,464368,,,S8/G
play,5,0,450600,,,7/F
play,5,0,453319,,,S5/G.1-2
play,5,0,502423,,,4(1)3/G4/GDP
play,5,1,444453,,,NP
sub,446603,Aaron Breit,0,0,1
play,5,1,444453,,,D7/L
play,5,1,453341,,,31/G.2-3
play,5,1,501830,,,S9/G.3-H
play,5,1,469196,,,K
play,5,1,501865,,,FC4/G.1X2(4)
play,6,0,453245,,,S8/G
play,6,0,453327,,,FC4/G.1X2(4);B-1
play,6,0,489322,,,53/G.1-2
play,6,0,459945,,,63/G
play,6,1,502182,,,43/G
play,6,1,448293,,,S9/G
play,6,1,453183,,,D9/L.1-3
play,6,1,467061,,,K
play,6,1,444453,,,W
play,6,1,453341,,,NP
sub,455358,Riki Paewai,0,0,1
play,6,1,453341,,,S7/L.1-2;2-H;3-H
play,6,1,501830,,,K
play,7,0,464991,,,NP
sub,471082,Oscar Bernard,1,0,1
play,7,0,464991,,,D7/L
play,7,0,464368,,,53/G.2-3
play,7,0,450600,,,PB.3-H
play,7,0,450600,,,S8/G
play,7,0,453319,,,S9/G.1-2
play,7,0,502423,,,S9/G.1-2;2-3
play,7,0,453245,,,FC3/G.1X2(36);2-3;3-H;B-1
play,7,0,453327,,,NP
sub,501896,David Freese,0,3,11
play,7,0,501896,,,SB2
play,7,0,501896,,,PB.2-3;3-H
play,7,0,501896,,,W
play,7,0,489322,,,W.1-2
play,7,0,459945,,,S8/G.1X3;3-H
play,7,1,469196,,,NP
sub,501896,David Freese,0,3,5
play,7,1,469196,,,S2/BG
play,7,1,501865,,,SB2
play,7,1,501865,,,S8/F.2-H
play,7,1,502182,,,PO1(E?).1-2
play,7,1,502182,,,43/G.2-3
play,7,1,448293,,,9/SF.3-H
play,7,1,453183,,,53/G
play,8,0,464991,,,NP
sub,453050,Jayson Ruhlman,1,0,1
play,8,0,464991,,,S7/G
play,8,0,464368,,,HR/F.1-H
play,8,0,450600,,,K
play,8,0,453319,,,4/L
play,8,0,502423,,,K
play,8,1,467061,,,NP
sub,446122,Patrick Clayton,0,0,1
play,8,1,467061,,,HR/F
play,8,1,444453,,,HR/F
play,8,1,453341,,,K
play,8,1,501830,,,NP
sub,503351,Blake Lalli,1,8,11
play,8,1,503351,,,W
play,8,1,469196,,,W.1-2
play,8,1,501865,,,NP
sub,451526,Justin Mattison,0,0,1
play,8,1,501865,,,K
play,8,1,502182,,,53/G
play,9,0,453245,,,NP
sub,503351,Blake Lalli,1,8,2
play,9,0,453245,,,43/G
play,9,0,501896,,,S7/G
play,9,0,489322,,,PO1(13)
play,9,0,489322,,,S2/BG
play,9,0,459945,,,K23
play,9,1,448293,,,43/G
play,9,1,453183,,,W
play,9,1,467061,,,9/F
play,9,1,444453,,,W.1-2
play,9,1,453341,,,3/G
id,BoiNWL200606200
info,visteam,EugNWL
info,hometeam,BoiNWL
info,date,2006/06/20
start,502423,Michael Epping,0,1,8
start,453245,Tom King,0,2,6
start,453327,Matt Antonelli,0,3,10
start,501896,David Freese,0,4,5
start,459945,Craig Cooper,0,5,3
start,489415,Garner Wetzel,0,6,9
start,502472,Kody Valverde,0,7,2
start,471055,Santiago Guerrero,0,8,7
start,501793,Nicholas Kliebert,0,9,4
start,503355,Jackson Quezada,0,0,1
start,501865,Matt Camp,1,1,8
start,502182,Steven Clevenger,1,2,4
start,448293,Alfred Joseph,1,3,9
