id,AanAZL200606230
info,visteam,AmaAZL
info,hometeam,AanAZL
info,date,2006/06/23
play,3,1,502575,,,S9/G
play,3,1,474233,,,5/PF
play,3,1,446411,,,PO1(?3)
play,4,0,489260,,,NP
sub,425778,Matt Hensley,1,0,1
play,4,0,489260,,,K23
play,4,0,503571,,,K
play,4,0,503570,,,K
play,4,1,446411,,,S7/L
play,4,1,503498,,,BK.1-2
play,4,1,503498,,,8/F
play,4,1,502206,,,S7/G.2-H
play,4,1,455117,,,NP
sub,453059,Jonathan Hollis,0,0,1
play,4,1,455117,,,8/F
play,4,1,464423,,,FC6/G.1X2(64)
play,5,0,430602,,,NP
sub,503499,Edward Sempey,1,0,1
play,5,0,430602,,,W
play,5,0,502635,,,BK.1-2
play,5,0,502635,,,W
play,5,0,450855,,,SB3.2-H;SB2;1-3(E2/TH)
play,5,0,450855,,,S7/L.3-H
play,5,0,491643,,,S8/G.1-2
play,5,0,470500,,,7/F
play,5,0,491679,,,63/G.1-2;2-3
play,5,0,489260,,,E6.2-H;3-H;B-2
play,5,0,503571,,,PO2(24)
play,5,1,489135,,,63/G
play,5,1,459968,,,T8/L
play,5,1,502575,,,7/SF.3-H
play,5,1,474233,,,K
play,6,0,503570,,,NP
sub,459992,Mark Sauls,1,0,1
play,6,0,503571,,,HP
play,6,0,503570,,,53/SH.1-2
play,6,0,430602,,,S8/L.2-H
play,6,0,502635,,,SB2
play,6,0,502635,,,K
play,6,0,450855,,,WP.2-3
play,6,0,450855,,,4/P
play,6,1,446411,,,K
play,6,1,503498,,,K
play,6,1,502206,,,43/G
play,7,0,491643,,,NP
sub,451753,Pedro Herrera,1,0,1
play,7,0,491643,,,6/L
play,7,0,470500,,,S8/G
play,7,0,491679,,,S9/G.1-2
play,7,0,489260,,,PO1(23)
play,7,0,489260,,,43/G
play,7,1,455117,,,NP
sub,503030,Jared Locke,0,0,1
play,7,1,455117,,,63/G
play,7,1,464423,,,43/G
play,7,1,489135,,,K
play,8,0,503571,,,HP
play,8,0,503570,,,2/BPF
play,8,0,430602,,,46(1)3/GDP/G4
play,8,1,459968,,,K.B-2(E2/TH)
play,8,1,502575,,,K
play,8,1,474233,,,K
play,8,1,446411,,,3/G
play,9,0,502635,,,NP
sub,465012,Sammy Leon,1,0,1
play,9,0,502635,,,S7/L
play,9,0,450855,,,S7/G.1-2
play,9,0,491643,,,8/F.2-3
play,9,0,470500,,,CS2
play,9,0,470500,,,8/F
play,9,1,503498,,,K
play,9,1,502206,,,53/G
play,9,1,455117,,,53/G
id,AanAZL200606270
info,visteam,AatAZL
info,hometeam,AanAZL
info,date,2006/06/27
start,463594,Wilber Perez,0,1,4
start,463011,Carlos Arrieche,0,2,5
start,447740,Ramiro Mendez,0,3,7
start,502670,Lorenzo Macias,0,4,9
start,450856,Carlos Morales,0,5,3
start,470468,Walter Correa,0,6,10
start,459765,Matthew Singleton,0,7,2
start,451130,Angel Corporan,0,8,6
start,502052,Angel Sierra,0,9,8
start,471917,Leonardo Martinez,0,0,1
start,489135,Jeremy Moore,1,1,7
start,459968,Christopher Lewis,1,2,4
start,502575,Matthew Sweeney,1,3,5
start,474233,Hank Conger,1,4,10
start,455117,Martin Maldonado,1,5,2
start,472569,Norberto Ortiz,1,6,9
start,446411,Seth Loman,1,7,3
start,502206,Clayton Fuller,1,8,8
start,501921,Alex Fonseca,1,9,6
start,452043,Brok Butcher,1,0,1
play,1,0,463594,,,W
play,1,0,463011,,,CS2
play,1,0,463011,,,K
play,1,0,447740,,,K
play,1,1,489135,,,8/F
play,1,1,459968,,,53/G
play,1,1,502575,,,8/F
play,2,0,502670,,,S6/G
play,2,0,450856,,,46(1)3/GDP/G4
play,2,0,470468,,,4/P
play,2,1,474233,,,K
play,2,1,455117,,,4/P
play,2,1,472569,,,53/G
play,3,0,459765,,,K
play,3,0,451130,,,K
play,3,0,502052,,,K
play,3,1,446411,,,K
play,3,1,502206,,,W
play,3,1,501921,,,DGR/F7.1-3
play,3,1,489135,,,1/BP
play,3,1,459968,,,K
play,4,0,463594,,,5/PF
play,4,0,463011,,,W
play,4,0,447740,,,NP
sub,456776,Alexander Torres,1,0,1
play,4,0,447740,,,S9/F.1-2
play,4,0,502670,,,S9/F.1-2;2XH
play,4,0,450856,,,5/PF
play,4,1,502575,,,9/F
play,4,1,474233,,,W
play,4,1,455117,,,S7/L.1-2
play,4,1,472569,,,9/F
play,4,1,446411,,,HP.1-2;2-3
play,4,1,502206,,,8/F
play,5,0,470468,,,4/P
play,5,0,459765,,,W
play,5,0,451130,,,SB2
play,5,0,451130,,,WP.2-3
play,5,0,451130,,,S9/L.3-H
play,5,0,502052,,,POCS2(136)
play,5,0,502052,,,S9/F
play,5,0,463594,,,7/F
play,5,1,501921,,,W
play,5,1,489135,,,53/G.1-2
play,5,1,459968,,,S7/G.2-3
play,5,1,502575,,,7/F
play,5,1,474233,,,K
play,6,0,463011,,,S1/BG
play,6,0,447740,,,46(1)3/GDP/G4
play,6,0,502670,,,53/G
play,6,1,455117,,,NP
sub,456147,Carmelo Reyes,0,0,1
play,6,1,455117,,,W
play,6,1,472569,,,26(1)4/GDP/B2
play,6,1,446411,,,31/G
