id,VerFSL200604070
info,visteam,St.FSL
info,hometeam,VerFSL
info,date,2006/04/07
play,5,0,446905,,,NP
sub,454662,Brian Akin,1,0,1
play,5,0,446905,,,K
play,5,0,448757,,,63/G
play,5,0,434635,,,S8/G
play,5,0,461360,,,9/F
play,5,1,451614,,,NP
sub,446457,Corey Coles,0,7,7
play,5,1,111232,,,NP
sub,453536,Ryan Coultas,0,9,4
play,5,1,451614,,,4/P
play,5,1,111232,,,S7/G
play,5,1,458239,,,HR/F.1-H
play,5,1,462569,,,NP
sub,449847,William Vazquez,0,0,1
play,5,1,462569,,,6/P
play,5,1,489134,,,HP
play,5,1,460578,,,S8/L.1-3
play,5,1,469845,,,K
play,6,0,452665,,,63/G
play,6,0,455077,,,K+WP.B-1
play,6,0,459001,,,FC4/G.1X2(46);B-1
play,6,0,457991,,,K
play,6,1,449082,,,K
play,6,1,455088,,,8/F
play,6,1,451614,,,DGR/F7
play,6,1,111232,,,43/G
play,7,0,446457,,,3/G
play,7,0,446905,,,13/G
play,7,0,453536,,,K23
play,7,1,458239,,,43/G
play,7,1,462569,,,53/G
play,7,1,489134,,,7/F
play,8,0,434635,,,NP
sub,448618,Kyle Wilson,1,0,1
play,8,0,434635,,,53/G
play,8,0,461360,,,K
play,8,0,452665,,,63/G
play,8,1,460578,,,NP
sub,448210,Marcelo Perez,0,0,1
play,8,1,460578,,,7/F
play,8,1,469845,,,W
play,8,1,449082,,,S4/G.1-2
play,8,1,455088,,,6(1)3/G6/GDP
play,9,0,455077,,,D9/F
play,9,0,459001,,,2/PF
play,9,0,457991,,,W
play,9,0,446457,,,K
play,9,0,446905,,,K
id,VerFSL200604170
info,visteam,JupFSL
info,hometeam,VerFSL
info,date,2006/04/17
start,455687,Jai Miller,0,1,8
start,460225,Juan Gonzalez,0,2,6
start,452989,Edgar V Gonzalez,0,3,4
start,452246,Brad McCann,0,4,3
start,451533,J. T. Restko,0,5,10
start,448654,Grant Psomas,0,6,5
start,452256,Steve Gendron,0,7,7
start,448276,Brett Carroll,0,8,9
start,452238,Brad Davis,0,9,2
start,455100,Gabriel Hernandez,0,0,1
start,469845,Jamie Hoffmann,1,1,8
start,489134,Jason Mooneyham,1,2,3
start,455088,Blake Dewitt,1,3,4
start,451614,Cole Bruce,1,4,10
start,462569,Ryan Carter,1,5,7
start,449082,Xavier Paul,1,6,9
start,458239,Travis Denker,1,7,5
start,448596,David Nicholson,1,8,6
start,468368,Gabriel Gutierrez,1,9,2
start,450692,Christopher Malone,1,0,1
play,1,0,455687,,,9/F
play,1,0,460225,,,S9/L
play,1,0,452989,,,D9/F.1-3
play,1,0,452246,,,D7/F.2-H;3-H
play,1,0,451533,,,9/F.2-3
play,1,0,448654,,,S7/G.3-H
play,1,0,452256,,,4/L
play,1,1,469845,,,53/G
play,1,1,489134,,,D7/L
play,1,1,455088,,,S8/L.2-H;B-2
play,1,1,451614,,,43/G.2-3
play,1,1,462569,,,T8/F.3-H
play,1,1,449082,,,PB.3-H
play,1,1,449082,,,W
play,1,1,458239,,,9/L
play,2,0,448276,,,K
play,2,0,452238,,,S7/G
play,2,0,455687,,,K
play,2,0,460225,,,WP.1-2
play,2,0,460225,,,43/G
play,2,1,448596,,,DGR/F9
play,2,1,468368,,,E2.2-3
play,2,1,469845,,,4/P
play,2,1,489134,,,FC4/G.1X2(46);3-H;B-1
play,2,1,455088,,,8/F
play,3,0,452989,,,9/F
play,3,0,452246,,,53/G
play,3,0,451533,,,53/G
play,3,1,451614,,,W
play,3,1,462569,,,K
play,3,1,449082,,,FC4/G.1X2(46);B-1
play,3,1,458239,,,HP.1-2
play,3,1,448596,,,K
play,4,0,448654,,,S6/G
play,4,0,452256,,,9/F
play,4,0,448276,,,1(B)13()/LDP.1X1
play,4,1,468368,,,9/F
play,4,1,469845,,,4/P
play,4,1,489134,,,E3
play,4,1,455088,,,43/G
play,5,0,452238,,,63/G
play,5,0,455687,,,53/G
play,5,0,460225,,,W
play,5,0,452989,,,FC6/G.1X2(64)
play,5,1,451614,,,D7/F
play,5,1,462569,,,S8/L.2-3
play,5,1,449082,,,S9/G.1-2;3-H
play,5,1,458239,,,S9/L.1-2;2-3
play,5,1,448596,,,E1.1-2;2-3;3-H
play,5,1,468368,,,643/GTP/G6.1X2;2X3
play,6,0,452246,,,S7/L
play,6,0,451533,,,K+CS2
play,6,0,448654,,,63/G
play,6,1,469845,,,53/BG
play,6,1,489134,,,S6/G
play,6,1,455088,,,NP
sub,456779,Mannyl Olivera,0,0,1
play,6,1,455088,,,E3/TH.1-2
play,6,1,451614,,,8/F
play,6,1,462569,,,D7/L.1-3;2-H
play,6,1,449082,,,K
play,7,0,452256,,,NP
sub,454662,Brian Akin,1,0,1
play,7,0,452256,,,K
play,7,0,448276,,,K
play,7,0,452238,,,8/F
play,7,1,458239,,,7/F
play,7,1,448596,,,S9/G
play,7,1,468368,,,46(1)3/GDP/G4
play,8,0,455687,,,K
play,8,0,460225,,,6/L
play,8,0,452989,,,S9/F
play,8,0,452246,,,K
play,8,1,469845,,,NP
sub,455123,Craig Molldrem,0,0,1
play,8,1,469845,,,53/G
play,8,1,489134,,,W
play,8,1,455088,,,WP.1-2
play,8,1,455088,,,W
play,8,1,451614,,,K
play,8,1,462569,,,K
play,9,0,451533,,,NP
sub,448618,Kyle Wilson,1,0,1
play,9,0,451533,,,K
play,9,0,448654,,,S8/G
play,9,0,452256,,,64(1)3/GDP/G6
id,VerFSL200604180
info,visteam,JupFSL
info,hometeam,VerFSL
info,date,2006/04/18
start,460225,Juan Gonzalez,0,1,6
start,452238,Brad Davis,0,2,2
start,452989,Edgar V Gonzalez,0,3,4
start,452246,Brad McCann,0,4,3
start,448654,Grant Psomas,0,5,5
start,448276,Brett Carroll,0,6,8
start,452256,Steve Gendron,0,7,7
start,452092,Juan Figueroa,0,8,9
start,450270,Tanner Rogers,0,9,10
start,462911,Jose Garcia,0,0,1
start,448596,David Nicholson,1,1,6
start,489134,Jason Mooneyham,1,2,3
start,455088,Blake Dewitt,1,3,4
start,451614,Cole Bruce,1,4,10
start,462569,Ryan Carter,1,5,7
start,449082,Xavier Paul,1,6,9
start,111232,Pat Borders,1,7,2
start,458239,Travis Denker,1,8,5
start,451640,Ryan Russ,1,9,8
start,455092,Scott Elbert,1,0,1
play,1,0,460225,,,K
play,1,0,452238,,,K
play,1,0,452989,,,9/F
play,1,1,448596,,,E6
play,1,1,489134,,,64(1)3/GDP/G6
play,1,1,455088,,,W
play,1,1,451614,,,WP.1-2
play,1,1,451614,,,W
play,1,1,462569,,,K
play,2,0,452246,,,K
play,2,0,448654,,,8/F
play,2,0,448276,,,K
play,2,1,449082,,,43/G
play,2,1,111232,,,63/G
play,2,1,458239,,,K
play,3,0,452256,,,K
play,3,0,452092,,,43/G
play,3,0,450270,,,E5
play,3,0,460225,,,SB2
play,3,0,460225,,,SB3
play,3,0,460225,,,3/G
play,3,1,451640,,,K
play,3,1,448596,,,E5
play,3,1,489134,,,3/G.1-2
play,3,1,455088,,,7/F
play,4,0,452238,,,HR/F
play,4,0,452989,,,S7/L
play,4,0,452246,,,8/F
play,4,0,448654,,,CS2
play,4,0,448654,,,S8/L
play,4,0,448276,,,W.1-2
play,4,0,452256,,,63/G
play,4,1,451614,,,K
play,4,1,462569,,,K
play,4,1,449082,,,8/F
play,5,0,452092,,,HR/F
play,5,0,450270,,,63/G
play,5,0,460225,,,9/F
play,5,0,452238,,,K
play,5,1,111232,,,S8/G
play,5,1,458239,,,64(1)3/GDP/G6
play,5,1,451640,,,S6/G
play,5,1,448596,,,WP.1-2
play,5,1,448596,,,S6/G.2XH(62)
play,6,0,452989,,,K
play,6,0,452246,,,3/L
play,6,0,448654,,,53/G
play,6,1,489134,,,63/G
play,6,1,455088,,,43/G
play,6,1,451614,,,K
