id,IowPCL200505040
info,visteam,NasPCL
info,hometeam,IowPCL
info,date,2005/05/04
play,1,0,430611,,,9/SF.2-3;3-H
play,1,0,227495,,,K23
play,1,1,116248,,,S8/G
play,1,1,447789,,,FC6/G.1X2(64);B-1
play,1,1,placeholder,,,PO1(E?).1-2
play,1,1,430917,,,S6/G.2-3
play,1,1,115370,,,S8/G.1-2;3-H
play,1,1,133140,,,E5.1-2;2-3
play,1,1,430639,,,FC4/G.1X2(4);2-3;3-H;B-1
play,1,1,150322,,,S8/G.1-2;3-H
play,1,1,150273,,,53/G
play,2,0,111232,,,63/G
play,2,0,448833,,,S6/G
play,2,0,430608,,,14/SH.1-2
play,2,0,459359,,,13/G
play,2,1,429901,,,W
play,2,1,116248,,,FC1/G.1X2(16);B-1
play,2,1,447789,,,E6/TH.1-3
play,2,1,430917,,,S9/G.1-3;3-H
play,2,1,115370,,,S7/G.1-2;3-H
play,2,1,133140,,,S9/F.1-2;2-3
play,2,1,430639,,,K
play,2,1,150322,,,D8/F.1-H;2-H;3-H
play,2,1,150273,,,7/F
play,3,0,430001,,,K23
play,3,0,425902,,,S7/L
play,3,0,434525,,,K+SB2
play,3,0,430611,,,9/F
play,3,1,429901,,,NP
sub,434522,Jeff Housman,0,9,1
play,3,1,429901,,,S7/L
play,3,1,116248,,,9/F
play,3,1,447789,,,6/P
play,3,1,430917,,,S7/F.1X3
play,4,0,227495,,,9/F
play,4,0,111232,,,53/G
play,4,0,448833,,,9/F
play,4,1,115370,,,63/G
play,4,1,133140,,,K
play,4,1,430639,,,K
play,5,0,434522,,,53/G
play,5,0,459359,,,S7/F.B-2(E7)
play,5,0,430001,,,K
play,5,0,425902,,,43/G
play,5,1,150322,,,7/F
play,5,1,150273,,,W
play,5,1,429901,,,9/FF
play,5,1,116248,,,SB2
play,5,1,116248,,,W
play,5,1,447789,,,FC6/G.1X2(64)
play,6,0,434525,,,K
play,6,0,430611,,,D7/L
play,6,0,227495,,,E9.2-3
play,6,0,111232,,,54(1)3/GDP/G5
play,6,1,430917,,,K
play,6,1,115370,,,D9/F
play,6,1,133140,,,K
play,6,1,430639,,,53/G
play,7,0,448833,,,NP
sub,111244,Joe Borowski,1,9,1
play,7,0,448833,,,5/P
play,7,0,434522,,,43/G
play,7,0,459359,,,8/F
play,7,1,150322,,,D7/G
play,7,1,150273,,,53/G.2-3
play,7,1,111244,,,NP
sub,150225,Mike Moriarty,1,9,11
play,7,1,150225,,,K
play,7,1,116248,,,W
play,7,1,447789,,,W.1-2
play,7,1,430917,,,8/L
play,8,0,430001,,,NP
sub,400127,Travis Phelps,1,9,1
play,8,0,430001,,,23/G
play,8,0,425902,,,8/F
play,8,0,434525,,,W
play,8,0,430611,,,8/F
play,8,1,115370,,,NP
sub,406301,Chad Paronto,0,9,1
play,8,1,115370,,,6/L
play,8,1,133140,,,K
play,8,1,430639,,,K
play,9,0,227495,,,K
play,9,0,111232,,,3/P
play,9,0,448833,,,8/F
id,IowPCL200505060
info,visteam,MemPCL
info,hometeam,IowPCL
info,date,2005/05/06
start,425659,Hector Luna,0,1,4
start,279912,Raul Gonzalez,0,2,8
start,346867,Scott Seabol,0,3,5
start,407356,Brandon Berger,0,4,7
start,430571,John Gall,0,5,3
start,430261,Peter Zoccolillo,0,6,9
start,449448,John Nelson,0,7,6
start,276345,Javier Cardona,0,8,2
start,425794,Adam Wainwright,0,9,1
start,447789,Dwaine Bacon,1,1,8
start,150273,Calvin Murray,1,2,7
start,407778,David Kelton,1,3,9
start,115370,Shane Halter,1,4,5
start,430917,Mike Fontenot,1,5,4
start,451687,James Hoffpauir,1,6,3
start,434567,Geovany Soto,1,7,2
start,150225,Mike Moriarty,1,8,6
start,425655,John Koronka,1,9,1
play,1,0,425659,,,23/BG
play,1,0,279912,,,E5/TH.BX2(36)
play,1,0,346867,,,S7/G
play,1,0,407356,,,K
play,1,1,447789,,,13/G
play,1,1,150273,,,S8/G
play,1,1,407778,,,CS2
play,1,1,407778,,,D9/F
play,1,1,115370,,,8/F
play,2,0,430571,,,53/G
play,2,0,430261,,,7/F
play,2,0,449448,,,W
play,2,0,276345,,,HR/F.1-H
play,2,0,425794,,,4/P
play,2,1,430917,,,S8/G
play,2,1,451687,,,S7/F.1-3
play,2,1,434567,,,46(1)3/GDP/G4.3-H
play,2,1,150225,,,K
play,3,0,425659,,,S5/G
play,3,0,279912,,,PO1(?3)
play,3,0,279912,,,7/L
