id,MidTEX200804100
info,visteam,ArkTEX
info,hometeam,MidTEX
info,date,2008/04/10
start,447767,Tim Duff,0,8,2
start,456430,Nate Sutton,0,9,4
start,452043,Brok Butcher,0,0,1
start,460060,Cliff Pennington,1,1,6
start,435561,Brian Snyder,1,2,10
start,461882,Jesus Guzman,1,3,5
start,452784,Tommy Everidge,1,4,3
start,453514,Myron Leslie,1,5,7
start,489232,Anthony Recker,1,6,2
start,460262,Jon Zeringue,1,7,9
start,451088,Justin Sellers,1,8,4
start,518893,Adam Klein,1,9,8
start,457732,Andrew Bailey,1,0,1
play,1,0,500200,,,13/G,124.50,183.73
play,1,0,461871,,,13/BG,113.45,184.74
play,1,0,454576,,,53/G,106.43,169.68
play,1,1,460060,,,31/G,142.57,171.69
play,1,1,435561,,,K
play,1,1,461882,,,S9/L,193.78,121.49
play,1,1,452784,,,S7/F.1-3,62.25,100.40
play,1,1,453514,,,7/F,93.37,84.34
play,2,0,452052,,,9/F,163.65,136.55
play,2,0,452015,,,9/F,166.67,129.52
play,2,0,444519,,,63/G,105.42,158.63
play,2,1,489232,,,K
play,2,1,460262,,,43/G,146.59,148.59
play,2,1,451088,,,63/G,96.39,150.60
play,3,0,430647,,,9/F,196.79,75.30
play,3,0,447767,,,K
play,3,0,456430,,,K
play,3,1,518893,,,W
play,3,1,460060,,,SB2
play,3,1,460060,,,W
play,3,1,435561,,,9/F.2-3,179.72,117.47
play,3,1,461882,,,S8/L.1-3;3-H,122.49,111.45
play,3,1,452784,,,W.1-2
play,3,1,453514,,,K
play,3,1,489232,,,K
play,4,0,500200,,,D8/F,89.36,132.53
play,4,0,461871,,,3/G.2-3,152.61,173.69
play,4,0,454576,,,W
play,4,0,452052,,,9/SF.3-H,187.75,117.47
play,4,0,452015,,,CS2
play,4,1,460262,,,4/P,148.59,107.43
play,4,1,451088,,,8/L,114.46,90.36
play,4,1,518893,,,W
play,4,1,460060,,,W.1-2
play,4,1,435561,,,W.1-2;2-3
play,4,1,461882,,,NP
sub,452090,Bill Edwards,0,0,1
play,4,1,461882,,,K
play,5,0,452015,,,HP
play,5,0,444519,,,SB2
play,5,0,444519,,,S8/L.2-H;BX2(826),133.53,92.37
play,5,0,430647,,,S8/G,117.47,102.41
play,5,0,447767,,,S7/L.1X3;B-2,46.18,105.42
play,5,0,456430,,,D9/G.2-H,200.80,119.48
play,5,0,500200,,,S7/L.2-H,58.23,113.45
play,5,0,461871,,,41/G,149.60,156.63
play,5,1,452784,,,W
play,5,1,453514,,,K
play,5,1,489232,,,W.1-2
play,5,1,460262,,,K
play,5,1,451088,,,FC6/G.1X2(64),101.41,157.63
play,6,0,454576,,,NP
sub,467577,Jesus Silva,1,0,1
play,6,0,454576,,,7/F,63.25,103.41
play,6,0,452052,,,8/F,133.53,56.22
play,6,0,452015,,,S7/L,179.72,128.51
play,6,0,444519,,,53/G,110.44,180.72
play,6,1,518893,,,NP
sub,477557,Francisco Rodriguez,0,0,1
play,6,1,518893,,,1/G,135.54,184.74
play,6,1,460060,,,7/F,34.14,93.37
play,6,1,435561,,,63/G,106.43,152.61
play,7,0,430647,,,NP
sub,434558,Scott Tyler,1,0,1
play,7,0,430647,,,63/G,106.43,149.60
play,7,0,447767,,,D7/L,33.13,93.37
play,7,0,456430,,,S5/BG.2-3,110.44,181.73
play,7,0,500200,,,23/G.1-2,122.49,191.77
play,7,0,461871,,,7/F,41.16,111.45
play,7,1,461882,,,S8/L,157.63,90.36
play,7,1,452784,,,K
play,7,1,453514,,,W.1-2
play,7,1,489232,,,K
play,7,1,460262,,,8/F,126.51,39.16
play,8,0,454576,,,6/P,69.28,136.55
play,8,0,452052,,,6/L,123.49,141.57
play,8,0,452015,,,D9/F,175.70,119.48
play,8,0,444519,,,8/L,116.47,121.49
play,8,1,451088,,,NP
sub,502376,Douglas Brandt,0,0,1
play,8,1,451088,,,E4,140.56,146.59
play,8,1,518893,,,W.1-2
play,8,1,460060,,,S7/L.1-2;2-3,72.29,120.48
play,8,1,435561,,,NP
sub,447821,Stephen Marek,0,0,1
