id,AanAZL200506230
info,visteam,AmaAZL
info,hometeam,AanAZL
info,date,2005/06/23
play,4,0,488804,,,63/G.3-H
play,4,0,450855,,,W
play,4,0,458727,,,FC6/G.1X2(64)
play,4,1,467680,,,3/L
play,4,1,489135,,,S9/F
play,4,1,488889,,,CS2
play,4,1,488889,,,HP
play,4,1,457756,,,43/G
play,5,0,444489,,,3/G
play,5,0,473250,,,53/G
play,5,0,473248,,,T8/F
play,5,0,457079,,,63/G
play,5,1,457116,,,E6/TH
play,5,1,456505,,,WP.1-2
play,5,1,456505,,,S8/F.2-3
play,5,1,408054,,,K
play,5,1,446574,,,K+SBH;SB2
play,5,1,444939,,,K
play,6,0,283161,,,NP
sub,445190,Richard Bambino,1,5,2
play,6,0,283161,,,NP
sub,453555,Jose Torres,0,3,11
play,6,0,453555,,,W
play,6,0,488949,,,SB2
play,6,0,488949,,,43/G.2-3
play,6,0,488804,,,S9/F.3-H
play,6,0,450855,,,PO1(13)
play,6,0,450855,,,53/G
play,6,1,467680,,,NP
sub,453555,Jose Torres,0,3,9
play,6,1,489135,,,NP
sub,458941,Cain Byrd,0,0,1
play,6,1,467680,,,D7/F
play,6,1,489135,,,K
play,6,1,488889,,,S8/F.2XH;B-2
play,6,1,457756,,,6/L
play,7,0,458727,,,S8/G
play,7,0,444489,,,W.1-2
play,7,0,473250,,,NP
sub,467681,Felix Gamboa,1,0,1
play,7,0,473250,,,SB3;SB2
play,7,0,473250,,,K
play,7,0,473248,,,D8/F.2-H;3-H
play,7,0,457079,,,K
play,7,0,453555,,,K
play,7,1,457116,,,53/G
play,7,1,456505,,,D8/F
play,7,1,445190,,,S8/F.2-H
play,7,1,446574,,,K
play,7,1,444939,,,K
play,8,0,488949,,,K.B-1(E2/TH)
play,8,0,488804,,,E1.1-2
play,8,0,450855,,,E5/TH.1-2;2-3
play,8,0,458727,,,K
play,8,0,444489,,,FC4/G.1X2(46);2-3;3-H;B-1
play,8,0,473250,,,53/G
play,8,1,467680,,,NP
sub,452005,William Rodriguez,0,0,1
play,8,1,467680,,,K23
play,8,1,489135,,,W
play,8,1,488889,,,T8/F.1-H
play,8,1,457756,,,S9/F.3-H
play,8,1,457116,,,BK.1-2
play,8,1,457116,,,9/F
play,8,1,456505,,,43/G
play,9,0,473248,,,NP
sub,456397,Amalio Diaz,1,0,1
play,9,0,473248,,,E6
play,9,0,457079,,,K
play,9,0,453555,,,PB.1-2
play,9,0,453555,,,K
play,9,0,488949,,,7/F
id,AanAZL200506270
info,visteam,AatAZL
info,hometeam,AanAZL
info,date,2005/06/27
start,457136,Samuel Hernandez,0,1,6
start,465017,Alexander Valdez,0,2,5
start,488988,Benjamin Ingold,0,3,10
start,448856,Ramon Alvarado,0,4,7
start,450856,Carlos Morales,0,5,3
start,447740,Ramiro Mendez,0,6,9
start,489029,Michael Klug,0,7,4
start,446663,Pedro Maldonado,0,8,2
start,448260,Andre Piper-Jordan,0,9,8
start,136268,Chad Bradford,0,0,1
start,488889,Cody Fuller,1,1,7
start,457756,Patrick Phillips,1,2,4
start,489283,Darrell Sales,1,3,5
start,456505,John Ryan,1,4,3
start,408054,Tom Gregorio,1,5,2
start,456483,Larry Infante,1,6,6
start,450288,Luis Rivera,1,7,9
start,455117,Martin Maldonado,1,8,10
start,489135,Jerome Moore,1,9,8
start,456482,Gustavo Espinoza,1,0,1
play,1,0,457136,,,8/F
play,1,0,465017,,,6/P
play,1,0,488988,,,T8/F
play,1,0,448856,,,K
play,1,1,488889,,,S7/F
play,1,1,457756,,,K
play,1,1,489283,,,CS2
play,1,1,489283,,,53/G
play,2,0,450856,,,K
play,2,0,447740,,,S7/F
play,2,0,489029,,,9/F
play,2,0,446663,,,D7/F.1-H
play,2,0,448260,,,2/PF
play,2,1,placeholder,,,NP
sub,488884,TJ Franco Jr.,0,0,1
play,2,1,456505,,,43/G
play,2,1,408054,,,63/G
play,2,1,456483,,,D7/F
play,2,1,450288,,,WP.2-3
play,2,1,450288,,,K
play,3,0,457136,,,S9/F
play,3,0,465017,,,POCS2(136)
play,3,0,465017,,,3/P
play,3,0,488988,,,63/G
play,3,1,455117,,,6/P
play,3,1,489135,,,K
play,3,1,488889,,,8/F
play,4,0,448856,,,K
play,4,0,450856,,,63/G
play,4,0,447740,,,K
play,4,1,457756,,,53/G
play,4,1,489283,,,W
play,4,1,456505,,,K
play,4,1,408054,,,8/F
play,5,0,489029,,,8/F
play,5,0,446663,,,E6
play,5,0,448260,,,FC6/G.1X2(6);B-1
play,5,0,457136,,,SB2
play,5,0,457136,,,CS3
play,5,1,456483,,,2/BG
play,5,1,450288,,,T9/F
play,5,1,455117,,,S9/F.3-H
play,5,1,489135,,,PO1(13)
play,5,1,489135,,,5/PF
play,6,0,457136,,,9/F
play,6,0,465017,,,K
play,6,0,488988,,,3/G
play,6,1,488889,,,HP
play,6,1,457756,,,9/F
play,6,1,489283,,,9/F
play,6,1,456505,,,7/F
play,7,0,448856,,,NP
sub,467157,Bradley Beck,1,0,1
play,7,0,448856,,,HP
play,7,0,450856,,,PO1(13)
play,7,0,450856,,,S8/F
play,7,0,447740,,,9/F
play,7,0,489029,,,E5.1-2
play,7,0,446663,,,K
play,7,1,408054,,,NP
sub,461725,Jose Lugo,0,0,1
play,7,1,408054,,,S9/F
play,7,1,456483,,,E9.1X3(94)
play,7,1,450288,,,8/F
play,8,0,448260,,,K
play,8,0,457136,,,9/F
play,8,0,465017,,,E4.B-2
play,8,0,488988,,,S8/F.2-H
play,8,0,448856,,,3/PF
play,8,1,455117,,,S7/G
play,8,1,489135,,,NP
sub,446574,Tyler Johnson,1,8,12
play,8,1,489135,,,K
play,8,1,488889,,,FC6/G.1X2(6);B-1
play,8,1,457756,,,43/G
play,9,0,450856,,,NP
sub,446574,Tyler Johnson,1,8,10
play,9,0,447740,,,NP
sub,456504,Dylan Peacock,1,0,1
play,9,0,450856,,,53/G
play,9,0,447740,,,D7/G
play,9,0,489029,,,K
play,9,0,446663,,,W
play,9,0,448260,,,S7/G.1-2;2-H
play,9,0,457136,,,E5.1-H;2-H
play,9,0,465017,,,8/F
play,9,1,489283,,,53/G
play,9,1,456505,,,3/G
play,9,1,408054,,,7/F
id,AanAZL200506280
info,visteam,AcuAZL
info,hometeam,AanAZL
info,date,2005/06/28
start,471172,Eduard Serrano,0,1,10
start,458575,Randy Brown,0,2,8
start,453183,Deryck Lewis,0,3,9
start,488809,Nikolaus Crouch,0,4,5
start,488859,Ryan Episcopo,0,5,7
start,444453,Russell Canzler,0,6,3
start,469141,Mario Mercedes,0,7,2
start,453014,Luis Rivera,0,8,6
start,489997,Dave Seara,0,9,4
start,476263,Mark Pawelek,0,0,1
start,446574,Tyler Johnson,1,1,8
start,457756,Patrick Phillips,1,2,6
start,457116,Josh Davies,1,3,4
start,456505,Matt Ryan,1,4,3
start,489283,Darrell Sales,1,5,5
start,444939,Grant Harper,1,6,7
start,453014,Luis Rivera,1,7,9
start,489215,Ryan Pressley,1,8,10
start,455117,Martin Maldonado,1,9,2
start,456493,Felipe Arredondo,1,0,1
play,1,0,471172,,,W
play,1,0,458575,,,9/F
play,1,0,placeholder,,,PO1(??)
play,1,0,453183,,,D7/F
play,1,0,488809,,,D9/F.2-H
play,1,0,488859,,,31/G
play,1,1,446574,,,K
play,1,1,457756,,,K
play,1,1,457116,,,53/G
play,2,0,444453,,,3/G
play,2,0,469141,,,31/G
play,2,0,453014,,,3/P
play,2,1,456505,,,K
play,2,1,489283,,,K
play,2,1,444939,,,K
play,3,0,489997,,,63/G
play,3,0,471172,,,S8/F
play,3,0,458575,,,SB2
play,3,0,458575,,,63/G.2-3
play,3,0,453183,,,K
play,3,1,placeholder,,,NP
sub,467028,Alfredo Francisco,0,0,1
play,3,1,453014,,,W
play,3,1,489215,,,SB2
play,3,1,489215,,,K
play,3,1,455117,,,HP
play,3,1,446574,,,K
play,3,1,457756,,,3/G
play,4,0,488809,,,2/PF
play,4,0,488859,,,S7/F
play,4,0,444453,,,13/G.1-2
play,4,0,469141,,,WP.2-3
play,4,0,469141,,,63/G
play,4,1,457116,,,63/G
play,4,1,456505,,,63/G
play,4,1,489283,,,S7/G
play,4,1,444939,,,W.1-2
play,4,1,453014,,,K
play,5,0,453014,,,S8/F
play,5,0,489997,,,13/SH.1-2
play,5,0,471172,,,3/G.2-3
play,5,0,458575,,,8/F
play,5,1,489215,,,43/G
play,5,1,455117,,,7/F
play,5,1,446574,,,43/G
play,6,0,453183,,,NP
sub,448233,Timothy Petke,1,0,1
play,6,0,453183,,,63/G
play,6,0,488809,,,K
play,6,0,488859,,,13/G
play,6,1,457756,,,S8/F
play,6,1,457116,,,13/G.1-2
play,6,1,456505,,,POCS3(145)
play,6,1,456505,,,K
play,7,0,444453,,,43/G
play,7,0,469141,,,13/G
play,7,0,453014,,,43/G
play,7,1,489283,,,NP
sub,488920,Michael Greenhouse,0,0,1
play,7,1,489283,,,63/G
play,7,1,444939,,,53/G
play,7,1,453014,,,9/F
play,8,0,489997,,,NP
sub,446657,Mitchell Arnold,1,0,1
play,8,0,489997,,,E6
play,8,0,471172,,,K
play,8,0,458575,,,SB2
play,8,0,458575,,,9/F
play,8,0,453183,,,63/G
play,8,1,489215,,,K
play,8,1,455117,,,8/F
play,8,1,446574,,,W
play,8,1,457756,,,WP.1-2
play,8,1,457756,,,63/G
play,9,0,488809,,,NP
sub,456397,Amalio Diaz,1,0,1
play,9,0,488809,,,8/F
play,9,0,488859,,,K
play,9,0,444453,,,K
play,9,1,457116,,,8/F
play,9,1,456505,,,D7/G
play,9,1,489283,,,HR/F.2-H
id,AanAZL200507010
info,visteam,AatAZL
info,hometeam,AanAZL
info,date,2005/07/01
start,446120,Ezekiel Parraz,0,1,6
start,465017,Alexander Valdez,0,2,4
start,488988,Benjamin Ingold,0,3,5
start,448856,Ramon Alvarado,0,4,7
start,450856,Carlos Morales,0,5,3
start,448260,Andre Piper-Jordan,0,6,8
start,476960,Julio Rivera,0,7,2
start,457111,Fernando Medina,0,8,9
start,489029,Michael Klug,0,9,10
start,430908,Brad Sullivan,0,0,1
start,457756,Patrick Phillips,1,1,6
start,456483,Larry Infante,1,2,4
start,457116,Josh Davies,1,3,5
start,456505,Matt Ryan,1,4,10
start,489283,Darrell Sales,1,5,3
start,446574,Tyler Johnson,1,6,7
start,450288,Luis Rivera,1,7,9
start,455117,Martin Maldonado,1,8,2
start,489135,Jeremy Moore,1,9,8
start,444440,Nicholas Adenhart,1,0,1
play,1,0,446120,,,K
play,1,0,465017,,,W
play,1,0,488988,,,3(1)6/G3/GDP
play,1,1,457756,,,63/G
play,1,1,456483,,,W
play,1,1,457116,,,16(1)3/GDP/G1
play,2,0,448856,,,W
play,2,0,450856,,,CS2
play,2,0,450856,,,W
play,2,0,448260,,,W.1-2
play,2,0,placeholder,,,NP
sub,451753,Pedro Herrera,1,0,1
play,2,0,476960,,,9/FF
play,2,0,457111,,,PB.1-2;2-3
play,2,0,457111,,,W
play,2,0,489029,,,K
play,2,1,456505,,,S4/G
play,2,1,489283,,,K
play,2,1,446574,,,S9/F.1-2
play,2,1,450288,,,S9/F.1-2;2-3
play,2,1,455117,,,6/P.1-2(E6);2-3;3-H
play,2,1,489135,,,S4/G.2-H;3-H;B-3(E4/TH)
play,2,1,457756,,,W
play,2,1,456483,,,T9/L.1-H;3-H
play,2,1,457116,,,43/G
play,3,0,446120,,,13/G
play,3,0,465017,,,K
play,3,0,488988,,,53/G
play,3,1,456505,,,K
play,3,1,489283,,,S9/F
play,3,1,446574,,,T7/F.1-H
play,3,1,450288,,,S8/F.3-H
play,3,1,455117,,,S9/L.1-H(E9/TH)
play,3,1,489135,,,K
play,3,1,457756,,,K
play,4,0,448856,,,W
play,4,0,450856,,,W.1-2
play,4,0,448260,,,D8/F.1-3;2-H
play,4,0,476960,,,K
play,4,0,457111,,,63/G.2-3;3-H
play,4,0,489029,,,W
play,4,0,446120,,,43/G
play,4,1,456483,,,NP
sub,456567,Victor Luces,0,0,1
play,4,1,456483,,,43/G
play,4,1,457116,,,7/F
play,4,1,456505,,,NP
sub,489215,Ryan Pressley,1,4,11
play,4,1,489215,,,K
play,5,0,465017,,,NP
sub,489215,Ryan Pressley,1,4,10
play,5,0,465017,,,K
play,5,0,488988,,,S7/F
play,5,0,448856,,,9/F
play,5,0,450856,,,K
play,5,1,489283,,,W
play,5,1,446574,,,8/F
play,5,1,450288,,,FC4/G.1X2(46);B-1
play,5,1,455117,,,S9/G.1-3
play,5,1,489135,,,K
play,6,0,448260,,,NP
sub,467157,Bradley Beck,1,0,1
play,6,0,448260,,,3/PF
play,6,0,476960,,,63/G
play,6,0,457111,,,K
play,6,1,457756,,,43/G
play,6,1,456483,,,D7/F
play,6,1,457116,,,53/G.2-3
play,6,1,489215,,,63/G
play,7,0,489029,,,S6/G
play,7,0,446120,,,4(B)43(1)/LDP
play,7,0,465017,,,NP
sub,446657,Mitchell Arnold,1,0,1
play,7,0,465017,,,T7/F
play,7,0,488988,,,S8/F.3-H
play,7,0,448856,,,S8/L.1-2
play,7,0,450856,,,HP.1-2;2-3
play,7,0,448260,,,K
play,7,1,489283,,,53/G
play,7,1,446574,,,K
play,7,1,450288,,,S7/F
play,7,1,455117,,,D7/F.1-H
play,7,1,489135,,,K
play,8,0,476960,,,NP
sub,488889,Cody Fuller,1,7,9
play,8,0,457111,,,NP
sub,467681,Felix Gamboa,1,0,1
play,8,0,476960,,,W
