id,WisMDW200604060
info,visteam,PeoMDW
info,hometeam,WisMDW
info,date,2006/04/06
play,5,1,459431,,,S9/L
play,5,1,489818,,,CS2
play,5,1,489818,,,2/PF
play,6,0,462944,,,43/G
play,6,0,489356,,,S8/L
play,6,0,472505,,,SB2;SB2;1-3(E2/TH)
play,6,0,472505,,,63/G
play,6,0,456989,,,K
play,6,1,451178,,,NP
sub,467158,Roberto Sotolongo,0,0,1
play,6,1,451178,,,W
play,6,1,472528,,,K
play,6,1,489279,,,3/G.1-2
play,6,1,466307,,,5/PF
play,7,0,489004,,,NP
sub,475746,Jeffrey Gilmore,1,0,1
play,7,0,489004,,,K23
play,7,0,488922,,,13/BG
play,7,0,452767,,,13/G
play,7,1,451587,,,43/G
play,7,1,463622,,,6/P
play,7,1,452727,,,K23
play,8,0,455139,,,W
play,8,0,448650,,,S8/G.1-3
play,8,0,462944,,,WP.1-2
play,8,0,462944,,,E3.2-3;3-H
play,8,0,placeholder,,,NP
sub,453014,Luis Rivera,0,5,12
play,8,0,489356,,,FC5.1-3;3XH(52)
play,8,0,472505,,,S1/BG.1-2;3-H
play,8,0,456989,,,K
play,8,0,489004,,,W.1-2;2-3
play,8,0,488922,,,NP
sub,452248,Rollie Gibson,1,0,1
play,8,0,488922,,,FC4/G.1X2(4)
play,8,1,459431,,,NP
sub,453014,Luis Rivera,0,5,10
play,8,1,489818,,,NP
sub,462943,Edward Campusano,0,0,1
play,8,1,459431,,,K
play,8,1,489818,,,K
play,8,1,451178,,,K
play,9,0,452767,,,K
play,9,0,455139,,,K
play,9,0,448650,,,E6/TH
play,9,0,453014,,,FC5/G.1X2(54)
play,9,1,472528,,,43/G
play,9,1,489279,,,W
play,9,1,466307,,,K
play,9,1,451587,,,43/G
id,WisMDW200604080
info,visteam,PeoMDW
info,hometeam,WisMDW
info,date,2006/04/08
start,455139,Robinson Chirinos,0,1,4
start,453014,Luis Rivera,0,2,6
start,452767,Matthew Ciaramella,0,3,8
start,448650,Ryan Norwood,0,4,3
start,462944,Alberto Garcia,0,5,10
start,489356,Brandon Taylor,0,6,5
start,472505,Jesus Valdez,0,7,7
start,459949,Johnny Defendis,0,8,9
start,456989,Jake Muyco,0,9,2
start,458735,Mike Billek,0,0,1
start,490563,Robert Hudson,1,1,5
start,473213,Chao Kuan Wu,1,2,2
start,459431,Michael Saunders,1,3,8
start,451178,Jeffrey Flaig,1,4,10
start,489279,Bryan Sabatella,1,5,3
start,472528,Luis Valbuena,1,6,4
start,488897,Alex Gary,1,7,7
start,466307,Eddy Hernandez,1,8,9
start,451587,Jeffrey Dominguez,1,9,6
start,448234,Paul Fagan,0,0,1
play,1,0,455139,,,W
play,1,0,453014,,,K
play,1,0,452767,,,WP.1-2
play,1,0,452767,,,W
play,1,0,placeholder,,,POCS3(165);.1-2
play,1,0,448650,,,K
play,1,1,490563,,,S8/G
play,1,1,473213,,,SB2
play,1,1,473213,,,S8/G.2-H
play,1,1,459431,,,S8/F.1-2
play,1,1,451178,,,E1/TH.1-3;2-H
play,1,1,489279,,,FC1/G.1X2(16);3-H;B-1
play,1,1,472528,,,9/F
play,1,1,488897,,,W.1-2
play,1,1,466307,,,K23
play,2,0,462944,,,43/G
play,2,0,489356,,,K
play,2,0,472505,,,E6/TH
play,2,0,459949,,,W.1-2
play,2,0,456989,,,9/F
play,2,1,451587,,,K
play,2,1,490563,,,K
play,2,1,473213,,,K
play,3,0,455139,,,W
play,3,0,453014,,,8/F
play,3,0,452767,,,FC1/G.1X2(16);B-2(E6/TH)
play,3,0,448650,,,D8/L.2-H
play,3,0,462944,,,W
play,3,0,489356,,,9/F
play,3,1,459431,,,6/P
play,3,1,451178,,,K
play,3,1,489279,,,K
play,4,0,472505,,,W
play,4,0,459949,,,K
play,4,0,456989,,,43/G.1-2
play,4,0,455139,,,S7/L.2XH
play,4,1,472528,,,3/G
play,4,1,488897,,,63/G
play,4,1,466307,,,S7/G
play,4,1,451587,,,S8/G.1-3
play,4,1,490563,,,S9/L.1-3;3-H
play,4,1,473213,,,SB2
play,4,1,473213,,,S8/F.2-H;3-H;BX2(83)
play,5,0,453014,,,8/F
play,5,0,452767,,,2/PF
play,5,0,448650,,,S7/L
play,5,0,462944,,,D9/F.1-H
play,5,0,489356,,,D7/L.2-H
play,5,0,472505,,,NP
sub,446353,Nicholas Allen,1,0,1
play,5,0,472505,,,9/F
play,5,1,459431,,,NP
sub,460259,Tim Layden,0,0,1
play,5,1,459431,,,5/L
play,5,1,451178,,,S8/L
play,5,1,489279,,,W.1-2
play,5,1,472528,,,K
play,5,1,488897,,,E5.1-2;2-3
play,5,1,466307,,,43/G
play,6,0,459949,,,4/P
play,6,0,456989,,,S5/G
play,6,0,455139,,,46(1)3/GDP/G4
play,6,1,451587,,,8/F
play,6,1,490563,,,53/G
