id,GbrGCL200606210
info,visteam,GtiGCL
info,hometeam,GbrGCL
info,date,2006/06/21
play,4,1,502203,,,2/PF
play,4,1,445219,,,2/PF
play,5,0,502408,,,NP
sub,502014,Steven Evarts,1,0,1
play,5,0,471930,,,NP
sub,503425,Albaro Campusano,1,1,4
play,5,0,502408,,,K
play,5,0,471930,,,63/G
play,5,0,502369,,,D9/L
play,5,0,503037,,,53/G
play,5,1,451080,,,8/F
play,5,1,462927,,,4/P
play,5,1,472515,,,63/G
play,6,0,471912,,,S9/L
play,6,0,489425,,,SB2
play,6,0,489425,,,43/G.2-3
play,6,0,502133,,,K
play,6,0,502400,,,WP.3-H
play,6,0,502400,,,K
play,6,1,449828,,,K23
play,6,1,455697,,,63/G
play,6,1,503425,,,3/L
play,7,0,502126,,,NP
sub,474991,Casey Beck,1,0,1
play,7,0,502126,,,S9/L
play,7,0,502408,,,SB2
play,7,0,502408,,,K
play,7,0,471930,,,WP.2-3
play,7,0,471930,,,W
play,7,0,502369,,,SB2
play,7,0,502369,,,FC5.2-3;3XH(52)
play,7,0,503037,,,SB2(E2/TH);3-H(E2/TH)
play,7,0,503037,,,K
play,7,1,448188,,,63/G
play,7,1,502203,,,53/G
play,7,1,445219,,,K
play,8,0,471912,,,NP
sub,488968,Derick Himpsl,1,0,1
play,8,0,471912,,,8/F
play,8,0,489425,,,S8/L
play,8,0,502133,,,PO1(E?).1-2
play,8,0,502133,,,W
play,8,0,502400,,,8/F.2-3
play,8,0,502126,,,K
play,8,1,451080,,,NP
sub,502657,Robert Roth,0,0,1
play,8,1,451080,,,S8/L
play,8,1,462927,,,S7/L.1-2
play,8,1,472515,,,S8/L.1-2;2-H
play,8,1,449828,,,K
play,8,1,455697,,,8/F.2-3
play,8,1,503425,,,W.1-2
play,8,1,448188,,,7/F
play,9,0,502408,,,9/F
play,9,0,471930,,,43/G
play,9,0,502369,,,K
play,9,1,502203,,,K
play,9,1,445219,,,K
play,9,1,451080,,,T8/L
play,9,1,462927,,,NP
sub,449899,Trevion Griffin,1,6,11
play,9,1,449899,,,8/F
id,GbrGCL200606250
info,visteam,GyaGCL
info,hometeam,GbrGCL
info,date,2006/06/25
start,501791,Nicholas Diyorio,0,1,7
start,466454,Jesus Sanchez,0,2,2
start,487666,Josue Calzado,0,3,8
start,468466,Wady Rufino,0,4,3
start,468538,Gerardo Rodriguez,0,5,10
start,444859,Melquisedec Mesa,0,6,9
start,502446,Chase Odenreider,0,7,5
start,501835,Kevin Russo,0,8,4
start,492845,Yang Carlos Perez,0,9,6
start,462506,Domingo Cabrera,0,0,1
start,448188,Deivis Rivadeneira,1,1,6
start,471168,Tony De La Cruz,1,2,4
start,451080,Cody Johnson,1,3,7
start,502203,Adam Coe,1,4,5
start,445219,Adam Parliament,1,5,3
start,467725,Javier Dominguez,1,6,2
start,472515,Jorge Casso,1,7,10
start,449899,Trevion Griffin,1,8,9
start,455697,Eliazar Carmona,1,9,8
start,503423,Steve Kent,1,0,1
play,1,0,501791,,,S7/G
play,1,0,466454,,,FC5/G.1X2(54);B-1
play,1,0,487666,,,WP.1-2
play,1,0,487666,,,W+WP.2-3
play,1,0,468466,,,8/SF.3-H
play,1,0,468538,,,FC6/G.1X2(64)
play,1,1,448188,,,8/F
play,1,1,471168,,,W
play,1,1,451080,,,WP.1-2
play,1,1,451080,,,W
play,1,1,502203,,,D7/F.1-H;2-H
play,1,1,445219,,,K
play,1,1,467725,,,E6/TH.2-3
play,1,1,472515,,,S9/F.1-2;3-H
play,1,1,449899,,,D9/F.1-H;2-H
play,1,1,placeholder,,,NP
sub,503652,Brady Martinez,0,0,1
play,1,1,455697,,,S8/F.2-H
play,1,1,448188,,,S7/F.1-2
play,1,1,471168,,,FC5/G.2X3(5)
play,2,0,444859,,,7/F
play,2,0,502446,,,8/F
play,2,0,501835,,,9/F
play,2,1,451080,,,3/G
play,2,1,502203,,,8/F
play,2,1,445219,,,K
play,3,0,492845,,,9/F
play,3,0,501791,,,W
play,3,0,466454,,,64(1)3/GDP/G6
play,3,1,467725,,,S7/F
play,3,1,472515,,,6(1)3/G6/GDP
play,3,1,449899,,,9/F
play,4,0,487666,,,NP
sub,448855,Junior Guerra,1,0,1
play,4,0,487666,,,W
play,4,0,468466,,,9/F
play,4,0,468538,,,S6/G.1-3
play,4,0,444859,,,8/SF.3-H
play,4,0,502446,,,S6/G.1X2(34)
play,4,1,455697,,,NP
sub,467856,Carlos Monasterios,0,0,1
play,4,1,455697,,,63/G
play,4,1,448188,,,HP
play,4,1,471168,,,PO1(E?).1-2
play,4,1,471168,,,W
play,4,1,451080,,,3/G.1-2;2-3
play,4,1,502203,,,S7/F.2-H;3-H
play,4,1,445219,,,9/F
play,5,0,501835,,,NP
sub,446597,Kyle Warren,1,0,1
play,5,0,501835,,,53/G
play,5,0,492845,,,53/G
play,5,0,501791,,,7/F
play,5,1,467725,,,S5/G
play,5,1,472515,,,NP
sub,449828,Rubi Koko,1,6,12
play,5,1,472515,,,E4/TH.1-3
play,5,1,449899,,,6(1)3/G6/GDP.3-H
play,5,1,455697,,,9/F
play,6,0,466454,,,NP
sub,462927,Victor Hernandez,1,6,2
play,6,0,466454,,,9/F
play,6,0,487666,,,HR/F
play,6,0,468466,,,8/F
play,6,0,468538,,,53/G
id,GbrGCL200606290
info,visteam,GinGCL
info,hometeam,GbrGCL
info,date,2006/06/29
start,473275,Lucas Montero,0,1,7
start,464407,Cristo Arnal,0,2,6
start,489201,Roman Pena,0,3,9
start,449179,Jay Nilsson,0,4,4
start,503790,Collin Martin,0,5,3
start,464414,Alex Castillo,0,6,10
start,463672,Janel Arias,0,7,5
start,464415,Richard Martinez,0,8,2
start,465079,Ramon Hernandez,0,9,8
start,456061,Kelvin De La Cruz,0,0,1
start,449156,Jon Owings,1,1,10
start,452671,Diory Hernandez,1,2,6
start,451080,Cody Johnson,1,3,7
start,502203,Adam Coe,1,4,5
start,448188,Deivis Rivadeneira,1,5,4
start,472515,Jorge Casso,1,6,3
start,451098,Steven Garcia,1,7,2
start,449899,Trevion Griffin,1,8,9
start,449828,Rubi Koko,1,9,8
start,476686,Jeff Lyman,1,0,1
play,1,0,473275,,,W
play,1,0,464407,,,K
play,1,0,489201,,,K
play,1,0,449179,,,SB2
play,1,0,449179,,,S8/F.2-H
play,1,0,503790,,,3/G
play,1,1,449156,,,63/G
play,1,1,452671,,,K
play,1,1,451080,,,K
play,2,0,464414,,,9/F
play,2,0,463672,,,K
play,2,0,464415,,,E9
play,2,0,465079,,,7/F
play,2,1,502203,,,9/F
