id,BluAPP200506240
info,visteam,DanAPP
info,hometeam,BluAPP
info,date,2005/06/24
play,4,0,449156,,,K
play,4,1,459933,,,S6/G
play,4,1,458593,,,S5/G.1-2
play,4,1,446544,,,7/F
play,4,1,489160,,,S8/G.1-2;2-H
play,4,1,473224,,,S9/F.1-2;2-3
play,4,1,472541,,,4624/GDP/G4.3-H
play,5,0,461734,,,31/G
play,5,0,488822,,,D9/F
play,5,0,445632,,,HP
play,5,0,448274,,,S9/L.1-2;2-3
play,5,0,488862,,,S7/F.1-H;2-H;3-H;B-3
play,5,0,461735,,,8/F.3-H(E8/TH)
play,5,0,445615,,,K
play,5,1,455108,,,53/G
play,5,1,488652,,,K
play,5,1,458568,,,S7/F
play,5,1,459933,,,HR/F.1-H
play,5,1,458593,,,S8/F
play,5,1,446544,,,S6/G.1-2
play,5,1,489160,,,S8/G.1-3;2-H
play,5,1,473224,,,NP
sub,458648,Eduardo Rosario,0,0,1
play,5,1,473224,,,W.1-2
play,5,1,472541,,,WP.1-2;2-3;3-H
play,5,1,472541,,,31/G
play,6,0,457449,,,53/G
play,6,0,449156,,,9/F
play,6,0,461734,,,K
play,6,1,455108,,,D8/F
play,6,1,488652,,,6/L
play,6,1,458568,,,WP.2-3
play,6,1,458568,,,K
play,6,1,459933,,,7/F
play,7,0,488822,,,13/G
play,7,0,445632,,,7/F
play,7,0,448274,,,K23
play,7,1,458593,,,K
play,7,1,446544,,,HR/F
play,7,1,489160,,,7/L
play,7,1,473224,,,43/G
play,8,0,488862,,,NP
sub,447835,Andrew Schindling,1,0,1
play,8,0,488862,,,63/G
play,8,0,461735,,,S7/G
play,8,0,445615,,,NP
sub,457936,Jonathan Shehan,0,6,11
play,8,0,457936,,,4(1)3/G4/GDP
play,8,1,472541,,,NP
sub,457936,Jonathan Shehan,0,6,2
play,8,1,455108,,,NP
sub,458649,Glen Richards,0,0,1
play,8,1,472541,,,9/L
play,8,1,455108,,,9/F
play,8,1,488652,,,3/PF
play,9,0,457449,,,S8/F
play,9,0,449156,,,HP.1-2
play,9,0,461734,,,K
play,9,0,488822,,,PB.1-2;2-3
