id,KinCAR200504080
info,visteam,WinCAR
info,hometeam,KinCAR
info,date,2005/04/08
play,8,0,449804,,,6(1)3/G6/GDP
play,8,0,468327,,,3/G
play,8,1,457830,,,9/F
play,8,1,444515,,,W
play,8,1,430955,,,63/G.1-2
play,8,1,444320,,,8/F
play,9,0,440364,,,W
play,9,0,454608,,,S8/G.1-2
play,9,0,451695,,,NP
sub,455004,Michael Myers,0,5,12
play,9,0,451695,,,4(B)4(2)/LDP
play,9,0,457988,,,S9/G.1-3;BX2(96)
id,KinCAR200504100
info,visteam,WinCAR
info,hometeam,KinCAR
info,date,2005/04/10
start,455004,Michael Myers,0,1,8
start,449804,Robert Valido,0,2,6
start,468327,Normand Martel Jr,0,3,7
start,440364,Leo Daigle,0,4,3
start,454608,Travis Hinton,0,5,10
start,451695,Micah Schnurstein,0,6,5
start,457988,Thomas Collaro,0,7,9
start,463553,Carlos Lee,0,8,2
start,453497,Christopher Amador,0,9,4
start,472510,Rafael Flores,0,0,1
start,444514,Nathan Panther,1,1,7
start,449775,Brandon Pinckney,1,2,6
start,430957,Brad Snyder,1,3,8
start,457830,Ryan Goleski,1,4,9
start,444515,Shaun Larkin,1,5,10
start,453892,Ryan Mulhern,1,6,3
start,446897,Caleb Brock,1,7,2
start,444340,Micah Schilling,1,8,4
start,452967,Luis Cotto,1,9,5
start,407896,Billy Traber,1,0,1
play,1,0,455004,,,9/F
play,1,0,449804,,,13/G
play,1,0,468327,,,31/G
play,1,1,444514,,,W
play,1,1,449775,,,7/F.?X?(73)
play,1,1,430957,,,S9/G
play,1,1,457830,,,S8/G.1-2
play,1,1,444515,,,PB.1-2;2-3
play,1,1,444515,,,S9/G.2-H;3-H
play,1,1,453892,,,S9/G.1-3
play,1,1,446897,,,8/F
play,2,0,440364,,,D7/F
play,2,0,454608,,,4/L
play,2,0,451695,,,43/G.2-3
play,2,0,457988,,,43/G
play,2,1,444340,,,53/G
play,2,1,452967,,,W
play,2,1,444514,,,8/F
play,2,1,449775,,,FC6/G.1X2(64)
play,3,0,463553,,,S7/G
play,3,0,453497,,,13/SH.1-2
play,3,0,455004,,,D7/F.2-H
play,3,0,449804,,,63/G
play,3,0,468327,,,43/G
play,3,1,430957,,,S9/G.B-2(E9)
play,3,1,457830,,,W
play,3,1,444515,,,43/G.1-2;2-3
play,3,1,453892,,,D7/F.2-H;3-H
play,3,1,446897,,,K
play,3,1,444340,,,K
play,4,0,440364,,,8/F
play,4,0,454608,,,53/G
play,4,0,451695,,,53/G
play,4,1,452967,,,S9/G
play,4,1,444514,,,7/F
play,4,1,449775,,,8/F
play,4,1,430957,,,K
