id,GbrGCL200506250
info,visteam,GyaGCL
info,hometeam,GbrGCL
info,date,2005/06/25
play,5,1,445219,,,53/G
play,5,1,452071,,,3/P
play,5,1,448171,,,53/G
play,6,0,489413,,,HR/F
play,6,0,458929,,,4/P
play,6,0,459430,,,K
play,6,0,456050,,,W
play,6,0,488928,,,W.1-2
play,6,0,458007,,,K
play,6,1,489132,,,K
play,6,1,455980,,,K
play,6,1,461427,,,53/G
play,7,0,455371,,,HR/F
play,7,0,448236,,,K
play,7,0,469226,,,K
play,7,0,489413,,,K
play,7,1,448188,,,NP
sub,455739,Garrett Berger,0,0,1
play,7,1,457788,,,NP
sub,453641,Angel Reyes,0,7,3
play,7,1,448188,,,K
play,7,1,457788,,,E4
play,7,1,462101,,,WP.1-2
play,7,1,462101,,,W
play,7,1,445219,,,W.1-2;2-3
play,7,1,452071,,,NP
sub,462480,Rhiner Cruz,0,0,1
play,7,1,452071,,,S8/F.1-2;2-3;3-H
play,7,1,448171,,,FC5/G.1X2(54);2-H;3-H;B-2(E4/TH)
play,7,1,489132,,,D8/F.2-H
play,7,1,455980,,,9/F
play,8,0,458929,,,S8/F
play,8,0,453641,,,SB2
play,8,0,453641,,,WP.2-3
play,8,0,453641,,,HR/F.3-H
play,8,0,456050,,,5/P
play,8,0,488928,,,NP
sub,446596,Joshua Ward,1,0,1
play,8,0,488928,,,W
play,8,0,458007,,,FC1/G.1X2(16);B-1
play,8,0,455371,,,S9/F.1XH
play,8,1,461427,,,NP
sub,453530,Vince Berry,0,4,7
play,8,1,448188,,,NP
sub,457104,Adriano Santos,0,0,1
play,8,1,461427,,,4/P
play,8,1,448188,,,K
play,8,1,457788,,,63/G
play,9,0,448236,,,9/F
play,9,0,453530,,,K
play,9,0,489413,,,8/F
play,9,1,462101,,,NP
sub,447739,Pedruin Bautista,0,9,4
play,9,1,462101,,,43/G
play,9,1,445219,,,W
play,9,1,452071,,,K
play,9,1,448171,,,S8/F.1-2
play,9,1,489132,,,9/F
id,GbrGCL200506290
info,visteam,GphGCL
info,hometeam,GbrGCL
info,date,2005/06/29
start,450779,Cooper Osteen,0,1,4
start,488887,Joe Frazee,0,2,7
start,472533,Welinson Baez,0,3,5
start,451220,Buck Shaw,0,4,10
start,474447,Michael Durant,0,5,3
start,489993,Tom Paterson,0,6,8
start,465696,Fidel Hernandez,0,7,6
start,455085,Reese Creswell,0,8,2
start,452058,Curt Miaso,0,9,9
start,463703,Reymond Cruz,0,0,1
start,448188,Deivis Rivadeneira,1,1,6
start,457788,Jordan Schafer,1,2,8
start,462101,Elvis Andrus,1,3,10
start,445219,Adam Parliament,1,4,9
start,452071,Danny Brezeale,1,5,5
start,455980,Kala Kaaihue,1,6,3
start,489132,Brandon Monk,1,7,4
start,455697,Eliazar Carmona,1,8,7
start,461427,Phillip Britton,1,9,2
start,457456,Jo-Jo Reyes,1,0,1
play,1,0,450779,,,9/F
play,1,0,488887,,,S8/G
play,1,0,placeholder,,,POCS2(136)
play,1,0,472533,,,K
play,1,1,448188,,,53/G
play,1,1,457788,,,63/G
play,1,1,462101,,,W
play,1,1,445219,,,K
play,2,0,451220,,,43/G
play,2,0,474447,,,63/G
play,2,0,489993,,,S6/G
play,2,0,465696,,,FC4/G.1X2(46)
play,2,1,452071,,,K
play,2,1,455980,,,K
play,2,1,489132,,,4/P
play,3,0,placeholder,,,NP
sub,459421,Jeff Katz,1,0,1
play,3,0,455085,,,K
play,3,0,452058,,,K
play,3,0,450779,,,K
play,3,1,455697,,,K
play,3,1,461427,,,K
play,3,1,448188,,,53/G
play,4,0,488887,,,8/F
play,4,0,472533,,,6/P
play,4,0,451220,,,5/P
play,4,1,457788,,,S6/G
play,4,1,462101,,,SB2
play,4,1,462101,,,K
play,4,1,445219,,,7/F
play,4,1,452071,,,53/G
play,5,0,474447,,,K
play,5,0,489993,,,T8/F
play,5,0,465696,,,S8/G.3-H
play,5,0,455085,,,SB2;1-3(E2)(E2/TH)
play,5,0,455085,,,K
play,5,0,452058,,,D9/L.3-H
play,5,0,450779,,,7/F
play,5,1,455980,,,W
play,5,1,489132,,,HR/F.1-H
play,5,1,455697,,,S1/G
play,5,1,461427,,,D7/G.1-3
play,5,1,448188,,,63/G.3-H
play,5,1,457788,,,PO2(E?).2-3
play,5,1,457788,,,S9/L.3-H
play,5,1,462101,,,SB2
play,5,1,462101,,,K
play,5,1,445219,,,S5/G.2-3
play,5,1,452071,,,63/G
play,6,0,488887,,,NP
sub,457781,Kyle Cofield,1,0,1
play,6,0,488887,,,7/F
play,6,0,472533,,,6/P
play,6,0,451220,,,5/P
play,6,1,455980,,,NP
sub,469198,Andrew Waldie,0,0,1
play,6,1,455980,,,8/F
play,6,1,489132,,,8/F
play,6,1,455697,,,S9/L
play,6,1,461427,,,SB2
play,6,1,461427,,,WP.2-3
play,6,1,461427,,,4/L
play,7,0,474447,,,K
play,7,0,489993,,,53/G
play,7,0,465696,,,43/G
play,7,1,448188,,,NP
sub,454639,Alex McEnaney,0,0,1
play,7,1,448188,,,7/F
play,7,1,457788,,,T9/F
play,7,1,462101,,,6/P
play,7,1,445219,,,K
play,8,0,455085,,,41/G
play,8,0,452058,,,K
play,8,0,450779,,,NP
sub,471912,Alberto Cambero,0,1,11
play,8,0,471912,,,63/G
play,8,1,452071,,,NP
sub,471912,Alberto Cambero,0,1,4
play,8,1,455980,,,NP
sub,462976,Jose Angel Mejias,0,0,1
play,8,1,452071,,,HP
play,8,1,455697,,,NP
sub,458636,Bienvenido Disla,1,5,12
play,8,1,455980,,,SB2
play,8,1,455980,,,K
play,8,1,489132,,,9/F
id,GbrGCL200507040
info,visteam,GtiGCL
info,hometeam,GbrGCL
info,date,2005/07/04
start,458007,Wilkin Rodriguez,0,1,8
start,455371,Audy Ciriaco,0,2,6
start,489413,Casper Wells,0,3,9
start,448236,Sandy Deleon,0,4,10
start,453641,Angel Reyes,0,5,3
start,447739,Pedruin Bautista,0,6,4
start,469226,Jason De La Cruz,0,7,7
start,462489,Miguel Linares,0,8,5
start,459430,Cole Miller,0,9,2
start,458930,Ramon Garcia,0,0,1
start,449899,Trevion Griffin,1,1,7
start,457788,Jordan Schafer,1,2,8
start,462101,Elvis Andrus,1,3,6
start,445219,Adam Parliament,1,4,10
start,460369,Jose Camarena,1,5,3
start,458636,Bienvenido Disla,1,6,5
start,489132,Brandon Monk,1,7,4
start,461427,Phillip Britton,1,8,2
start,455697,Eliazar Carmona,1,9,9
start,457456,Jo-Jo Reyes,1,0,1
play,1,0,458007,,,53/G
play,1,0,455371,,,K
play,1,0,489413,,,K
play,1,1,449899,,,D8/L
play,1,1,457788,,,6/P
play,1,1,462101,,,S9/L.2-H
play,1,1,445219,,,4/P
play,1,1,460369,,,K
play,2,0,448236,,,W
play,2,0,453641,,,K
play,2,0,447739,,,E6.1-2
play,2,0,469226,,,D7/L.1-H;2-H
play,2,0,462489,,,S6/G.2-3
play,2,0,459430,,,6/P
play,2,0,458007,,,43/G
play,2,1,placeholder,,,NP
sub,489188,Louis Ott,0,2,6
play,2,1,458636,,,8/F
play,2,1,489132,,,63/G
play,2,1,461427,,,S8/L
play,2,1,455697,,,8/F
play,3,0,489188,,,S9/L
play,3,0,489413,,,SB2
play,3,0,489413,,,K
play,3,0,448236,,,NP
sub,446597,Kyle Warren,1,0,1
play,3,0,448236,,,K
play,3,0,453641,,,6/P
play,3,1,449899,,,53/G
play,3,1,457788,,,S3/G
play,3,1,462101,,,SB2
play,3,1,462101,,,K
play,3,1,445219,,,53/G
play,4,0,447739,,,NP
sub,450190,Stephen Russell,1,0,1
play,4,0,447739,,,3/PF
play,4,0,469226,,,6/L
play,4,0,462489,,,T7/L
play,4,0,459430,,,K23
play,4,1,460369,,,53/G
play,4,1,458636,,,K
play,4,1,489132,,,E4
play,4,1,461427,,,9/F
play,5,0,458007,,,S7/L
play,5,0,489188,,,W.1-2
play,5,0,489413,,,D7/L.1-3;2-H
play,5,0,448236,,,9/SF.3-H
play,5,0,453641,,,K
play,5,0,447739,,,W
play,5,0,469226,,,3/P
play,5,1,455697,,,63/G
play,5,1,449899,,,53/G
play,5,1,457788,,,D8/L
play,5,1,462101,,,9/F
play,6,0,462489,,,9/F
play,6,0,459430,,,53/G
play,6,0,458007,,,S5/G
play,6,0,489188,,,SB2
play,6,0,489188,,,SB3
play,6,0,489188,,,K
play,6,1,445219,,,HR/F
play,6,1,460369,,,53/G
play,6,1,458636,,,T8/F
play,6,1,489132,,,NP
sub,455739,Garrett Berger,0,0,1
play,6,1,489132,,,WP.3-H
play,6,1,489132,,,W
play,6,1,461427,,,W.1-2
play,6,1,455697,,,NP
