id,WisMDW200505060
info,visteam,DayMDW
info,hometeam,WisMDW
info,date,2005/05/06
play,4,0,450325,,,NP
sub,465754,Stephen Grasley,1,0,1
play,4,0,450325,,,8/F
play,4,1,452678,,,K
play,4,1,449168,,,D7/G
play,4,1,453963,,,8/F
play,4,1,451573,,,D7/F.2-H
play,4,1,444125,,,K
play,5,0,452028,,,S5/BG
play,5,0,448790,,,K
play,5,0,460354,,,CS2
play,5,0,460354,,,S7/L
play,5,0,455675,,,S9/G.1-3
play,5,0,457926,,,5/PF
play,5,1,460663,,,W
play,5,1,445164,,,16(1)3/GDP/G1
play,5,1,464281,,,S5/G
play,5,1,453444,,,S5/G.1-2
play,5,1,452678,,,9/F
play,6,0,446041,,,13/G
play,6,0,461874,,,W
play,6,0,446013,,,S7/L.1-2
play,6,0,450325,,,S6/G.1-2;2-3
play,6,0,452028,,,8/SF.2-3;3-H
play,6,0,448790,,,6/P
play,6,1,449168,,,NP
sub,456701,Homer Bailey,0,0,1
play,6,1,449168,,,S9/L
play,6,1,453963,,,K
play,6,1,451573,,,SB2
play,6,1,451573,,,43/G.2-3
play,6,1,444125,,,K
play,7,0,460354,,,NP
sub,449055,Kendall Bergdall,1,0,1
play,7,0,460354,,,K
play,7,0,455675,,,HP
play,7,0,457926,,,SB2;1-3(E2)(E2/TH)
play,7,0,457926,,,63/G
play,7,0,446041,,,7/F
play,7,1,460663,,,K
play,7,1,445164,,,K
play,7,1,464281,,,W
play,7,1,453444,,,8/F
play,8,0,461874,,,S8/L
play,8,0,446013,,,POCS2(136)
play,8,0,446013,,,K
play,8,0,450325,,,2/PF
play,8,1,452678,,,W
play,8,1,449168,,,S9/F.1-3
play,8,1,453963,,,K
play,8,1,452678,,,CSH;CS2
play,9,0,452028,,,NP
sub,455597,Craig James,1,0,1
play,9,0,452028,,,6/P
play,9,0,448790,,,K
play,9,0,460354,,,S9/F
play,9,0,455675,,,3/G
play,9,1,449168,,,NP
sub,450240,Carlos Bohorquez,0,0,1
play,9,1,451573,,,W
play,9,1,444125,,,W.1-2
play,9,1,460663,,,WP.1-2;2-3
play,9,1,460663,,,S1/G.2-3;3-H
play,9,1,445164,,,NP
sub,452716,Blake Hendley,0,0,1
play,9,1,445164,,,NP
sub,462523,Brandon Green,1,9,11
play,9,1,462523,,,K
play,9,1,464281,,,6/L
play,9,1,453444,,,3/G
id,WisMDW200505080
info,visteam,DayMDW
info,hometeam,WisMDW
info,date,2005/05/08
start,455675,Philip Gentry,0,1,7
start,457926,Paul Janish,0,2,6
start,446041,John Purdom,0,3,5
start,461874,Craig Tatum,0,4,2
start,446013,Tonys Gutierrez,0,5,3
start,450325,Habelito Hernandez,0,6,10
start,452028,Drew Anderson,0,7,9
start,448790,Cody Strait,0,8,8
start,460354,Mayker Sandoval,0,9,4
start,459371,Ramon Ramirez,0,0,1
start,464281,Oswaldo Navarro,1,1,6
start,453444,Joshua Womack,1,2,8
start,453531,Robert Johnson,1,3,2
start,452678,Asdrubal Cabrera,1,4,4
start,472594,Yung Chi Chen,1,5,5
start,451573,Sebastien Boucher,1,6,9
start,453963,Thomas Hubbard,1,7,7
start,462523,Brandon Green,1,8,3
start,456698,Jack Arroyo,1,9,10
start,461863,Mumba Rivera,1,0,1
play,1,0,455675,,,K
play,1,0,457926,,,K
play,1,0,446041,,,W
play,1,0,461874,,,3/PF
play,1,1,464281,,,63/G
play,1,1,453444,,,8/F
play,1,1,453531,,,5/P
play,2,0,446013,,,HR/F
play,2,0,450325,,,K
play,2,0,452028,,,S9/G
play,2,0,448790,,,13/SH.1-2
play,2,0,460354,,,W
play,2,0,455675,,,K
play,2,1,452678,,,S8/L
play,2,1,472594,,,K
play,2,1,451573,,,CS2
play,2,1,451573,,,D7/F
play,2,1,453963,,,D9/F.2-H
play,2,1,462523,,,K
play,3,0,457926,,,K
play,3,0,446041,,,63/G
play,3,0,461874,,,31/G
play,3,1,456698,,,63/G
play,3,1,464281,,,HR/F
play,3,1,453444,,,7/F
play,3,1,453531,,,S7/L
