id,ColSAL200505040
info,visteam,AugSAL
info,hometeam,ColSAL
info,date,2005/05/04
play,6,1,444871,,,S7/L.1-2;3-H
play,6,1,465698,,,6/P
play,6,1,446565,,,NP
sub,457930,Adam Gardner,0,0,1
play,6,1,446565,,,K
play,7,0,461756,,,NP
sub,460677,Cory Wade,1,0,1
play,7,0,461756,,,53/G
play,7,0,445008,,,K
play,7,0,452210,,,S8/G
play,7,0,446879,,,S9/L.1-2
play,7,0,455725,,,43/G
play,7,1,448244,,,K
play,7,1,469845,,,K
play,7,1,455088,,,53/G
play,8,0,463625,,,E6
play,8,0,430263,,,FC4/G.1X2(46);B-1
play,8,0,448773,,,SB2
play,8,0,448773,,,S7/L.2-3
play,8,0,452013,,,9/SF.3-H
play,8,0,461756,,,S6/G.1-2
play,8,0,445008,,,8/F
play,8,1,458239,,,W
play,8,1,461315,,,1/SH.1-2
play,8,1,448622,,,NP
sub,451216,Brian Wilson,0,0,1
play,8,1,448622,,,43/G
play,8,1,444871,,,NP
sub,451640,Ryan Russ,1,7,11
play,8,1,451640,,,43/G
play,9,0,452210,,,NP
sub,451640,Ryan Russ,1,7,9
play,9,0,446879,,,NP
sub,466936,Albenis Castillo,1,0,1
play,9,0,452210,,,3/G
play,9,0,446879,,,E8.B-2
play,9,0,455725,,,9/F
play,9,0,463625,,,43/G
play,9,1,465698,,,S8/G
play,9,1,446565,,,NP
sub,448596,David Nicholson,1,8,12
play,9,1,446565,,,PB.1-2
play,9,1,446565,,,2/P
play,9,1,448244,,,53/G
play,9,1,469845,,,43/G
play,10,0,430263,,,NP
sub,448596,David Nicholson,1,8,2
play,10,0,430263,,,W
play,10,0,448773,,,34/SH.1-2
play,10,0,452013,,,S9/L.2-H(E3/TH)
play,10,0,461756,,,K
play,10,0,445008,,,6/P
play,10,1,455088,,,8/F
play,10,1,458239,,,13/G
play,10,1,461315,,,S8/G
play,10,1,448622,,,43/G
id,ColSAL200505060
info,visteam,AugSAL
info,hometeam,ColSAL
info,date,2005/05/06
start,430263,Alex Requena,0,1,8
start,448773,Marcus Sanders,0,2,6
start,452013,Carlos Sosa,0,3,7
start,461756,Jason Columbus,0,4,3
start,445008,Simon Klink,0,5,5
start,446879,Michael Wagner,0,6,9
start,455725,Stephen Holm,0,7,10
start,448145,Dayton Buller,0,8,2
start,463625,Lisandro Disla,0,9,4
start,467683,Osiris Matos,0,0,1
start,448244,Sam Steidl,1,1,7
start,469845,Jamie Hoffmann,1,2,8
start,455088,Blake Dewitt,1,3,5
start,458239,Travis Denker,1,4,4
start,444871,James Peterson,1,5,10
start,448622,Daniel Batz,1,6,3
start,448596,David Nicholson,1,7,6
start,468368,Gabriel Gutierrez,1,8,2
start,451640,Ryan Russ,1,9,9
start,455092,Scott Elbert,1,0,1
play,1,0,430263,,,W
play,1,0,placeholder,,,POCS2(136)
play,1,0,448773,,,K
play,1,0,452013,,,8/F
play,1,1,448244,,,63/G
play,1,1,469845,,,S9/G
play,1,1,455088,,,D9/F.1-H
play,1,1,458239,,,S9/L.2-3
play,1,1,444871,,,64(1)3/GDP/G6
play,2,0,461756,,,K
play,2,0,445008,,,W
play,2,0,446879,,,K
play,2,0,455725,,,3/P
play,2,1,448622,,,9/F
play,2,1,448596,,,S8/G
play,2,1,468368,,,3/G.1-2
play,2,1,451640,,,K
play,3,0,448145,,,K
play,3,0,463625,,,K
play,3,0,430263,,,W
play,3,0,448773,,,53/G
play,3,1,448244,,,S8/G
play,3,1,469845,,,S9/G.1-3
play,3,1,455088,,,6/P
play,3,1,458239,,,FC5.1-2;3XH(52)
play,3,1,444871,,,63/G
play,4,0,452013,,,W
play,4,0,461756,,,PB.1-2
play,4,0,461756,,,S7/G.2-H
play,4,0,445008,,,K
play,4,0,446879,,,S8/G.1-2
play,4,0,455725,,,7/F
play,4,0,448145,,,K
play,4,1,448622,,,9/F
play,4,1,448596,,,HP
play,4,1,468368,,,CS2
play,4,1,468368,,,43/G
play,5,0,463625,,,NP
sub,448230,Philip Sobkow,1,0,1
play,5,0,463625,,,53/G
play,5,0,430263,,,6/P
play,5,0,448773,,,D7/F
play,5,0,452013,,,D9/F.2-H
play,5,0,461756,,,W
play,5,0,445008,,,7/F
play,5,1,451640,,,7/F
play,5,1,448244,,,S7/L
play,5,1,469845,,,DGR/F8.1-3
play,5,1,455088,,,7/SF.3-H
play,5,1,458239,,,8/F
play,6,0,446879,,,HP
play,6,0,455725,,,K
play,6,0,448145,,,53/G.1-2
play,6,0,463625,,,9/F
play,6,1,444871,,,S7/G
play,6,1,448622,,,4/P
play,6,1,448596,,,9/F
play,6,1,468368,,,W.1-2
play,6,1,451640,,,E3.1-2;2-3
play,6,1,448244,,,FC6/G.1X2(64)
play,7,0,430263,,,W
play,7,0,448773,,,CS2
play,7,0,448773,,,3/P
play,7,0,452013,,,S6/G
play,7,0,461756,,,63/G
play,7,1,469845,,,NP
sub,448144,Brian Stirm,0,0,1
play,7,1,469845,,,S8/G
play,7,1,455088,,,PO1(E?).1-2
play,7,1,455088,,,K
play,7,1,458239,,,SB3
play,7,1,458239,,,3/P
play,7,1,444871,,,K
play,8,0,445008,,,NP
sub,461743,Zachary Hammes,1,0,1
play,8,0,445008,,,S6/G
play,8,0,446879,,,34/SH.1-2
play,8,0,455725,,,NP
sub,452210,Brad Vericker,0,7,11
play,8,0,452210,,,W
play,8,0,448145,,,K
play,8,0,463625,,,63/G
play,8,1,448622,,,NP
sub,452210,Brad Vericker,0,7,10
play,8,1,448622,,,S5/G
play,8,1,448596,,,K+WP.1-2
play,8,1,468368,,,9/F
play,8,1,451640,,,S9/G.2XH
play,9,0,430263,,,W
play,9,0,448773,,,34/SH.1-2
play,9,0,452013,,,HP
play,9,0,461756,,,S7/G.1-2;2-H
play,9,0,445008,,,OA.2X3(25)
play,9,0,445008,,,13/G
