id,MisSL200505130
info,visteam,MobSL
info,hometeam,MisSL
info,date,2005/05/13
play,5,0,462433,,,E7.1-H;2-H;3-H;B-2
play,5,0,453862,,,NP
sub,439309,James Dehart,1,9,1
play,5,0,453862,,,7/F
play,5,1,435263,,,NP
sub,444520,Craig Breslow,0,9,1
play,5,1,435263,,,S9/L
play,5,1,438423,,,FC4/G.1X2(46);B-1
play,5,1,430643,,,POCS2(136)
play,5,1,430643,,,K
play,6,0,444912,,,W
play,6,0,430647,,,S7/L.1-2
play,6,0,434582,,,46(1)3/GDP/G4.2-3
play,6,0,431161,,,D8/L.3-H
play,6,0,456099,,,8/F
play,6,1,434682,,,W
play,6,1,439309,,,24/SH.1-2
play,6,1,453923,,,K
play,6,1,451664,,,NP
sub,445222,Jack Cassel,0,9,1
play,6,1,451664,,,43/G
play,7,0,448732,,,S8/G
play,7,0,445222,,,1/SH.1-2
play,7,0,462433,,,4/L
play,7,0,453862,,,S4/G.2-3
play,7,0,444912,,,NP
sub,457450,Glenn Tucker,1,9,1
play,7,0,444912,,,W.1-2
play,7,0,430647,,,FC5/G.2X3(5)
id,MisSL200505150
info,visteam,MobSL
info,hometeam,MisSL
info,date,2005/05/15
start,453862,Dustin Delluchi,0,1,8
start,444912,Ronald MerrillJr.,0,2,6
start,434582,Paul McAnulty,0,3,7
start,430647,Corey Smith,0,4,5
start,450192,Luke Carlin,0,5,2
start,456099,Greg Sain,0,6,3
start,444534,Mike Richardson,0,7,9
start,448732,Jason Clements,0,8,4
start,445120,Michael Thompson,0,9,1
start,453923,Gregor Blanco,1,1,8
start,451664,Wes Timmons,1,2,5
start,435263,Brian McCann,1,3,2
start,429801,Scott Thorman,1,4,3
start,452190,Michael RosamondJr.,1,5,9
start,438423,Juan Velazquez,1,6,6
start,430643,Onil Joseph,1,7,7
start,459320,Jonathan Schuerholz,1,8,4
start,434679,Anthony Lerew,1,9,1
play,1,0,453862,,,63/G
play,1,0,444912,,,7/F
play,1,0,434582,,,W
play,1,0,430647,,,43/G
play,1,1,453923,,,K
play,1,1,451664,,,8/F
play,1,1,435263,,,9/F
play,2,0,450192,,,K
play,2,0,456099,,,E3
play,2,0,444534,,,4/P
play,2,0,448732,,,43/G
play,2,1,429801,,,8/F
play,2,1,452190,,,9/F
play,2,1,438423,,,7/F
play,3,0,445120,,,K
play,3,0,453862,,,6/L
play,3,0,444912,,,W
play,3,0,434582,,,S9/G.1-3
play,3,0,430647,,,S7/G.1-2;3-H
play,3,0,450192,,,43/G
play,3,1,430643,,,13/G
play,3,1,459320,,,53/G
play,3,1,434679,,,S8/L
play,3,1,453923,,,K
play,4,0,456099,,,S7/L
play,4,0,444534,,,63/G.1-2
play,4,0,448732,,,T9/F.2-H
play,4,0,445120,,,K
play,4,0,453862,,,3/G
play,4,1,451664,,,8/F
play,4,1,435263,,,9/F
play,4,1,429801,,,43/G
play,5,0,444912,,,K
play,5,0,434582,,,K
play,5,0,430647,,,9/F
play,5,1,452190,,,53/G
play,5,1,438423,,,D9/F
play,5,1,430643,,,S8/L.2-3
play,5,1,459320,,,S9/G.1-3;3-H
play,5,1,434679,,,E3.1-2;3-H
play,5,1,453923,,,K
play,5,1,451664,,,9/L
play,6,0,450192,,,31/G
play,6,0,456099,,,63/G
play,6,0,444534,,,W
play,6,0,448732,,,FC5/G.1X2(54)
play,6,1,435263,,,6/P
play,6,1,429801,,,K
play,6,1,452190,,,63/G
play,7,0,445120,,,NP
sub,150053,Mike Porzio,1,9,1
play,7,0,445120,,,9/L
play,7,0,453862,,,W
play,7,0,444912,,,43/G.1-2
play,7,0,434582,,,HR/F.2-H
play,7,0,430647,,,K
play,7,1,438423,,,43/G
play,7,1,430643,,,6/L
play,7,1,459320,,,8/F
play,8,0,450192,,,S7/L
play,8,0,456099,,,7/FF
play,8,0,444534,,,54(1)3/GDP/G5
play,8,1,150053,,,NP
sub,434682,Luis Hernandez,1,9,11
play,8,1,434682,,,K
play,8,1,453923,,,S8/G
play,8,1,451664,,,NP
sub,452175,Natanael Mateo,0,7,1
play,8,1,435263,,,NP
sub,462433,Casey Baker,0,9,9
play,8,1,451664,,,4/P
play,8,1,435263,,,43/G
play,9,0,448732,,,NP
sub,430655,Jorge Vasquez,1,9,1
play,9,0,448732,,,S6/G
play,9,0,462433,,,13/SH.1-2
play,9,0,453862,,,5/PF
play,9,0,444912,,,S9/L.2-H
play,9,0,434582,,,SB2
play,9,0,434582,,,K23
play,9,1,429801,,,NP
sub,445612,Dale Thayer,0,7,1
play,9,1,429801,,,W
play,9,1,452190,,,S9/G.1-2
play,9,1,438423,,,5/PF
play,9,1,430643,,,K
play,9,1,459320,,,S9/G.1-3;2-H
play,9,1,430655,,,NP
sub,425796,Jeff Francoeur,1,9,11
play,9,1,425796,,,3/G
id,MisSL200505160
info,visteam,BirSL
info,hometeam,MisSL
info,date,2005/05/16
start,435539,Jerry Owens,0,1,7
start,455759,Christopher Young,0,2,8
start,435220,Ryan Sweeney,0,3,9
start,434602,Casey Rogowski,0,4,3
start,435222,Josh Fields,0,5,5
start,279565,Darren Blakely,0,6,10
start,455755,Chris Stewart,0,7,2
start,458873,Guillermo Reyes,0,8,6
start,455683,Antoin Gray,0,9,4
start,434600,Sean Tracey,0,0,1
start,453923,Gregor Blanco,1,1,8
start,438423,Juan Velazquez,1,2,5
start,425796,Jeff Francoeur,1,3,9
start,429801,Scott Thorman,1,4,3
start,435263,Brian McCann,1,5,10
start,430643,Onil Joseph,1,6,7
start,443554,Iker Franco,1,7,2
start,434682,Luis Hernandez,1,8,6
start,459320,Jonathan Schuerholz,1,9,4
start,430641,Blaine Boyer,1,0,1
play,1,0,435539,,,3/BG
play,1,0,455759,,,K
play,1,0,435220,,,S9/G
play,1,0,434602,,,FC6/G.1X2(64)
play,1,1,453923,,,5/P
play,1,1,438423,,,7/F
play,1,1,425796,,,43/G
play,2,0,435222,,,K
play,2,0,279565,,,W
play,2,0,455755,,,S7/G.1-2
play,2,0,458873,,,S7/L.1-3(E7)(E7);2-H
play,2,0,455683,,,D7/G.1-H;3-H
play,2,0,435539,,,K
play,2,0,455759,,,K23
play,2,1,429801,,,3/G
play,2,1,435263,,,D9/L
play,2,1,430643,,,S9/G.2-H(E9)
play,2,1,443554,,,7/F
play,2,1,434682,,,43/G
play,3,0,435220,,,K
play,3,0,434602,,,S7/L
play,3,0,435222,,,K
play,3,0,279565,,,SB2
play,3,0,279565,,,43/G
play,3,1,459320,,,9/F
play,3,1,453923,,,K
play,3,1,438423,,,2/PF
play,4,0,455755,,,53/G
play,4,0,458873,,,S9/G
play,4,0,455683,,,FC4/G.1X2(49);B-1
play,4,0,435539,,,43/G
play,4,1,425796,,,53/G
play,4,1,429801,,,S9/G
play,4,1,435263,,,D9/L.1-3
play,4,1,430643,,,63/G.2-3;3-H
play,4,1,443554,,,S8/L.3-H
play,4,1,434682,,,4/P
play,5,0,455759,,,4/P
play,5,0,435220,,,S9/L
play,5,0,434602,,,36(1)1/GDP/G3
