id,MisSL200604060
info,visteam,HunSL
info,hometeam,MisSL
info,date,2006/04/06
play,7,1,457454,,,K
play,7,1,452169,,,NP
sub,449081,Steve Bray,0,9,1
play,7,1,452169,,,9/F
play,7,1,452190,,,HR/F.1-H
play,7,1,430643,,,K
play,8,0,431153,,,53/G
play,8,0,457824,,,43/G
play,8,0,435139,,,K
play,8,1,434682,,,7/F
play,8,1,457460,,,NP
sub,453835,Ray Serrano,1,9,11
play,8,1,453835,,,4/P
play,8,1,453923,,,S7/F
play,8,1,445988,,,4/P
play,9,0,462560,,,NP
sub,434580,Brad Baker,1,9,1
play,9,0,462560,,,3/PF
play,9,0,461788,,,9/F
play,9,0,449081,,,NP
sub,451682,Kennard Bibbs,0,9,11
play,9,0,451682,,,K
play,9,1,488862,,,NP
sub,206463,Joe Winkelsas,0,9,1
play,9,1,488862,,,K
play,9,1,457454,,,6/L
play,9,1,452169,,,S2/P
play,9,1,452190,,,S5/BG.1-2
play,9,1,430643,,,NP
sub,150306,Dax Norris,1,7,11
play,9,1,150306,,,13/G
id,MisSL200604080
info,visteam,HunSL
info,hometeam,MisSL
info,date,2006/04/08
start,450825,Callix Crabbe,0,1,4
start,449776,Drew Anderson,0,2,7
start,457824,Adam Heether,0,3,5
start,431153,Ron Acuna,0,4,9
start,462560,Jeffrey Eure,0,5,3
start,400268,Jean Boscan,0,6,2
start,451682,Kennard Bibbs,0,7,8
start,461788,Ozzie Chavez,0,8,6
start,407903,Corey Thurman,0,9,1
start,453923,Gregor Blanco,1,1,8
start,445988,Martin Prado,1,2,5
start,488862,Yunel Escobar,1,3,6
start,457454,Jarrod Saltalamacchia,1,4,2
start,150306,Dax Norris,1,5,3
start,452169,Matt Esquivel,1,6,9
start,461345,Carl Loadenthal,1,7,7
start,452162,Josh Arteaga,1,8,4
start,448626,Brady Endl,1,9,1
play,1,0,450825,,,8/L
play,1,0,449776,,,HP
play,1,0,457824,,,63/G.1-2
play,1,0,431153,,,W
play,1,0,462560,,,K
play,1,1,453923,,,K
play,1,1,445988,,,43/G
play,1,1,488862,,,K
play,2,0,400268,,,W
play,2,0,451682,,,FC4/G.1X2(46);B-1
play,2,0,461788,,,E6.1-2
play,2,0,407903,,,FC1/B.1-3;2X3(15);B-2(E5/TH)
play,2,0,450825,,,D9/F.2-H;3-H
play,2,0,449776,,,K
play,2,1,457454,,,W
play,2,1,150306,,,K
play,2,1,452169,,,FC3/G.1X2(36);B-1
play,2,1,461345,,,CS2
play,3,0,457824,,,W
play,3,0,431153,,,54(1)3/GDP/G5
play,3,0,462560,,,53/G
play,3,1,461345,,,43/G
play,3,1,452162,,,K
play,3,1,448626,,,3/PF
play,4,0,400268,,,9/F
play,4,0,451682,,,K
play,4,0,461788,,,K
play,4,1,453923,,,43/G
play,4,1,445988,,,43/G
play,4,1,488862,,,W
play,4,1,457454,,,K
play,5,0,407903,,,NP
sub,446932,Bryan Digby,1,9,1
play,5,0,407903,,,NP
