id,BluAPP200606281
info,visteam,EliAPP
info,hometeam,BluAPP
info,date,2006/06/28
sub,502286,Aubrey Miller,1,0,1
play,7,0,468522,,,S9/L
play,7,0,474727,,,64(1)3/GDP/G6
play,7,0,458686,,,63/G
id,BluAPP200606291
info,visteam,EliAPP
info,hometeam,BluAPP
info,date,2006/06/29
start,471131,William Luque,0,1,5
start,445165,Josh Land,0,2,7
start,501920,Brian Dinkelman,0,3,4
start,474727,Henry Sanchez,0,4,10
start,458686,Gregory Yersich,0,5,2
start,445180,Danny Santiesteban,0,6,8
start,455702,Joshua Dean,0,7,3
start,457739,J. W. Wilson,0,8,9
start,465713,Yancarlos Ortiz,0,9,6
start,488751,Alex Burnett,0,0,1
start,465753,Pedro Florimon Jr.,1,1,6
start,466445,Pedro Silveren,1,2,4
start,457780,Kieron Pope,1,3,7
start,488780,Paul Chmiel,1,4,3
start,458593,Joey Howell,1,5,9
start,463717,Richard D Oleo,1,6,8
start,462984,Franklin Gonzalez,1,7,5
start,489762,Leonel Yeme,1,8,10
start,502664,Justin Johnson,1,9,2
start,503483,Zachary Clark,1,0,1
play,1,0,471131,,,K
play,1,0,445165,,,43/G
play,1,0,501920,,,K23
play,1,1,465753,,,W
play,1,1,466445,,,6(B)63(1)/LDP
play,1,1,457780,,,K
play,2,0,474727,,,4/P
play,2,0,458686,,,53/G
play,2,0,445180,,,K
play,2,1,488780,,,K
play,2,1,458593,,,5/P
play,2,1,463717,,,43/G
play,3,0,455702,,,3/G
play,3,0,457739,,,63/G
play,3,0,465713,,,43/G
play,3,1,462984,,,3/PF
play,3,1,489762,,,53/G
play,3,1,502664,,,S6/G
play,3,1,465753,,,43/G
play,4,0,471131,,,HP
play,4,0,445165,,,E4.1-2
play,4,0,501920,,,S8/G.1-3;2-H
play,4,0,474727,,,K
play,4,0,458686,,,S9/L.1-3;3-H
play,4,0,445180,,,DI.1-2
play,4,0,445180,,,W
play,4,0,455702,,,5(B)5(3)/LDP
play,4,1,466445,,,9/F
play,4,1,457780,,,S6/G
play,4,1,488780,,,16(1)3/GDP/G1
play,5,0,457739,,,NP
sub,460348,Gustavo Camacho,1,0,1
play,5,0,457739,,,S8/G
play,5,0,465713,,,S9/G.1-2
play,5,0,471131,,,E6.1-2;2-3
play,5,0,445165,,,K
play,5,0,501920,,,S7/G.1-2;2-3;3-H
play,5,0,474727,,,D8/F.1-H;2-H;3-H
play,5,0,458686,,,8/F
play,5,0,445180,,,T7/F.2-H
