id,BilPIO200506270
info,visteam,GrePIO
info,hometeam,BilPIO
info,date,2005/06/27
play,5,0,460075,,,NP
sub,465758,Ken Geiersbach,1,0,1
play,5,0,460075,,,S5/BG
play,5,0,455079,,,13/SH.1-2
play,5,0,489421,,,8/F
play,5,0,451143,,,S8/G.2-H
play,5,0,450597,,,S7/G.1-3
play,5,0,460357,,,FC4/G.1X2(46)
play,5,1,489152,,,HP
play,5,1,461343,,,46(1)3/GDP/G4
play,5,1,448812,,,K
play,6,0,452096,,,NP
sub,489546,Aaron Garrison,1,0,1
play,6,0,452096,,,K
play,6,0,449792,,,S6/G
play,6,0,449162,,,PB.1-2
play,6,0,449162,,,31/G.2-3
play,6,0,460075,,,K
play,6,1,458246,,,W
play,6,1,446224,,,13/SH.1-2
play,6,1,446904,,,WP.2-3
play,6,1,446904,,,K
play,6,1,458721,,,13/G
play,7,0,455079,,,E1
play,7,0,489421,,,CS2
play,7,0,489421,,,K
play,7,0,451143,,,K
play,7,1,460083,,,NP
sub,453902,Ronny Malave,0,0,1
play,7,1,460083,,,HP
play,7,1,460354,,,FC6/G.1X2(64);B-1
play,7,1,489152,,,W.1-2
play,7,1,461343,,,9/F.2-3
play,7,1,448812,,,K
play,8,0,450597,,,63/G
play,8,0,460357,,,S9/G
play,8,0,452096,,,S8/G.1-3
play,8,0,449792,,,NP
sub,457487,Jose A. Rojas,1,0,1
play,8,0,449792,,,16(1)3/GDP/G1
play,8,1,458246,,,S8/G
play,8,1,446224,,,34/SH.1-2
play,8,1,446904,,,PB.2-3
play,8,1,446904,,,7/SF.3-H
play,8,1,458721,,,S1/BG
play,8,1,460083,,,63/G
play,9,0,449162,,,W
play,9,0,460075,,,4/P
play,9,0,455079,,,K
play,9,0,489421,,,3/PF
id,BilPIO200506300
info,visteam,HelPIO
info,hometeam,BilPIO
info,date,2005/06/30
start,452096,Darren Ford,0,1,7
start,449792,Charlie Fermaint,0,2,8
start,449162,Angel Salome,0,3,10
start,460075,Ryan Braun,0,4,5
start,489421,Bradley Willcutt,0,5,2
start,451143,Matthew Gamel,0,6,3
start,446428,Brendan Katin,0,7,9
start,488807,Ryan Crew,0,8,6
start,446803,Kenneth Holmberg,0,9,4
start,456384,Robert Wooley,0,0,1
start,458721,Brandon Roberts,1,1,8
start,452325,Josh Holden,1,2,7
start,488826,Michael De Jesus,1,3,4
start,448812,James Langham,1,4,10
start,454653,JD Roberts,1,5,3
start,489267,Adam Rosales,1,6,6
start,458246,Jose Ronda,1,7,5
start,488715,Benjamin Blumenthal,1,8,2
start,446904,Kenny Lewis,1,9,9
start,459999,Jeffrey Stevens,1,0,1
play,1,0,452096,,,K
play,1,0,449792,,,53/G
play,1,0,449162,,,63/G
play,1,1,458721,,,S3/G
play,1,1,452325,,,13/SH.1-2
play,1,1,488826,,,WP.2-3
play,1,1,488826,,,K
play,1,1,448812,,,53/G
play,2,0,460075,,,9/F
play,2,0,489421,,,D7/F
play,2,0,451143,,,T7/G.2-H
play,2,0,446428,,,8/SF.3-H
play,2,0,488807,,,63/G
play,2,1,454653,,,S7/G
play,2,1,489267,,,S7/L.1-2
play,2,1,458246,,,W.1-2;2-3
play,2,1,488715,,,S8/G.1-2;2-3;3-H
play,2,1,446904,,,FC4/G.1X2(46);2-3;3-H;B-1
play,2,1,458721,,,SB2
play,2,1,458721,,,FC6.2X3(65);3-H
play,2,1,452325,,,SB2;1-3(E2)(E2/TH)
play,2,1,452325,,,E1.3-H
play,2,1,488826,,,SB2
play,2,1,488826,,,W
play,2,1,448812,,,NP
sub,489237,Dane Renkert,0,0,1
play,2,1,448812,,,SB3;SB2
play,2,1,448812,,,K
play,3,0,446803,,,3/PF
play,3,0,452096,,,S5/G
play,3,0,449792,,,SB2;1-3(E2)(E2/TH)
play,3,0,449792,,,K
play,3,0,449162,,,63/G
play,3,1,454653,,,K
play,3,1,489267,,,S8/G
play,3,1,458246,,,13/G.1-2
play,3,1,488715,,,K
play,4,0,460075,,,NP
sub,444968,Charles O'Neal,1,0,1
play,4,0,460075,,,53/G
play,4,0,489421,,,K
play,4,0,451143,,,K
play,4,1,446904,,,NP
sub,462135,Steven Hammond,0,0,1
play,4,1,446904,,,K
play,4,1,458721,,,T9/G
play,4,1,452325,,,K
play,4,1,488826,,,K
play,5,0,446428,,,S6/G
play,5,0,488807,,,64(1)3/GDP/G6
play,5,0,446803,,,53/G
play,5,1,448812,,,K
play,5,1,454653,,,K
play,5,1,489267,,,K
play,6,0,452096,,,S7/G
play,6,0,449792,,,SB2
play,6,0,449792,,,S6/G.2-3
play,6,0,449162,,,46(1)3/GDP/G4.3-H
play,6,0,460075,,,W
play,6,0,489421,,,FC6/G.1X2(64)
play,6,1,458246,,,K
play,6,1,488715,,,K
play,6,1,446904,,,K
play,7,0,451143,,,W
play,7,0,446428,,,NP
sub,465758,Ken Geiersbach,1,0,1
play,7,0,446428,,,W.1-2
play,7,0,488807,,,PO2(16)
play,7,0,488807,,,E5.1-3
play,7,0,446803,,,4/P
play,7,0,452096,,,S6/G.1-2;3-H
play,7,0,449792,,,8/F
play,7,1,458721,,,6/P
play,7,1,452325,,,53/G
play,7,1,488826,,,43/G
play,8,0,449162,,,NP
sub,489398,Jason Vecchio,1,0,1
play,8,0,460075,,,NP
sub,461343,Jordan Belcher,1,9,9
play,8,0,449162,,,HR/F
play,8,0,460075,,,9/F
play,8,0,489421,,,K
play,8,0,451143,,,3/G
play,8,1,448812,,,NP
sub,444957,Joshua Louis,0,0,1
play,8,1,448812,,,S9/G
play,8,1,454653,,,WP.1-2
play,8,1,454653,,,K
play,8,1,489267,,,6/P
play,8,1,458246,,,K
play,9,0,446428,,,NP
sub,458156,James Morris,1,0,1
play,9,0,446428,,,9/F
play,9,0,488807,,,W
play,9,0,446803,,,WP.1-2
play,9,0,446803,,,W
play,9,0,452096,,,W.1-2;2-3
play,9,0,449792,,,NP
sub,457929,Thomas Lanier,1,0,1
play,9,0,449792,,,WP.1-2;2-3;3-H
play,9,0,449792,,,HR/F.2-H;3-H
play,9,0,449162,,,8/F
play,9,0,460075,,,63/G
play,9,1,488715,,,K
play,9,1,461343,,,63/G
play,9,1,458721,,,63/G
id,BilPIO200507010
info,visteam,HelPIO
info,hometeam,BilPIO
info,date,2005/07/01
start,452096,Darren Ford,0,1,7
start,449792,Charlie Fermaint,0,2,8
start,449162,Angel Salome,0,3,2
start,460075,Ryan Braun,0,4,10
start,489421,Bradley Willcutt,0,5,3
start,450597,Michael Bell,0,6,5
start,446428,Brendan Katin,0,7,9
start,488807,Ryan Crew,0,8,6
start,446803,Kenneth Holmberg,0,9,4
start,488994,Christopher Jean,0,0,1
start,458721,Brandon Roberts,1,1,8
start,460083,Eric Eymann,1,2,10
start,489267,Adam Rosales,1,3,6
start,489152,Benjamin Mummy,1,4,3
start,461343,Jordan Belcher,1,5,9
start,448657,Jarrett Reininger,1,6,5
start,460354,Mayker Sandoval,1,7,4
start,446224,Christopher Denove,1,8,2
start,452325,Josh Holden,1,9,7
start,446245,David Wilson,1,0,1
play,1,0,452096,,,S1/G
play,1,0,449792,,,8/F
play,1,0,449162,,,SB2
play,1,0,449162,,,S9/F.2-H
play,1,0,460075,,,8/F
play,1,0,489421,,,SB2;1-3(E3)(E3/TH)
play,1,0,489421,,,53/G
play,1,1,458721,,,43/G
play,1,1,460083,,,K
play,1,1,489267,,,W
play,1,1,489152,,,S7/L.1-2
play,1,1,461343,,,4/L
play,2,0,450597,,,S7/F
play,2,0,446428,,,HR/F.1-H
play,2,0,488807,,,S8/G
play,2,0,446803,,,16(1)3/GDP/G1
play,2,0,452096,,,K
play,2,1,448657,,,D8/F
play,2,1,460354,,,HR/F.2-H
play,2,1,446224,,,8/F
play,2,1,452325,,,7/F
play,2,1,458721,,,53/BG
play,3,0,449792,,,W
play,3,0,449162,,,46(1)3/GDP/G4
play,3,0,460075,,,K
play,3,1,460083,,,K
play,3,1,489267,,,4/P
play,3,1,489152,,,D8/L
play,3,1,461343,,,D9/G.2-H
play,3,1,448657,,,43/G
play,4,0,489421,,,NP
sub,461418,Robert Wachman,1,0,1
play,4,0,489421,,,K
play,4,0,450597,,,8/F
play,4,0,446428,,,W
play,4,0,488807,,,SB2
play,4,0,488807,,,43/G
play,4,1,460354,,,NP
sub,457564,Patrick Ryan,0,0,1
play,4,1,460354,,,K
play,4,1,446224,,,S8/F
play,4,1,452325,,,K
play,4,1,458721,,,8/F
play,5,0,446803,,,HR/F
play,5,0,452096,,,63/G
play,5,0,449792,,,W
play,5,0,449162,,,S9/G.1-H;B-2
play,5,0,460075,,,S5/BG
play,5,0,489421,,,WP.1-2;2-3
play,5,0,489421,,,63/G.2-3;3-H
play,5,0,450597,,,43/G
play,5,1,460083,,,7/F
play,5,1,489267,,,53/G
play,5,1,489152,,,63/G
play,6,0,446428,,,7/F
play,6,0,488807,,,7/L
play,6,0,446803,,,53/G
play,6,1,461343,,,NP
sub,453652,Rafael Lluberes,0,0,1
play,6,1,461343,,,D9/L
play,6,1,448657,,,K
play,6,1,460354,,,D7/L.2-H
play,6,1,446224,,,S7/G.2-H
play,6,1,452325,,,W.1-2
play,6,1,458721,,,PB.1-2;2-3
play,6,1,458721,,,6/SF.3-H
play,6,1,460083,,,NP
sub,458683,Kevin Roberts,0,0,1
play,6,1,460083,,,43/G
play,7,0,452096,,,K
play,7,0,449792,,,K
play,7,0,449162,,,53/G
play,7,1,489267,,,K
play,7,1,489152,,,K
play,7,1,461343,,,W
play,7,1,448657,,,53/G
play,8,0,460075,,,NP
sub,489398,Jason Vecchio,1,0,1
play,8,0,460075,,,9/F
play,8,0,489421,,,NP
sub,456495,Carlos Gallardo,0,5,11
play,8,0,456495,,,K
play,8,0,450597,,,63/G
play,8,1,460354,,,NP
sub,456495,Carlos Gallardo,0,5,3
play,8,1,460354,,,S8/F
play,8,1,placeholder,,,NP
sub,446904,Kenny Lewis,1,7,12
play,8,1,446224,,,1/BP
play,8,1,452325,,,WP.1-2
