TeamID,City,Nickname,League,06Aff,07Aff,08Aff,09Aff,10Aff
VanNWL,Vancouver,Canadians,NWL,Oak,Oak,Oak,Oak,Oak
ColSAL,None,Catfish,SAL,Lad,Tam,Tam,None,None
AsdDSL,DSL Astros, ,DSL,None,None,None,Hou,Hou
TulTEX,Tulsa,Drillers,TEX,Col,Col,Col,Col,Col
AshSAL,Asheville,Tourists,SAL,Col,Col,Col,Col,Col
RanCAL,Rancho Cucamonga,Quakes,CAL,Laa,Laa,Laa,Laa,Laa
NwhEL,New Hampshire,Fisher Cats,EL,Tor,Tor,Tor,Tor,Tor
WisMDW,Wisconsin,Timber Rattlers,MDW,Sea,Sea,Sea,Mil,Mil
BurAPP,Burlington,Indians,APP,Cle,Kan,Kan,Kan,Kan
AbeNYP,Aberdeen,IronBirds,NYP,Bal,Bal,Bal,Bal,Bal
SpoNWL,Spokane,Indians,NWL,Tex,Tex,Tex,Tex,Tex
CasPIO,Casper,Rockies,PIO,Col,Col,Col,Col,Col
RbdDSL,DSL Rangers2, ,DSL,None,None,None,Tex,None
SalCAR,Salem,Avalanche,CAR,Hou,Hou,Hou,Bos,Bos
TriNYP,Tri-City,ValleyCats,NYP,Hou,Hou,Hou,Hou,Hou
ChaFSL,Charlotte,Stone Crabs,FSL,None,None,None,Tam,Tam
VerFSL,None,Devil Rays,FSL,Lad,Tam,Tam,None,None
RsdDSL,DSL Red Sox, ,DSL,None,None,None,Bos,Bos
QuaMDW,Quad Cities,Swing,MDW,St.,St.,St.,St.,St.
YadDSL,DSL Yankees1, ,DSL,None,None,None,Nyy,Nyy
OrdDSL,DSL Orioles1, ,DSL,None,None,None,Bal,Bal
GrbSAL,Greensboro,Grasshoppers,SAL,Flo,Flo,Flo,Flo,Flo
PawIL,Pawtucket,Red Sox,IL,Bos,Bos,Bos,Bos,Bos
FrePCL,Fresno,Grizzlies,PCL,Sfg,Sfg,Sfg,Sfg,Sfg
ForFSL,Fort Myers,Miracle,FSL,Min,Min,Min,Min,Min
AreAZL,AZL Reds, ,AZL,None,None,None,None,Cin
BufIL,Buffalo,Bisons,IL,Cle,Cle,Cle,Nym,Nym
LouIL,Louisville,Bats,IL,Cin,Cin,Cin,Cin,Cin
BelMDW,Beloit,Snappers,MDW,Min,Min,Min,Min,Min
SobMDW,South Bend,Silver Hawks,MDW,Ari,Ari,Ari,Ari,Ari
CliMDW,Clinton,LumberKings,MDW,Tex,Tex,Tex,Sea,Sea
LodDSL,DSL Dodgers, ,DSL,None,None,None,Lad,Lad
CadDSL,DSL Cubs1, ,DSL,None,None,None,Chc,Chc
ModCAL,Modesto,Nuts,CAL,Col,Col,Col,Col,Col
TbdDSL,DSL Rays, ,DSL,None,None,None,Tam,Tam
GtiGCL,GCL Tigers, ,GCL,Det,Det,Det,Det,Det
LakCAL,Lake Elsinore,Storm,CAL,Sdp,Sdp,Sdp,Sdp,Sdp
ColIL,Columbus,Clippers,IL,Nyy,Was,Was,Cle,Cle
TreEL,Trenton,Thunder,EL,Nyy,Nyy,Nyy,Nyy,Nyy
NorIL,Norfolk,Tides,IL,Nym,Bal,Bal,Bal,Bal
AlbPCL,Albuquerque,Isotopes,PCL,Flo,Flo,Flo,Lad,Lad
ApaAZL,AZL Padres, ,AZL,Sdp,Sdp,Sdp,Sdp,Sdp
ConEL,None,Defenders,EL,Sfg,Sfg,Sfg,Sfg,None
LexSAL,Lexington,Legends,SAL,Hou,Hou,Hou,Hou,Hou
CbdDSL,DSL Cubs2, ,DSL,None,None,None,Chc,Chc
TenSL,Tennessee,Smokies,SL,Ari,Chc,Chc,Chc,Chc
OttIL,None,Lynx,IL,Bal,Phi,None,None,None
GorGCL,GCL Orioles, ,GCL,None,Bal,Bal,Bal,Bal
BroNYP,Brooklyn,Cyclones,NYP,Nym,Nym,Nym,Nym,Nym
EugNWL,Eugene,Emeralds,NWL,Sdp,Sdp,Sdp,Sdp,Sdp
VtmVZL,VSL Tigers/Marlins, ,VZL,Det,Flo,Flo,None,None
St.FSL,St. Lucie,Mets,FSL,Nym,Nym,Nym,Nym,Nym
DayFSL,Daytona,Cubs,FSL,Chc,Chc,Chc,Chc,Chc
IowPCL,Iowa,Cubs,PCL,Chc,Chc,Chc,Chc,Chc
BinEL,Binghamton,Mets,EL,Nym,Nym,Nym,Nym,Nym
PorEL,Portland,Sea Dogs,EL,Bos,Bos,Bos,Bos,Bos
VowVZL,VSL Orioles/White Sox, ,VZL,Chw,Chw,Chw,None,None
DelSAL,Delmarva,Shorebirds,SAL,Bal,Bal,Bal,Bal,Bal
SyrIL,Syracuse,SkyChiefs,IL,Tor,Tor,Tor,Was,Was
MedDSL,DSL Mets1, ,DSL,None,None,None,Nym,Nym
ForMDW,Fort Wayne,Wizards,MDW,Sdp,Sdp,Sdp,Sdp,Sdp
BluGCL,GCL Blue Jays, ,GCL,None,Tor,Tor,Tor,Tor
PotCAR,Potomac,Nationals,CAR,Was,Was,Was,Was,Was
NewNYP,None,Cardinals,NYP,St.,None,None,None,None
GrvSAL,Greenville,Drive,SAL,Bos,Bos,Bos,Bos,Bos
LanCAL,Lancaster,JetHawks,CAL,Ari,Bos,Bos,Hou,Hou
KinCAR,Kinston,Indians,CAR,Cle,Cle,Cle,Cle,Cle
AbrAZL,AZL Brewers, ,AZL,Mil,Mil,Mil,Mil,Mil
ChaSAL,Charleston,RiverDogs,SAL,Nyy,Nyy,Nyy,Nyy,Nyy
BraFSL,Bradenton,Marauders,FSL,None,None,None,None,Pit
VcaVZL,VSL Cardinals, ,VZL,St.,St.,St.,St.,St.
VraVZL,VSL Rays, ,VZL,None,None,None,Tam,Tam
BreFSL,Brevard County,Manatees,FSL,Mil,Mil,Mil,Mil,Mil
AatAZL,AZL Athletics, ,AZL,Oak,Oak,Oak,Oak,Oak
BilPIO,Billings,Mustangs,PIO,Cin,Cin,Cin,Cin,Cin
StoCAL,Stockton,Ports,CAL,Oak,Oak,Oak,Oak,Oak
FreCAR,Frederick,Keys,CAR,Bal,Bal,Bal,Bal,Bal
RouPCL,Round Rock,Express,PCL,Hou,Hou,Hou,Hou,Hou
GrsGCL,GCL Red Sox, ,GCL,Bos,Bos,Bos,Bos,Bos
NewPCL,New Orleans,Zephyrs,PCL,Was,Nym,Nym,Flo,Flo
SarFSL,None,Reds,FSL,Cin,Cin,Cin,Cin,None
LadAZL,AZL Dodgers, ,AZL,None,None,None,Lad,Lad
GbrGCL,GCL Braves, ,GCL,Atl,Atl,Atl,Atl,Atl
SprTEX,Springfield,Cardinals,TEX,St.,St.,St.,St.,St.
LasPCL,Las Vegas,51s,PCL,Lad,Lad,Lad,Tor,Tor
PeoMDW,Peoria,Chiefs,MDW,Chc,Chc,Chc,Chc,Chc
PriAPP,Princeton,Devil Rays,APP,Tam,Tam,Tam,Tam,Tam
WesSL,West Tenn,Diamond Jaxx,SL,Chc,Sea,Sea,Sea,Sea
ArkTEX,Arkansas,Travelers,TEX,Laa,Laa,Laa,Laa,Laa
HudNYP,Hudson Valley,Renegades,NYP,Tam,Tam,Tam,Tam,Tam
OadDSL,DSL Athletics, ,DSL,None,None,None,Oak,Oak
HelPIO,Helena,Brewers,PIO,Mil,Mil,Mil,Mil,Mil
MemPCL,Memphis,Redbirds,PCL,St.,St.,St.,St.,St.
BrdDSL,DSL Braves, ,DSL,None,None,None,Atl,Atl
YakNWL,Yakima,Bears,NWL,Ari,Ari,Ari,Ari,Ari
OgdPIO,Ogden,Raptors,PIO,Lad,Lad,Lad,Lad,Lad
KanMDW,Kane County,Cougars,MDW,Oak,Oak,Oak,Oak,Oak
EveNWL,Everett,AquaSox,NWL,Sea,Sea,Sea,Sea,Sea
GwiIL,Gwinnett,Braves,IL,None,None,None,Atl,Atl
WicTEX,None,Wranglers,TEX,Kan,Kan,None,None,None
PidDSL,DSL Pirates, ,DSL,None,None,None,Pit,Pit
CldDSL,DSL Indians, ,DSL,None,None,None,Cle,Cle
BoiNWL,Boise,Hawks,NWL,Chc,Chc,Chc,Chc,Chc
GreGCL,GCL Reds, ,GCL,Cin,Cin,Cin,Cin,None
AanAZL,AZL Angels, ,AZL,Laa,Laa,Laa,Laa,Laa
VmeVZL,VSL Mets, ,VZL,Nym,Nym,Nym,Nym,None
SanTEX,San Antonio,Missions,TEX,Sea,Sdp,Sdp,Sdp,Sdp
VasVZL,VSL Astros, ,VZL,Hou,Hou,Hou,None,None
