id,ChaIL200505090
info,visteam,OttIL
info,hometeam,ChaIL
info,date,2005/05/09
sub,407856,John Stephens,1,0,1
play,6,0,434630,,,HP.1-2;2-3
play,6,0,407855,,,5/L
play,6,0,408244,,,FC5/G.1-2;2-3;3XH(52);B-1
play,6,0,406428,,,8/F
play,6,1,150032,,,3/G
play,6,1,435042,,,S9/L
play,6,1,150243,,,9/F
play,6,1,400021,,,K
play,7,0,425488,,,13/G
play,7,0,439421,,,63/G
play,7,0,440056,,,S9/F
play,7,0,430899,,,S7/F.1-3
play,7,0,124388,,,FC4/G.1X2(46)
play,7,1,112077,,,5/PF
play,7,1,150399,,,K
play,7,1,434601,,,HP
play,7,1,462441,,,63/G
play,8,0,434630,,,K
play,8,0,407855,,,63/G
play,8,0,408244,,,63/G
play,8,1,118366,,,HR/F
play,8,1,150032,,,S6/G
play,8,1,435042,,,S7/L.1-2
play,8,1,150243,,,9/F.2-3
play,8,1,400021,,,NP
sub,136263,Tim Byrdak,0,0,1
play,8,1,400021,,,K
play,8,1,112077,,,D9/F.1-H;3-H
play,8,1,150399,,,NP
sub,115263,Ricky Gutierrez,1,7,12
play,8,1,150399,,,9/F
play,9,0,406428,,,NP
sub,459377,Wally Rosa,1,7,2
play,9,0,425488,,,NP
sub,434117,Jeff Bajenaru,1,0,1
play,9,0,406428,,,43/G
play,9,0,425488,,,43/G
play,9,0,439421,,,K
play,9,1,434601,,,53/G
play,9,1,462441,,,7/F
play,9,1,118366,,,8/F
id,ChaIL200505110
info,visteam,OttIL
info,hometeam,ChaIL
info,date,2005/05/11
start,408244,Bernie Castro,0,1,4
start,406428,Tim Raines,0,2,8
start,425488,Walter Young,0,3,3
start,439421,Alejandro Freire,0,4,10
start,440056,Bobby Darula,0,5,7
start,430899,Napoleon Calzado,0,6,9
start,124388,Enrique Wilson,0,7,6
start,434630,Eli Whiteside,0,8,2
start,407855,Ed Rogers,0,9,5
start,150185,Dave Borkowski,0,0,1
start,462441,Scott Bikowski,1,1,9
start,434601,Pedro Lopez,1,2,6
start,150032,Roosevelt Brown,1,3,7
start,435042,Brian Anderson,1,4,8
start,150243,Jorge Toca,1,5,3
start,406550,Jamie Burke,1,6,2
start,400021,Joe Borchard,1,7,10
start,115263,Ricky Gutierrez,1,8,5
start,150399,Trace Coquillette,1,9,4
start,407808,Felix Diaz,1,0,1
play,1,0,408244,,,8/F
play,1,0,406428,,,HR/F
