id,MidTEX200505040
info,visteam,TulTEX
info,hometeam,MidTEX
info,date,2005/05/04
play,4,1,461769,,,FC6/G.1X2(6);B-1
play,4,1,462390,,,9/F
play,5,0,455986,,,K
play,5,0,461811,,,63/G
play,5,0,431246,,,S8/L
play,5,0,462405,,,D7/L.1-H
play,5,0,440574,,,4/P
play,5,1,460183,,,S8/L
play,5,1,435560,,,K+SB2
play,5,1,459322,,,S9/G.2-H
play,5,1,444843,,,S9/L.1-3
play,5,1,434634,,,7/SF.3-H
play,5,1,450196,,,HR/F.1-H
play,5,1,452712,,,8/F
play,6,0,464240,,,D8/L
play,6,0,150306,,,K
play,6,0,458658,,,43/G.2-3
play,6,0,430591,,,K
play,6,1,461769,,,NP
sub,434441,Roberto Giron,0,0,1
play,6,1,461769,,,8/F
play,6,1,462390,,,43/G
play,6,1,460183,,,8/F
play,7,0,455986,,,D9/F.B-3(E9/TH)
play,7,0,461811,,,S9/L.3-H
play,7,0,431246,,,NP
sub,447643,Leonard Landeros,1,0,1
play,7,0,431246,,,S7/L.1-2
play,7,0,462405,,,1/BP
play,7,0,440574,,,D7/F.1-H;2-H
play,7,0,464240,,,NP
sub,450195,Shawn Kohn,1,0,1
play,7,0,464240,,,4/P
play,7,0,150306,,,4/P
play,7,1,435560,,,K
play,7,1,459322,,,K
play,7,1,444843,,,8/F
play,8,0,458658,,,K
play,8,0,430591,,,S9/L.BX2(96)
play,8,0,455986,,,K
play,8,1,434634,,,NP
sub,447808,Philip Barzilla,0,0,1
play,8,1,434634,,,43/G
play,8,1,450196,,,T8/F
play,8,1,452712,,,IW
play,8,1,461769,,,64(1)3/GDP/G6
play,9,0,461811,,,9/F
play,9,0,431246,,,K
play,9,0,462405,,,S9/G
play,9,0,440574,,,SB2
play,9,0,440574,,,9/L
play,9,1,462390,,,63/G
play,9,1,460183,,,S9/G
play,9,1,435560,,,K
play,9,1,459322,,,8/F
play,10,0,464240,,,NP
sub,455041,Alex Santos,1,0,1
play,10,0,464240,,,63/G
play,10,0,150306,,,K
play,10,0,458658,,,43/G
play,10,1,444843,,,63/G
play,10,1,434634,,,D8/L
play,10,1,450196,,,IW
play,10,1,452712,,,NP
sub,460639,Jailen Peguero,0,0,1
play,10,1,452712,,,S9/L.1-2;2-H
id,MidTEX200505140
info,visteam,CorTEX
info,hometeam,MidTEX
info,date,2005/05/14
start,461811,Josh Anderson,0,1,8
start,431246,Eric Riggs,0,2,6
start,462405,Brooks Conrad,0,3,4
start,443767,Carlos Rodriguez,0,4,9
start,464240,Ray Navarrete,0,5,5
start,458658,Mike Rodriguez,0,6,7
start,430591,Hector Gimenez,0,7,10
start,150306,Dax Norris,0,8,2
start,455986,Mark Saccomanno,0,9,3
start,444865,Jason Hirsh,0,0,1
start,461769,Steve Stanley,1,1,8
start,435560,Omar Quintanilla,1,2,6
start,444843,Andre Ethier,1,3,7
start,450196,Brant Colamarino,1,4,3
start,459322,Brian Stavisky,1,5,9
start,425851,Jeremy Brown,1,6,2
start,452712,Matthew Allegra,1,7,10
start,460183,Lloyd Turner,1,8,5
start,456577,Mark Kiger,1,9,4
start,450194,Stephen Obenchain,1,0,1
play,1,0,461811,,,43/G
play,1,0,431246,,,D9/L
play,1,0,462405,,,K
play,1,0,443767,,,4/P
play,1,1,461769,,,9/F
play,1,1,435560,,,K
play,1,1,444843,,,7/F
play,2,0,464240,,,8/F
play,2,0,458658,,,W
play,2,0,430591,,,K
