MLBAM,First,Last,Bats,Throws,M,D,Y
459314,Christopher,Young,R,R,4,19,1981
459315,Isaac,Pavlik,R,L,5,19,1980
459317,Brad,Hassey,R,R,11,28,1979
459310,Eric,Blakeley,R,R,9,8,1979
459312,Jeremy,Frost,R,R,11,19,1979
133340,Orlando,Hernandez,R,R,10,11,1969
133342,Ricky,Ledee,L,L,11,22,1973
133343,Preston,Wilson,R,R,7,19,1974
456829,Brett,McMillan,L,R,11,18,1983
514918,Luis,Martinez,R,R,12,22,1989
514919,Jesus,Pirela,R,R,03,13,1989
514916,Francisco,Diaz,B,R,03,21,1990
514917,Cesar,Hernandez,B,R,05,23,1990
514914,Ray,Van Gurp,R,R,01,02,1989
514915,Kirlian,Campo,B,L,05,17,1990
514912,Breiner,Soto,R,R,02,23,1990
514913,Ruben,Tejada,R,R,09,01,1989
506606,Hideki,Okajima,L,L,12,25,1975
570565,Ramon,Franco,R,R,10,17,1991
445282,Antonio,Concepcion,R,R,9,18,1986
324432,Augie,Ojeda,B,R,12,20,1974
445280,Bacilio,Gutierrez,R,R,6,17,1987
445287,Isidro,Montesino,R,R,9,09,1986
445286,Josue,Gomez,L,L,3,14,1985
570563,Edgar,De La Rosa,R,R,11,20,1990
276530,Scott,Linebrink,R,R,8,04,1976
464606,Darryl,Brinkley,R,R,12,23,1968
575048,Cesar,Sanchez,R,R,08,21,1991
457448,Matt,Harrison,L,L,8,16,1985
457449,Jamie,Romak,R,R,9,30,1985
488788,Ryan,Colvin,R,R,4,12,1987
457442,Carlos,Avila,R,R,5,08,1985
488784,Koby,Clemens,R,R,12,04,1986
457440,Dewon,Day,R,R,9,29,1980
457441,Clint,Goocher,L,L,6,15,1982
457447,Luis,Atilano,R,R,5,10,1985
488783,Angel,Claudio,R,R,12,19,1986
488782,Anthony,Claggett,B,R,7,15,1984
452782,Casey,Erickson,R,R,8,28,1985
452783,Nick,Evans,R,R,1,30,1986
452780,Cody,Ehlers,L,L,4,16,1982
441944,Jacob,Brooks,R,R,3,23,1978
452784,Tommy,Everidge,R,R,4,20,1983
595129,Tom,Belza,L,R,07,31,1989
474319,Brandon,Snyder,R,R,11,23,1986
462357,Eduardo,Rios,R,R,10,13,1972
501542,Pedro,Santos,R,R,12,16,1986
124548,Steve,Woodard,L,R,05,15,1975
447808,Philip,Barzilla,L,L,1,25,1979
477369,Jose,Amador,R,R,08,20,1979
