id,AbeNYP200506210
info,visteam,HudNYP
info,hometeam,AbeNYP
info,date,2005/06/21
sub,460292,William Evers,0,0,1
play,6,1,451187,,,6/P
play,6,1,460194,,,5/BP
play,6,1,489338,,,W
play,6,1,489710,,,D7/L.1-H
play,6,1,452093,,,43/G
play,7,0,452740,,,NP
sub,444449,Kyle Boehm,1,0,1
play,7,0,452740,,,S7/F
play,7,0,460297,,,HR/F.1-H
play,7,0,488924,,,8/F
play,7,0,446560,,,S9/L
play,7,0,451536,,,64(1)3/GDP/G6
play,7,1,448642,,,53/G
play,7,1,460623,,,31/G
play,7,1,452652,,,5/PF
play,8,0,456523,,,W
play,8,0,489740,,,7/F
play,8,0,451197,,,9/F
play,8,0,489741,,,43/G
play,8,1,489711,,,NP
sub,489234,Gregory Reinhard,0,0,1
play,8,1,489711,,,43/G
play,8,1,451187,,,K
play,8,1,460194,,,K
play,9,0,452740,,,NP
sub,460098,Blake Owen,1,0,1
play,9,0,452740,,,8/F
play,9,0,460297,,,K
play,9,0,488924,,,53/G
play,9,1,489338,,,NP
sub,455093,Derek Feldkamp,0,0,1
play,9,1,489338,,,K
play,9,1,489710,,,K
play,9,1,452093,,,K
id,AbeNYP200506230
info,visteam,HudNYP
info,hometeam,AbeNYP
info,date,2005/06/23
start,489740,David Kennedy,0,1,8
start,489739,Eric Durante,0,2,4
start,489741,Michael Rainville,0,3,5
start,475883,Ryder Mathias,0,4,3
start,460297,James Hall,0,5,10
start,461911,David Cardona,0,6,9
start,488924,Edward Groce,0,7,7
start,452305,Joshua Johnson,0,8,2
start,456523,John Bouman,0,9,6
start,457527,Jeff Kamrath,0,0,1
start,460194,Zachary Davis,1,1,8
start,489338,Ryan Steinbach,1,2,6
start,488879,Mark Fleisher,1,3,3
start,452093,Ryan Finan,1,4,10
start,460099,Nolan Reimold,1,5,9
start,448642,Robert Marconi,1,6,5
start,462918,Angel Avila,1,7,7
start,466956,Francisco Guerrero,1,8,4
start,453559,Cody Wargo,1,9,2
start,455970,Robert McCrory,1,0,1
play,1,0,489740,,,K
play,1,0,489739,,,K
play,1,0,489741,,,S7/G
play,1,0,475883,,,PB.1-2
play,1,0,475883,,,63/G
play,1,1,460194,,,T7/L
play,1,1,489338,,,3/G
play,1,1,488879,,,9/SF.3-H
play,1,1,452093,,,W
play,1,1,460099,,,S5/G.1-2
play,1,1,448642,,,53/G
play,2,0,460297,,,63/G
play,2,0,461911,,,K
play,2,0,488924,,,4/P
play,2,1,462918,,,K
play,2,1,466956,,,HP
play,2,1,453559,,,SB2
play,2,1,453559,,,K
play,2,1,460194,,,S9/L.2XH
play,3,0,452305,,,W
play,3,0,456523,,,W.1-2
play,3,0,489740,,,S4/G.1-2;2-H
play,3,0,489739,,,K
play,3,0,489741,,,46(1)3/GDP/G4
play,3,1,489338,,,W
play,3,1,488879,,,K2.1X1(INT)
play,3,1,452093,,,W
play,3,1,460099,,,PO1(E?).1-2
play,3,1,460099,,,W
play,3,1,448642,,,9/F
play,4,0,475883,,,K
play,4,0,460297,,,6/L
play,4,0,461911,,,S9/L
play,4,0,488924,,,NP
sub,461825,Russell Brocato,1,0,1
play,4,0,488924,,,53/G
play,4,1,462918,,,NP
sub,456522,Drew Bigda,0,0,1
play,4,1,462918,,,43/G
play,4,1,466956,,,K
play,4,1,453559,,,W
play,4,1,460194,,,S7/G.1-3
play,4,1,489338,,,S9/L.1-3;3-H;B-2
play,4,1,488879,,,9/F
play,5,0,452305,,,K
play,5,0,456523,,,E5
play,5,0,489740,,,3/G.1-2
play,5,0,489739,,,E5
play,5,0,489741,,,6/P
play,5,1,452093,,,6/P
play,5,1,460099,,,K
play,5,1,448642,,,W
play,5,1,462918,,,K
play,6,0,475883,,,7/F
play,6,0,460297,,,S9/G
play,6,0,461911,,,D7/L.1-3
play,6,0,488924,,,K
play,6,0,452305,,,K
play,6,1,466956,,,NP
sub,445963,Matt Cobb,0,0,1
play,6,1,466956,,,E5
play,6,1,453559,,,14/SH.1-2
play,6,1,460194,,,31/G.2-3
play,6,1,489338,,,K
play,7,0,456523,,,NP
sub,466312,Bryan Dumesnil,1,0,1
play,7,0,456523,,,T7/L
play,7,0,489740,,,S8/G.3-H
play,7,0,489739,,,13/SH.1-2
play,7,0,489741,,,13/G
play,7,0,475883,,,8/F
play,7,1,488879,,,NP
sub,452993,Christopher Mason,0,0,1
play,7,1,488879,,,K
play,7,1,452093,,,S9/G
play,7,1,460099,,,K
play,7,1,448642,,,K
play,8,0,460297,,,S4/G
play,8,0,461911,,,NP
sub,451758,Henry Lozado,1,0,1
play,8,0,461911,,,SB2
play,8,0,461911,,,31/SH.2-3
play,8,0,488924,,,WP.3-H
play,8,0,488924,,,S8/G
play,8,0,452305,,,53/G.1-2
play,8,0,456523,,,63/G
play,8,1,462918,,,63/G
play,8,1,466956,,,S9/L
play,8,1,453559,,,9/F
play,8,1,460194,,,K23
play,9,0,489740,,,9/F
play,9,0,489739,,,K
play,9,0,489741,,,13/G
play,9,1,489338,,,NP
sub,469009,Richard De Los Santos,0,0,1
play,9,1,489338,,,S7/G
play,9,1,488879,,,K
play,9,1,452093,,,FC1/G.1X2(16);B-1
play,9,1,460099,,,NP
sub,451187,Bradford Wiggins,1,4,12
play,9,1,460099,,,FC6/G.1X2(64)
id,AbeNYP200506300
info,visteam,BroNYP
info,hometeam,AbeNYP
info,date,2005/06/30
start,448757,Jonathan Malo,0,1,6
start,446001,Jonel Pacheco,0,2,8
start,446018,Jesus Gamero,0,3,9
start,452067,Caleb Stewart,0,4,7
start,459001,Joshua Petersen,0,5,3
start,457951,Jabe Bergeron,0,6,10
start,449171,Armand Gaerlan,0,7,4
start,452029,Rafael Arroyo,0,8,2
start,456895,Timothy Grogan,0,9,5
start,451768,Waner Mateo,0,0,1
start,461823,Lorenzo Scott Jr.,1,1,8
start,489338,Ryan Steinbach,1,2,6
start,488879,Mark Fleisher,1,3,3
start,452093,Ryan Finan,1,4,10
start,460194,Zachary Davis,1,5,9
start,460623,Matthew Pulley,1,6,5
start,489711,Joe Michalski,1,7,2
start,451187,Bradford Wiggins,1,8,7
start,466956,Francisco Guerrero,1,9,4
start,456941,Bruce Gallaway,1,0,1
play,1,0,448757,,,K
play,1,0,446001,,,W
play,1,0,placeholder,,,POCS2.1-2(E?)
play,1,0,446018,,,W
play,1,0,452067,,,CS3
play,1,0,452067,,,W.1-2
play,1,0,459001,,,13/G
play,1,1,461823,,,43/G
play,1,1,489338,,,S4/G
play,1,1,488879,,,DGR/F7.1-3
play,1,1,452093,,,8/SF.3-H
play,1,1,460194,,,8/F
play,2,0,457951,,,5/L
play,2,0,449171,,,K
play,2,0,452029,,,W
play,2,0,placeholder,,,NP
sub,460347,Moises Hernandez,1,0,1
play,2,0,456895,,,PB.1-2
play,2,0,456895,,,43/G
play,2,1,460623,,,D9/L
play,2,1,489711,,,8/F
play,2,1,451187,,,K
play,2,1,466956,,,9/F
play,3,0,448757,,,W
play,3,0,446001,,,SB2
play,3,0,446001,,,S8/L.2-3
play,3,0,446018,,,9/SF.1-2;3-H
play,3,0,452067,,,CS3
play,3,0,452067,,,K
play,3,1,461823,,,S8/G
play,3,1,489338,,,63/G.1-2
play,3,1,488879,,,9/F.2-3
play,3,1,452093,,,K
play,4,0,459001,,,D9/F
play,4,0,457951,,,K23
play,4,0,449171,,,S9/F.2-H
play,4,0,452029,,,NP
sub,450798,Ivan Naccarata,0,7,12
play,4,0,452029,,,K
play,4,0,456895,,,W.1-2
play,4,0,448757,,,W.1-2;2-3
play,4,0,446001,,,FC5/G.1X2(54)
play,4,1,460194,,,NP
sub,450798,Ivan Naccarata,0,7,4
play,4,1,460194,,,8/F
play,4,1,460623,,,E3
play,4,1,489711,,,S8/L.1-3
play,4,1,451187,,,9/F
play,4,1,466956,,,53/G
play,5,0,446018,,,E1/TH
play,5,0,452067,,,S7/L.1-2
play,5,0,459001,,,2/PF
play,5,0,457951,,,K
play,5,0,450798,,,K23
play,5,1,461823,,,43/G
play,5,1,489338,,,K
play,5,1,488879,,,D7/L
play,5,1,452093,,,63/G
play,6,0,452029,,,K
play,6,0,456895,,,3/G
play,6,0,448757,,,53/G
play,6,1,460194,,,K
play,6,1,460623,,,K
play,6,1,489711,,,53/G
play,7,0,446001,,,NP
sub,457795,Reid Hamblet,1,0,1
play,7,0,446001,,,13/G
play,7,0,446018,,,3/G
play,7,0,452067,,,K
play,7,1,451187,,,NP
sub,489377,Kevin Tomasiewicz,0,0,1
play,7,1,451187,,,K
play,7,1,466956,,,31/G
play,7,1,461823,,,K
play,8,0,459001,,,9/F
play,8,0,457951,,,6/L
play,8,0,450798,,,4/P
play,8,1,489338,,,K
play,8,1,488879,,,S9/F
play,8,1,452093,,,NP
sub,462918,Angel Avila,1,3,12
play,8,1,452093,,,FC4/G.1X2(46);B-1
play,8,1,460194,,,NP
sub,460099,Nolan Reimold,1,5,11
play,8,1,460099,,,K
play,9,0,452029,,,NP
sub,462918,Angel Avila,1,3,9
play,9,0,456895,,,NP
sub,460099,Nolan Reimold,1,5,3
play,9,0,452029,,,K
play,9,0,456895,,,4/P
play,9,0,448757,,,S6/G
play,9,0,446001,,,S9/L.1-2
play,9,0,446018,,,W.1-2;2-3
play,9,0,452067,,,K
play,9,1,460623,,,NP
sub,446001,Jonel Pacheco,0,2,7
play,9,1,489711,,,NP
