id,ColSAL200604280
info,visteam,AshSAL
info,hometeam,ColSAL
info,date,2006/04/28
play,1,0,455391,,,3/G
play,1,1,488906,,,2/P
play,1,1,461315,,,4/P
play,1,1,451096,,,W
play,1,1,452199,,,4/P
play,2,0,453045,,,53/G
play,2,0,488716,,,K
play,2,0,458241,,,K
play,2,1,468401,,,D8/F
play,2,1,472544,,,43/G.2-3
play,2,1,447749,,,S7/G.3-H
play,2,1,474443,,,FC4/G.1X2(46);B-1
play,2,1,489564,,,9/F
play,3,0,451594,,,8/F
play,3,0,458913,,,W
play,3,0,455126,,,POCS2(136)
play,3,0,455126,,,S4/G
play,3,0,446087,,,43/G
play,3,1,488906,,,8/F
play,3,1,461315,,,K
play,3,1,451096,,,W
play,3,1,452199,,,FC6/G.1X2(64)
play,4,0,457595,,,K
play,4,0,455391,,,K23
play,4,0,453045,,,K
play,4,1,468401,,,31/G
play,4,1,472544,,,S8/G
play,4,1,447749,,,K
play,4,1,474443,,,S6/G.1-2
play,4,1,489564,,,3/G
play,5,0,488716,,,43/G
play,5,0,458241,,,W
play,5,0,451594,,,PO1(13)
play,5,0,451594,,,K
play,5,1,488906,,,8/F
play,5,1,461315,,,S7/L
play,5,1,451096,,,HP.1-2
play,5,1,452199,,,WP.1-2;2-3
play,5,1,452199,,,IW
play,5,1,468401,,,DGR/F7.1-3;2-H;3-H
play,5,1,472544,,,FC4.2-3;3XH(42)
play,5,1,447749,,,K
play,6,0,458913,,,23/BG
play,6,0,455126,,,K
play,6,0,446087,,,43/G
play,6,1,474443,,,53/G
play,6,1,489564,,,K
play,6,1,488906,,,4/P
play,7,0,457595,,,NP
sub,460677,Cory Wade,1,0,1
play,7,0,457595,,,43/G
play,7,0,455391,,,63/G
play,7,0,453045,,,K
play,7,1,461315,,,W
play,7,1,451096,,,HR/F9.1-H
play,7,1,452199,,,E6/TH
play,7,1,468401,,,NP
sub,451607,Buzz Vargas,0,0,1
play,7,1,468401,,,D7/G.1-3
play,7,1,472544,,,63/G
play,7,1,447749,,,FC3.2-3;3XH(325);B-2
play,7,1,474443,,,K
play,8,0,488716,,,3/G
play,8,0,458241,,,K
play,8,0,451594,,,K
play,8,1,489564,,,43/G
play,8,1,488906,,,E4
play,8,1,461315,,,S9/G.1-3
play,8,1,451096,,,FC4/G.1X2(4);3-H;B-1
play,8,1,452199,,,K
play,9,0,458913,,,8/F
play,9,0,455126,,,K
play,9,0,446087,,,8/F
id,ColSAL200604300
info,visteam,AshSAL
info,hometeam,ColSAL
info,date,2006/04/30
start,451594,Dexter Fowler,0,1,8
start,458913,Eric YoungJr.,0,2,4
start,455126,Christopher Nelson,0,3,6
start,488716,Kyle Blumenthal,0,4,10
start,457595,Phillip Cuadrado,0,5,5
start,446087,Travis Becktel,0,6,7
start,455391,Michael Paulk,0,7,3
start,451198,Cole Garner,0,8,9
start,452014,Nelson Robledo,0,9,1
start,488906,Adam Godwin,1,1,8
start,461315,Lucas May,1,2,7
start,451096,Sergio Pedroza,1,3,9
start,452199,Russell Mitchell,1,4,3
start,489065,Andrew Locke,1,5,10
start,468401,Eduardo Perez,1,6,5
start,465698,Juan Apodaca,1,7,2
start,469125,Jesus Soto,1,8,4
start,474443,Ivan De Jesus,1,9,6
start,460371,Alberto Bastardo,0,0,1
play,1,0,451594,,,7/F
play,1,0,458913,,,53/G
play,1,0,455126,,,43/G
play,1,1,488906,,,D9/G
play,1,1,461315,,,E6.2-3(E6)
play,1,1,451096,,,S9/G.1-2;3-H
play,1,1,452199,,,PB.2-3
play,1,1,452199,,,K
play,1,1,489065,,,K
play,1,1,468401,,,FC6/G.1X2(64)
play,2,0,488716,,,7/F
play,2,0,457595,,,W
play,2,0,446087,,,K
play,2,0,455391,,,S7/L.1-2
play,2,0,451198,,,3/P
play,2,1,465698,,,K
play,2,1,469125,,,53/G
play,2,1,474443,,,K
play,3,0,452014,,,K
play,3,0,451594,,,W
play,3,0,458913,,,6/P
play,3,0,455126,,,CS2
play,3,1,488906,,,8/F
play,3,1,461315,,,53/G
play,3,1,451096,,,9/F
play,4,0,455126,,,53/G
play,4,0,488716,,,K
play,4,0,457595,,,W
play,4,0,446087,,,K
play,4,1,452199,,,5/P
play,4,1,489065,,,K
play,4,1,468401,,,63/G
play,5,0,455391,,,13/G
play,5,0,451198,,,K
play,5,0,452014,,,K
play,5,1,465698,,,K
play,5,1,469125,,,63/G
play,5,1,474443,,,63/G
play,6,0,451594,,,8/F
play,6,0,458913,,,D7/F
