id,AbeNYP200606230
info,visteam,BroNYP
info,hometeam,AbeNYP
info,date,2006/06/23
play,5,0,449171,,,63/G.3-H
play,5,0,456895,,,K
play,5,1,489760,,,NP
sub,503416,Jeremy Mizell,0,0,1
play,5,1,489760,,,43/G
play,5,1,452652,,,T9/F
play,5,1,462918,,,3/PF
play,5,1,474319,,,E5.3-H
play,5,1,488652,,,S5/G.1-2
play,5,1,452224,,,8/F
play,6,0,464296,,,K
play,6,0,453037,,,K
play,6,0,447737,,,63/G
play,6,1,460018,,,K
play,6,1,430899,,,K
play,6,1,489401,,,7/F
play,7,0,502230,,,NP
sub,451758,Henry Lozado,1,0,1
play,7,0,502230,,,31/G
play,7,0,446018,,,63/G
play,7,0,501792,,,D7/F
play,7,0,475439,,,43/G
play,7,1,489760,,,NP
sub,455930,Ryan Cullen,0,0,1
play,7,1,489760,,,6/L
play,7,1,452652,,,63/G
play,7,1,462918,,,K
play,8,0,449171,,,5/L
play,8,0,456895,,,K23
play,8,0,464296,,,K
play,8,1,474319,,,63/G
play,8,1,488652,,,43/G
play,8,1,452224,,,S4/G
play,8,1,460018,,,53/G
play,9,0,453037,,,NP
sub,488720,Brett Bordes,1,0,1
play,9,0,453037,,,K
play,9,0,447737,,,K
play,9,0,502230,,,NP
sub,502742,Will Bashelor,0,6,11
play,9,0,502742,,,63/G
id,AbeNYP200607020
info,visteam,StiNYP
info,hometeam,AbeNYP
info,date,2006/07/02
start,460344,Wilkins De La Rosa,0,1,8
start,457107,Wilmer Pino,0,2,4
start,502346,Timothy O'Brien,0,3,5
start,501933,Brian Baisley,0,4,2
start,488796,James Cooper,0,5,7
start,465041,Francisco Cervelli,0,6,10
start,450632,Kevin Smith,0,7,3
start,456033,Jonathan Poterson,0,8,9
start,501912,Russell Raley,0,9,6
start,462502,Rolando Japa,0,0,1
start,459933,Robert Andrews,1,1,8
start,460018,Todd Davison,1,2,4
start,474319,Brandon Snyder,1,3,10
start,489401,Christopher Vinyard,1,4,3
start,452652,Corey Shafer,1,5,7
start,485573,Victor Castillo,1,6,2
start,460194,Zachary Davis,1,7,9
start,502487,Jedidiah Stephen,1,8,6
start,488652,Miguel Abreu,1,9,5
start,471177,Wilfredo Perez,1,0,1
play,1,0,460344,,,W
play,1,0,placeholder,,,PO1(??)
play,1,0,457107,,,13/G
play,1,0,502346,,,K
play,1,1,459933,,,S7/L
play,1,1,460018,,,S7/L.1-3
play,1,1,474319,,,WP.1-2
play,1,1,474319,,,53/G
play,1,1,489401,,,8/SF.3-H
play,1,1,452652,,,8/F
play,2,0,501933,,,53/G
play,2,0,488796,,,43/G
play,2,0,465041,,,53/G
play,2,1,485573,,,HP
play,2,1,460194,,,S9/F.1-2
play,2,1,502487,,,S1/G.1-2;2-3
play,2,1,488652,,,64(1)3/GDP/G6.3-H
play,2,1,459933,,,7/F
play,3,0,450632,,,63/G
play,3,0,456033,,,13/G
play,3,0,501912,,,S8/G
play,3,0,460344,,,K
play,3,1,460018,,,D7/F
play,3,1,474319,,,9/F.2-3
play,3,1,489401,,,HP
play,3,1,452652,,,D9/F.1-3;3-H
play,3,1,485573,,,K
play,3,1,460194,,,D7/F.2-H;3-H
play,3,1,502487,,,NP
sub,457691,Paul Patterson,0,0,1
play,3,1,502487,,,W
play,3,1,488652,,,D7/F.1-H;2-H;B-3
play,3,1,459933,,,HP
play,3,1,460018,,,8/F
play,4,0,457107,,,43/G
play,4,0,502346,,,K
play,4,0,501933,,,S8/L
play,4,0,488796,,,7/F
play,4,1,474319,,,8/F
play,4,1,489401,,,D7/F
play,4,1,452652,,,K
play,4,1,485573,,,63/G
play,5,0,465041,,,8/F
play,5,0,450632,,,S7/L
play,5,0,456033,,,SB2
play,5,0,456033,,,K
play,5,0,501912,,,S8/L.2-H
play,5,0,460344,,,K
play,5,1,460194,,,NP
sub,502167,Seth Fortenberry,0,1,8
play,5,1,460194,,,63/G
play,5,1,502487,,,4/P
play,5,1,488652,,,63/G
play,6,0,457107,,,NP
sub,455970,Bob McCrory,1,0,1
play,6,0,457107,,,S8/G
play,6,0,502346,,,W.1-2
play,6,0,501933,,,S9/G.1-2;2-H
play,6,0,488796,,,FC6/G.1X2(64);2-3;B-1
play,6,0,465041,,,S7/G.1-2;3-H
play,6,0,450632,,,WP.1-2;2-3
play,6,0,450632,,,K23
play,6,0,456033,,,7/F
play,6,1,459933,,,W
play,6,1,460018,,,K
play,6,1,474319,,,S9/F.1-2
play,6,1,489401,,,NP
sub,452054,Justin Keadle,0,0,1
play,6,1,489401,,,SB3;SB2
play,6,1,489401,,,S9/F.2-3;3-H
play,6,1,452652,,,4(B)4()/LDP
play,7,0,501912,,,NP
sub,469063,Fernando De Nabal,1,0,1
play,7,0,501912,,,S9/G
play,7,0,502167,,,3(1)6/G3/GDP
play,7,0,457107,,,K
play,7,1,485573,,,8/F
play,7,1,460194,,,43/G
play,7,1,502487,,,K
play,8,0,502346,,,W
play,8,0,501933,,,S9/F.1-2
play,8,0,488796,,,64(1)3/GDP/G6.2-3
play,8,0,465041,,,W
play,8,0,450632,,,FC4/G.1X2(46)
play,8,1,488652,,,NP
sub,503420,Tyler Addison,0,0,1
play,8,1,488652,,,9/F
play,8,1,459933,,,S6/G
play,8,1,460018,,,SB2
play,8,1,460018,,,53/G.2-3
play,8,1,474319,,,K
play,9,0,456033,,,NP
sub,474039,Pedro Beato,1,0,1
play,9,0,456033,,,K
play,9,0,501912,,,9/F
play,9,0,502167,,,K
id,AbeNYP200607030
info,visteam,StiNYP
info,hometeam,AbeNYP
info,date,2006/07/03
start,460344,Wilkins De La Rosa,0,1,8
start,501912,Russell Raley,0,2,4
start,502278,Mitchell Hilligoss,0,3,6
start,446089,Kyle Larsen,0,4,3
start,488796,James Cooper,0,5,7
start,502346,Timothy O'Brien,0,6,5
start,450632,Kevin Smith,0,7,10
start,465041,Francisco Cervelli,0,8,2
start,502167,Seth Fortenberry,0,9,9
start,502004,George Kontos,0,0,1
start,459933,Robert Andrews,1,1,8
start,460018,Todd Davison,1,2,4
start,114909,Chris Gomez,1,3,5
start,489401,Christopher Vinyard,1,4,3
start,452652,Corey Shafer,1,5,7
start,474319,Brandon Snyder,1,6,2
start,460194,Zachary Davis,1,7,9
start,473224,Joel Pacheco,1,8,10
start,502487,Jedidiah Stephen,1,9,6
start,502156,Joshua Tamba,1,0,1
play,1,0,460344,,,63/G
play,1,0,501912,,,W
play,1,0,502278,,,D9/F.1-3
play,1,0,446089,,,3/G.2-3;3-H
play,1,0,488796,,,K
play,1,1,459933,,,K
play,1,1,460018,,,53/G
play,1,1,114909,,,K
play,2,0,502346,,,7/L
play,2,0,450632,,,D9/L
play,2,0,465041,,,53/G
play,2,0,502167,,,7/F
play,2,1,489401,,,D7/L
play,2,1,452652,,,S7/L
play,2,1,474319,,,S9/F.1-2;2-3
play,2,1,460194,,,E1/TH.1-2;2-3;3-H
play,2,1,473224,,,S4/G.1-2;2-3;3-H
play,2,1,502487,,,7/SF.3-H
play,2,1,459933,,,SB3;SB2
play,2,1,459933,,,D8/F.2-H;3-H
play,2,1,460018,,,K
play,2,1,114909,,,S8/L.2-H;BX2(826)
play,3,0,460344,,,NP
sub,485573,Victor Castillo,1,6,2
play,3,0,460344,,,3/G
play,3,0,501912,,,9/F
play,3,0,502278,,,K
play,3,1,489401,,,K
play,3,1,452652,,,43/G
play,3,1,485573,,,K
play,4,0,446089,,,S9/F
play,4,0,488796,,,FC4/G.1X2(46);B-1
play,4,0,502346,,,53/G.1-2
play,4,0,450632,,,8/F
play,4,1,460194,,,7/F
play,4,1,473224,,,13/G
play,4,1,502487,,,S5/G
