id,TreEL200505060
info,visteam,AltEL
info,hometeam,TreEL
info,date,2005/05/06
play,5,1,451668,,,9/F
play,6,0,425661,,,S8/G
play,6,0,444839,,,T9/F.1-H
play,6,0,430041,,,63/G
play,6,0,430832,,,HP
play,6,0,458952,,,64(1)3/GDP/G6
play,6,1,466320,,,63/G
play,6,1,455167,,,7/F
play,6,1,449080,,,43/G
play,7,0,434658,,,S5/G
play,7,0,433593,,,SB2
play,7,0,433593,,,W
play,7,0,113941,,,24/SH.1-2;2-3
play,7,0,455650,,,W
play,7,0,425661,,,6/P
play,7,0,444839,,,63/G
play,7,1,462375,,,NP
sub,437565,James Johnson,0,0,1
play,7,1,462375,,,D7/F
play,7,1,450363,,,S9/F.2-3
play,7,1,440785,,,K
play,7,1,445592,,,W.1-2
play,7,1,453911,,,8/SF.3-H
play,7,1,451668,,,S6/G.1-2;2-3
play,7,1,466320,,,WP.1-2;2-3;3-H
play,7,1,466320,,,S9/G.2-H;3-H;B-2
play,7,1,455167,,,IW
play,7,1,449080,,,8/F
play,8,0,430041,,,NP
sub,447788,Justin Pope,1,0,1
play,8,0,430041,,,4/P
play,8,0,430832,,,8/F
play,8,0,458952,,,3/G
play,8,1,462375,,,NP
sub,449449,Brady Borner,0,0,1
play,8,1,462375,,,4/P
play,8,1,450363,,,K
play,8,1,440785,,,9/F
play,9,0,434658,,,8/F
play,9,0,433593,,,K
play,9,0,113941,,,K
id,TreEL200505080
info,visteam,AltEL
info,hometeam,TreEL
info,date,2005/05/08
start,434658,Rajai Davis,0,1,8
start,444839,Craig Stansberry,0,2,4
start,113941,Tom Evans,0,3,10
start,455650,Josh Bonifay,0,4,3
start,425661,Ronny Paulino,0,5,2
start,430832,Jose Bautista,0,6,5
start,433593,Jorge Cortes,0,7,7
start,454990,Taber Lee,0,8,6
start,444422,Victor Buttler,0,9,9
start,276369,Paul Stewart,0,0,1
start,453911,Kevin Thompson,1,1,7
start,451668,Gabe Lopez,1,2,4
start,466320,Melky Cabrera,1,3,8
start,455167,Shelly Duncan,1,4,3
start,449080,Eric Duncan,1,5,5
start,150202,Dee Brown,1,6,10
start,462375,Andy Cannizaro,1,7,6
start,450363,Bronson Sardinha,1,8,9
start,435408,Omir Santos,1,9,2
start,445224,Matt Smith,1,0,1
play,1,0,434658,,,S7/L
play,1,0,444839,,,S7/L.1-2
play,1,0,113941,,,CS2;2-3
play,1,0,113941,,,D7/L.3-H
play,1,0,455650,,,S7/L.2-H;BX2(74)
play,1,0,425661,,,5/L
play,1,1,453911,,,W
play,1,1,451668,,,SB2
play,1,1,451668,,,43/G.2-3
play,1,1,466320,,,8/SF.3-H
play,1,1,455167,,,53/G
play,2,0,430832,,,43/G
play,2,0,433593,,,S8/G
play,2,0,454990,,,E5.1-3
play,2,0,444422,,,K
play,2,0,434658,,,S5/G.1-3(E5)(E5/TH);3-H
play,2,0,444839,,,W.1-2
play,2,0,113941,,,K
play,2,1,449080,,,S8/G
play,2,1,150202,,,64(1)3/GDP/G6
play,2,1,462375,,,53/G
play,3,0,455650,,,63/G
play,3,0,425661,,,S9/L
play,3,0,430832,,,D8/F.1-H(E4/TH)
play,3,0,433593,,,13/G
play,3,0,454990,,,43/G
play,3,1,450363,,,8/F
play,3,1,435408,,,K
play,3,1,453911,,,HR/F
play,3,1,451668,,,S7/F
play,3,1,466320,,,7/F
play,4,0,444422,,,S6/G
play,4,0,434658,,,SB2
play,4,0,434658,,,S3/G.2-3
play,4,0,444839,,,SB2
play,4,0,444839,,,43/G.2-3;3-H
play,4,0,113941,,,W
play,4,0,455650,,,8/SF.3-H
play,4,0,425661,,,NP
sub,436020,Carlos Artiles,1,0,1
play,4,0,425661,,,K
play,4,1,455167,,,53/G
play,4,1,449080,,,E4
play,4,1,150202,,,S6/G.1-2
play,4,1,462375,,,S8/L.1-2;2-H
play,4,1,450363,,,FC6/G.1X2(64);2-3;B-1
play,4,1,435408,,,FC6/G.1X2(64)
play,5,0,430832,,,W
play,5,0,433593,,,7/F
play,5,0,454990,,,64(1)3/GDP/G6
play,5,1,453911,,,S5/G
play,5,1,451668,,,D9/L.1-H
play,5,1,466320,,,K
play,5,1,455167,,,3/P
play,5,1,449080,,,S9/G.2-H;BX2(936)
play,6,0,444422,,,5/P
play,6,0,434658,,,S7/G
play,6,0,444839,,,64(1)3/GDP/G6
play,6,1,150202,,,7/F
play,6,1,462375,,,3/G
play,6,1,450363,,,S8/G
play,6,1,435408,,,HR/F.1-H
play,6,1,453911,,,D8/L
play,6,1,451668,,,D9/L.2-H
play,6,1,466320,,,NP
sub,456558,Shane Youman,0,0,1
play,6,1,466320,,,S1/L.2-3
play,6,1,455167,,,7/F
play,7,0,113941,,,K
play,7,0,455650,,,9/F
play,7,0,425661,,,7/F
play,7,1,449080,,,W
