id,VerFSL200504080
info,visteam,St.FSL
info,hometeam,VerFSL
info,date,2005/04/08
play,4,0,444542,,,53/G
play,4,0,447734,,,S7/G
play,4,0,446451,,,FC4/G.1X2(46);B-1
play,4,0,444141,,,63/G
play,4,1,473234,,,S7/L
play,4,1,445944,,,K2.1X1(INT)
play,4,1,431143,,,K23
play,5,0,451186,,,43/G
play,5,0,457991,,,K
play,5,0,444107,,,3/G
play,5,1,451188,,,K+WP.B-1
play,5,1,425767,,,K
play,5,1,451588,,,WP.1-2
play,5,1,451588,,,K
play,5,1,454560,,,3/P
play,6,0,452665,,,63/G
play,6,0,451791,,,63/G
play,6,0,444542,,,K
play,6,1,448605,,,D7/F
play,6,1,451640,,,K23
play,6,1,473234,,,FC6.2X3(654)
play,6,1,445944,,,FC6/G.1X2(64)
play,7,0,447734,,,NP
sub,439913,Mike Rodriguez,1,0,1
play,7,0,447734,,,63/G
play,7,0,446451,,,K+WP.B-1
play,7,0,444141,,,CS2
play,7,0,444141,,,W
play,7,0,451186,,,CS2
play,7,1,431143,,,NP
sub,461919,Daniel Foli,0,0,1
play,7,1,431143,,,HP
play,7,1,451188,,,4/P
play,7,1,425767,,,K
play,7,1,451588,,,7/F
play,8,0,451186,,,K
play,8,0,457991,,,E5
play,8,0,444107,,,HR/F.1-H
play,8,0,452665,,,W
play,8,0,451791,,,W.1-2
play,8,0,444542,,,NP
sub,445950,Chad Bailey,1,0,1
play,8,0,444542,,,FC5/G.1-2;2X3(5);B-1
play,8,0,447734,,,WP.1-2;2-3
play,8,0,447734,,,S8/L.2-H;3-H
play,8,0,446451,,,FC6/G.1X2(64)
play,8,1,454560,,,NP
sub,454447,Bryan King,0,0,1
play,8,1,454560,,,63/G
play,8,1,448605,,,K
play,8,1,451640,,,8/F
play,9,0,444141,,,S7/L
play,9,0,451186,,,64(1)3/GDP/G6
play,9,0,457991,,,K
play,9,1,473234,,,S9/L
play,9,1,445944,,,K
play,9,1,431143,,,PB.1-2
play,9,1,431143,,,4/P
play,9,1,451188,,,7/F
id,VerFSL200504140
info,visteam,DayFSL
info,hometeam,VerFSL
info,date,2005/04/14
start,448692,Chris Walker,0,1,8
start,471069,Carlos Rojas,0,2,6
start,445599,Scott Moore,0,3,5
start,459383,Kevin Collins,0,4,7
start,459718,JJ Johnson,0,5,9
start,465093,Anthony Granato,0,6,4
start,451798,Kyle Boyer,0,7,3
start,458245,Tony Richie,0,8,2
start,447638,Issmael Salas,0,9,10
start,461791,Carlos Marmol,0,0,1
start,473234,Tony Abreu,1,1,4
start,464341,Chin-lung Hu,1,2,6
start,449159,Anthony Raglani,1,3,9
start,451188,Andy LaRoche,1,4,5
start,444350,Trey Dyson,1,5,7
start,431143,Edwin Bellorin,1,6,2
start,451588,Cory Dunlap,1,7,3
start,448605,Justin Ruggiano,1,8,8
start,451125,Mayke Cabrera,1,9,10
start,449154,Justin Orenduff,1,0,1
play,1,0,448692,,,K
play,1,0,471069,,,W
play,1,0,445599,,,HR/F.1-H
play,1,0,459383,,,43/G
play,1,0,459718,,,K
play,1,1,473234,,,S7/G
play,1,1,464341,,,SB2
play,1,1,464341,,,53/G
play,1,1,449159,,,5/PF
play,1,1,451188,,,HR/F.2-H
play,1,1,444350,,,W
play,1,1,431143,,,D8/F.1-3
play,1,1,451588,,,S8/G.2-3;3-H
play,1,1,448605,,,D9/F.1-3;3-H
play,1,1,451125,,,63/G
play,2,0,465093,,,9/F
play,2,0,451798,,,63/G
play,2,0,458245,,,7/F
play,2,1,473234,,,43/G
play,2,1,464341,,,D8/F
play,2,1,449159,,,FC1.2X3(15)
play,2,1,451188,,,K
play,3,0,447638,,,K
play,3,0,448692,,,S8/F
play,3,0,471069,,,CS2
play,3,0,471069,,,W
play,3,0,445599,,,HR/F.1-H
play,3,0,459383,,,K
play,3,1,444350,,,43/G
play,3,1,431143,,,W
play,3,1,451588,,,BK.1-2
play,3,1,451588,,,6/P
play,3,1,448605,,,WP.2-3
play,3,1,448605,,,K
play,4,0,459718,,,4/L
play,4,0,465093,,,K
play,4,0,451798,,,3/G
play,4,1,451125,,,K
play,4,1,473234,,,6/L
play,4,1,464341,,,D9/G
play,4,1,449159,,,5/P
play,5,0,458245,,,13/G
play,5,0,447638,,,7/F
play,5,0,448692,,,W
play,5,0,471069,,,SB2
play,5,0,471069,,,5/L
play,5,1,451188,,,53/G
play,5,1,444350,,,K
play,5,1,431143,,,8/F
play,6,0,445599,,,NP
sub,458260,Danny Muegge,1,0,1
play,6,0,445599,,,W
play,6,0,459383,,,HR/F.1-H
play,6,0,459718,,,63/G
play,6,0,465093,,,K
play,6,0,451798,,,K
play,6,1,451588,,,NP
sub,445232,Jordan Gerk,0,0,1
play,6,1,451588,,,3/G
play,6,1,448605,,,T9/G
play,6,1,451125,,,7/F
play,6,1,473234,,,53/G
play,7,0,458245,,,D7/F
play,7,0,447638,,,13/SH.2-3
play,7,0,448692,,,HP
play,7,0,471069,,,NP
sub,446536,Justin Simmons,1,0,1
play,7,0,471069,,,K
play,7,0,445599,,,PO?(E?).3-H
play,7,0,445599,,,K
play,7,1,464341,,,W
play,7,1,449159,,,S9/G.1-2
play,7,1,451188,,,S7/G.1-2;2-H
play,7,1,444350,,,NP
sub,451640,Ryan Russ,1,5,11
play,7,1,451640,,,D8/G.1-3;2-H
play,7,1,431143,,,IW
play,7,1,451588,,,S8/G.1-3;2-H;3-H
play,7,1,448605,,,NP
sub,458657,Adalberto Mendez,0,0,1
play,7,1,448605,,,K
play,7,1,451125,,,S8/G.1-2;3-H
play,7,1,473234,,,K
play,7,1,464341,,,S9/G.1-2;2-H
play,7,1,449159,,,W.1-2;2-3
play,7,1,451188,,,FC6/G.1X2(64)
play,8,0,459383,,,NP
sub,451640,Ryan Russ,1,5,7
play,8,0,459383,,,S9/G
play,8,0,459718,,,53/G.1-2
play,8,0,465093,,,W
play,8,0,451798,,,64(1)3/GDP/G6
play,8,1,451640,,,NP
sub,467771,Kris Gross,0,0,1
play,8,1,451640,,,S8/G
play,8,1,431143,,,S5/G.1-2
play,8,1,451588,,,46(1)3/GDP/G4.2-3
play,8,1,448605,,,W
play,8,1,451125,,,S9/G.1-3;3-H
play,8,1,473234,,,S3/G.1-2
play,8,1,464341,,,K
play,9,0,458245,,,NP
sub,456514,Mark Alexander,1,0,1
play,9,0,458245,,,S8/G
play,9,0,447638,,,6(1)3/G6/GDP
play,9,0,448692,,,S9/G
play,9,0,471069,,,W.1-2
play,9,0,445599,,,E3.1-3;2-H
play,9,0,459383,,,K
id,VerFSL200504150
info,visteam,DayFSL
info,hometeam,VerFSL
info,date,2005/04/15
start,448692,Chris Walker,0,1,8
start,471069,Carlos Rojas,0,2,6
start,445599,Scott Moore,0,3,5
start,460590,Brian Dopirak,0,4,3
start,459383,Kevin Collins,0,5,10
start,459718,JJ Johnson,0,6,9
start,456642,Drew Larsen,0,7,7
start,458245,Tony Richie,0,8,2
start,465093,Anthony Granato,0,9,4
start,448588,JR Mathes,0,0,1
start,473234,Tony Abreu,1,1,4
start,464341,Chin-lung Hu,1,2,6
start,449159,Anthony Raglani,1,3,7
start,451188,Andy LaRoche,1,4,5
start,448605,Justin Ruggiano,1,5,9
start,451588,Cory Dunlap,1,6,3
start,425767,Mike Nixon,1,7,10
start,454560,Andrew Ellis,1,8,2
start,451640,Ryan Russ,1,9,8
start,430629,Joel Hanrahan,1,0,1
play,1,0,448692,,,K
play,1,0,471069,,,E6
play,1,0,445599,,,W.1-2
play,1,0,460590,,,S7/L.1-2;2-3
play,1,0,459383,,,S9/L.1-2;2-H;3-H
play,1,0,459718,,,36(1)1/GDP/G3
play,1,1,473234,,,63/G
play,1,1,464341,,,W
