id,MidTEX200604160
info,visteam,CorTEX
info,hometeam,MidTEX
info,date,2006/04/16
play,1,1,456035,,,HP
play,1,1,450196,,,FC4/G.1X2(46)
play,2,0,444443,,,3/L
play,2,0,461258,,,K
play,2,0,461811,,,K
play,2,1,435559,,,S5/G
play,2,1,461759,,,S9/G.1-2
play,2,1,460183,,,31/G.1-2;2-3
play,2,1,460607,,,5/P
play,2,1,435561,,,T9/L.2-H;3-H;B-H
play,2,1,448590,,,63/G
play,3,0,450314,,,W
play,3,0,452254,,,9/F
play,3,0,407399,,,S6/G.1-3(E6)(E6/TH)
play,3,0,455650,,,9/SF.3-H
play,3,0,437912,,,53/G
play,3,1,445158,,,S9/L
play,3,1,456035,,,W.1-2
play,3,1,450196,,,7/F
play,3,1,435559,,,8/F
play,3,1,461759,,,13/G
play,4,0,277409,,,K23
play,4,0,444443,,,W
play,4,0,461258,,,CS2
play,4,0,461258,,,8/F
play,4,1,460183,,,43/G
play,4,1,460607,,,63/G
play,4,1,435561,,,63/G
play,5,0,461811,,,W
play,5,0,450314,,,SB2
play,5,0,450314,,,D9/L.2-H
play,5,0,452254,,,NP
sub,460571,David Bradley,1,0,1
play,5,0,452254,,,63/G
play,5,0,407399,,,D9/L.2-H
play,5,0,455650,,,WP.2-3
play,5,0,455650,,,9/SF.3-H
play,5,0,437912,,,9/F
play,5,1,448590,,,W
play,5,1,445158,,,D9/L.1-H
play,5,1,456035,,,W
play,5,1,450196,,,S9/G.1-2;2-3
play,5,1,435559,,,NP
sub,450249,Paul Estrada,0,0,1
play,5,1,435559,,,W.1-2;2-3;3-H
play,5,1,461759,,,K
play,5,1,460183,,,K
play,5,1,460607,,,W.1-2;2-3;3-H
play,5,1,435561,,,HR/F.1-H;2-H;3-H
play,5,1,448590,,,K
play,6,0,277409,,,W
play,6,0,444443,,,S7/G.1-2
play,6,0,461258,,,13/SH.1-2;2-3
play,6,0,461811,,,NP
sub,450195,Shawn Kohn,1,0,1
play,6,0,461811,,,8/SF.3-H
play,6,0,450314,,,43/G
play,6,1,445158,,,W
play,6,1,456035,,,S8/G.1-3
play,6,1,450196,,,S9/G.1-2;3-H
play,6,1,435559,,,6/P
play,6,1,461759,,,3/L
play,6,1,460183,,,K
play,7,0,452254,,,63/G
play,7,0,407399,,,K
play,7,0,455650,,,K
play,7,1,460607,,,NP
sub,449476,Blake Allen,0,0,1
play,7,1,460607,,,W
play,7,1,435561,,,K
play,7,1,448590,,,53/SH.1-2
play,7,1,445158,,,S9/G.2-H;B-2
play,7,1,456035,,,K
play,8,0,437912,,,NP
sub,455946,Justin Crowder,1,0,1
play,8,0,437912,,,E6
play,8,0,277409,,,K
play,8,0,444443,,,S7/L.1-3
play,8,0,461258,,,46(1)3/GDP/G4
play,8,1,450196,,,8/F
play,8,1,435559,,,D9/L
play,8,1,461759,,,7/F
play,8,1,460183,,,7/F
play,9,0,461811,,,NP
sub,469144,Tim Rall,1,0,1
play,9,0,461811,,,S8/L
play,9,0,450314,,,S8/L.1-2
play,9,0,452254,,,K+SB3
play,9,0,407399,,,7/SF.3-H
play,9,0,455650,,,9/F
id,MidTEX200604180
info,visteam,CorTEX
info,hometeam,MidTEX
info,date,2006/04/18
start,461811,Josh Anderson,0,1,8
start,450314,Ben Zobrist,0,2,6
start,452254,Hunter Pence,0,3,9
start,407399,J. R. House,0,4,2
start,455650,Josh Bonifay,0,5,5
start,437912,Derek Nicholson,0,6,10
start,433593,Jorge Cortes,0,7,7
start,456757,John Fagan,0,8,3
start,444443,Jonathan Ash,0,9,4
