id,BoiNWL200506260
info,visteam,EugNWL
info,hometeam,BoiNWL
info,date,2005/06/26
play,5,0,489245,,,K
play,5,0,455107,,,K
play,5,1,456989,,,S7/L
play,5,1,489356,,,WP.1-2
play,5,1,489356,,,8/F
play,5,1,488972,,,D8/F.2-H
play,5,1,470466,,,PB.2-3
play,5,1,470466,,,D9/L.3-H
play,5,1,488922,,,63/G.2-3
play,5,1,461861,,,D8/F.3-H
play,5,1,472505,,,S8/F.2-H
play,5,1,467061,,,NP
sub,488963,Brandon Higelin,0,0,1
play,5,1,467061,,,23/G
play,6,0,458516,,,W
play,6,0,488660,,,S7/L.1-2
play,6,0,460323,,,53/SH.1-2;2-3
play,6,0,488773,,,K
play,6,0,460026,,,W
play,6,0,489287,,,4/P
play,6,1,445208,,,W
play,6,1,456989,,,8/F
play,6,1,489356,,,8/F
play,6,1,488972,,,53/G
play,7,0,471055,,,NP
sub,451605,Scott Koerber,1,0,1
play,7,0,471055,,,6/P
play,7,0,489245,,,53/G
play,7,0,455107,,,53/G
play,7,1,470466,,,W
play,7,1,488922,,,FC1/G.1X2(16);B-1
play,7,1,461861,,,K
play,7,1,472505,,,8/F
play,8,0,458516,,,53/G
play,8,0,488660,,,W
play,8,0,460323,,,9/F
play,8,0,488773,,,43/G
play,8,1,467061,,,K
play,8,1,445208,,,43/G
play,8,1,456989,,,31/G
play,9,0,460026,,,K23
play,9,0,489287,,,K
play,9,0,471055,,,63/G
id,BoiNWL200506280
info,visteam,EugNWL
info,hometeam,BoiNWL
info,date,2005/06/28
start,488660,Joshua Alley,0,1,8
start,460323,Jodam Rivera,0,2,4
start,488773,Brian Cavanaugh,0,3,7
start,457698,Drew Davidson,0,4,10
start,489339,Chad Steiner,0,5,5
start,489714,Brandon Gottier,0,6,2
start,471055,Santiago Guerrero,0,7,9
start,455107,Daryl Jones,0,8,3
start,489245,Billy Richardson,0,9,6
start,488765,Brenton Carter,0,0,1
start,488922,David Gregg,1,1,8
start,461861,Mark Reed,1,2,2
start,453947,Chris Gaskin,1,3,3
start,489356,Brandon Taylor,1,4,5
start,473222,Carlos Quinones,1,5,10
start,448293,Alfred Joseph,1,6,7
start,472505,Jesus Valdez,1,7,9
start,488972,Scott Hode,1,8,4
start,460609,Jose Rios,1,9,6
start,448629,Michael Hyle,1,0,1
play,1,0,488660,,,63/G
play,1,0,460323,,,31/G
play,1,0,488773,,,63/G
play,1,1,488922,,,63/G
play,1,1,461861,,,K
play,1,1,453947,,,1/L
play,2,0,457698,,,S7/F
play,2,0,489339,,,64(1)3/GDP/G6
play,2,0,489714,,,13/G
play,2,1,489356,,,S7/F
play,2,1,473222,,,K
play,2,1,448293,,,D9/F.1-H
play,2,1,472505,,,8/F
play,2,1,488972,,,3/G
play,3,0,471055,,,K
play,3,0,455107,,,K
play,3,0,489245,,,13/G
play,3,1,460609,,,9/F
play,3,1,488922,,,S3/G
play,3,1,461861,,,6(1)3/G6/GDP
play,4,0,488660,,,13/G
play,4,0,460323,,,W
play,4,0,488773,,,E3/TH.1-2
play,4,0,457698,,,S7/F.1-3(E7)(E7);2-H;B-2
play,4,0,489339,,,43/G.2-3;3-H
play,4,0,489714,,,63/G
play,4,1,453947,,,9/F
play,4,1,489356,,,S9/F
play,4,1,473222,,,63/G.1-2
play,4,1,448293,,,9/F
play,5,0,471055,,,NP
sub,466995,Aleurys Lopez,1,0,1
play,5,0,471055,,,S7/F
play,5,0,455107,,,S9/F.1-3
play,5,0,489245,,,POCS2(136);3-H
play,5,0,489245,,,S5/G
