id,LanCAL200604140
info,visteam,RanCAL
info,hometeam,LanCAL
info,date,2006/04/14
play,4,0,452015,,,S9/G.2-H;3-H
play,4,0,450287,,,NP
sub,448162,Mark Rosen,1,0,1
play,4,0,450287,,,7/F
play,4,1,446868,,,31/G
play,4,1,471865,,,K
play,4,1,459446,,,8/F
play,5,0,457127,,,S7/L
play,5,0,444454,,,POCS2(136)
play,5,0,444454,,,53/G
play,5,0,456430,,,43/G
play,5,1,452759,,,S7/G
play,5,1,489277,,,FC5/G.1X2(54);B-1
play,5,1,448602,,,S7/L.1-3
play,5,1,446404,,,FC5/G.1X2(54);3-H;B-1
play,5,1,451576,,,3/PF
play,6,0,448257,,,4/L
play,6,0,4888889,,,K
play,6,0,461866,,,W
play,6,0,446479,,,K
play,6,1,473922,,,K
play,6,1,446868,,,43/G
play,6,1,471865,,,S9/G
play,6,1,459446,,,S8/G.1-2
play,6,1,452759,,,53/G
play,7,0,452015,,,NP
sub,448157,Ryan Coffin,1,0,1
play,7,0,452015,,,S7/G
play,7,0,450287,,,9/F
play,7,0,457127,,,64(1)3/GDP/G6
play,7,1,489277,,,S7/L
play,7,1,448602,,,D7/G.1-3
play,7,1,446404,,,D9/G.2-H;3-H
play,7,1,451576,,,NP
sub,457994,Micah Posey,0,0,1
play,7,1,451576,,,HP
play,7,1,473922,,,S1/BG.1-3;2-H;B-2
play,7,1,446868,,,W
play,7,1,471865,,,K
play,7,1,459446,,,K
play,7,1,452759,,,K
play,8,0,444454,,,7/F
play,8,0,456430,,,6/L
play,8,0,448257,,,5/L
play,8,1,489277,,,NP
sub,458546,Frederic DeLoizaga-Carney,0,0,1
play,8,1,489277,,,43/G
play,8,1,448602,,,8/F
play,8,1,446404,,,S9/L
play,8,1,451576,,,6/P
play,9,0,4888889,,,NP
sub,458220,Esmerling Vasquez,1,0,1
play,9,0,4888889,,,S8/L
play,9,0,461866,,,WP.1-2
play,9,0,461866,,,43/G.2-3
play,9,0,446479,,,S9/L.3-H
play,9,0,452015,,,S9/F.1-3
play,9,0,450287,,,S9/L.1-2;3-H
play,9,0,457127,,,K+CS3
play,9,1,473922,,,HR/F
play,9,1,446868,,,6/P
play,9,1,471865,,,7/F
play,9,1,459446,,,9/FF
id,LanCAL200604160
info,visteam,RanCAL
info,hometeam,LanCAL
info,date,2006/04/16
start,4888889,Cody Fuller,0,1,8
start,444454,Devin Day,0,2,6
start,461866,Freddy Sandoval,0,3,5
start,452015,Michael Collins,0,4,10
start,448263,Drew Toussaint,0,5,7
start,446479,Matthew Pali,0,6,9
start,452052,Ben Johnson,0,7,2
start,450287,Clifton Remole,0,8,3
start,456430,Nate Sutton,0,9,4
start,445932,Karl Gelinas,0,0,1
start,466988,Emilio Bonifacio,1,1,4
start,446868,Wilkin Castillo,1,2,2
start,473922,Chris Rahl,1,3,7
start,471865,Carlos Gonzalez,1,4,9
start,489277,Rusty Ryal,1,5,5
start,448146,Jereme Milons,1,6,8
start,446404,Joshua Ford,1,7,10
start,469085,Javier Brito,1,8,3
start,451576,Derek Bruce,1,9,6
start,453889,Matt Chico,1,0,1
play,1,0,4888889,,,43/G
play,1,0,444454,,,K
play,1,0,461866,,,9/F
play,1,1,466988,,,W
play,1,1,446868,,,4/P
play,1,1,473922,,,S7/F.1-2
play,1,1,471865,,,HR/F.1-H;2-H
play,1,1,489277,,,K
play,1,1,448146,,,K
play,2,0,452015,,,S9/F
play,2,0,448263,,,9/F
play,2,0,446479,,,8/F
play,2,0,452052,,,HR/F.1-H
play,2,0,450287,,,43/G
play,2,1,446404,,,9/F
play,2,1,469085,,,W
play,2,1,451576,,,54(1)3/GDP/G5
play,3,0,456430,,,S7/L
play,3,0,4888889,,,S8/F.1-2
play,3,0,444454,,,W.1-2;2-3
play,3,0,461866,,,K
play,3,0,452015,,,43/G.1-2;2-3;3-H
play,3,0,448263,,,K
play,3,1,466988,,,7/L
play,3,1,446868,,,S9/G
play,3,1,473922,,,7/L
play,3,1,471865,,,HR/F.1-H
play,3,1,489277,,,T8/F
play,3,1,448146,,,8/F
play,4,0,446479,,,9/F
play,4,0,452052,,,8/F
play,4,0,450287,,,S5/BG
play,4,0,456430,,,PB.1-2
play,4,0,456430,,,43/G
play,4,1,446404,,,S8/G
play,4,1,469085,,,CS2
play,4,1,469085,,,S1/G
play,4,1,451576,,,S8/L.1-2
play,4,1,466988,,,8/F
play,4,1,446868,,,43/G
play,5,0,4888889,,,7/F
play,5,0,444454,,,K
play,5,0,461866,,,K
play,5,1,473922,,,S6/G
play,5,1,471865,,,5/PF
play,5,1,489277,,,OA.1X2(26)
play,5,1,489277,,,63/G
play,6,0,452015,,,S9/F.B-2(E9)
play,6,0,448263,,,K
play,6,0,446479,,,WP.2-3
play,6,0,446479,,,S9/G.3-H
play,6,0,452052,,,NP
sub,446938,Hipolito Guerrero,1,0,1
play,6,0,452052,,,5/PF
play,6,0,450287,,,43/G
play,6,1,448146,,,D8/F
play,6,1,446404,,,HR/F.2-H
play,6,1,469085,,,NP
sub,445229,Joseph Torres,0,0,1
play,6,1,469085,,,8/L
play,6,1,451576,,,D7/L
play,6,1,466988,,,9/F.2-3
play,6,1,446868,,,7/F
play,7,0,456430,,,7/F
play,7,0,4888889,,,7/F
play,7,0,444454,,,9/F
play,7,1,473922,,,NP
sub,456068,Miguel Gonzalez,0,0,1
play,7,1,473922,,,43/G
play,7,1,471865,,,4/L
play,7,1,489277,,,3/P
play,8,0,461866,,,NP
sub,458220,Esmerling Vasquez,1,0,1
play,8,0,461866,,,K
play,8,0,452015,,,K
play,8,0,448263,,,K
play,8,1,448146,,,NP
sub,448178,Kevin Jepsen,0,0,1
play,8,1,448146,,,63/G
play,8,1,446404,,,W
play,8,1,469085,,,W.1-2
play,8,1,451576,,,FC4/G.1X2(4);2-3;B-1(E6/TH)
play,8,1,466988,,,K
play,9,0,446479,,,NP
sub,450524,Matt Elliott,1,0,1
play,9,0,446479,,,7/F
play,9,0,452052,,,K
play,9,0,450287,,,E5
play,9,0,456430,,,S8/G.1-2
play,9,0,4888889,,,D9/L.1-3;2-H
play,9,0,444454,,,K
id,LanCAL200604180
info,visteam,ModCAL
info,hometeam,LanCAL
info,date,2006/04/18
start,489432,Corey Wimberly,0,1,4
start,460253,Justin Nelson,0,2,7
start,444961,Matthew Miller,0,3,10
start,458640,Doc Brooks,0,4,9
start,451494,Neil Wilson,0,5,2
start,468406,Jonathan Herrera,0,6,6
start,457908,Jeffrey Dragicevich,0,7,3
start,471014,Sandy Almonte,0,8,5
start,488888,Christopher Frey,0,9,8
start,465679,Samuel Deduno,0,0,1
start,473922,Chris Rahl,1,1,7
start,466988,Emilio Bonifacio,1,2,4
start,471865,Carlos Gonzalez,1,3,9
start,459446,Cesar Nicolas,1,4,3
start,452759,Brandon Burgess,1,5,10
start,448602,Mark Reynolds,1,6,5
start,448146,Jereme Milons,1,7,8
start,446404,Joshua Ford,1,8,2
start,451576,Derek Bruce,1,9,6
start,450295,A. Shappi,1,0,1
play,1,0,489432,,,S4/G
play,1,0,460253,,,CS2
play,1,0,460253,,,K
play,1,0,444961,,,K
play,1,1,473922,,,43/G
play,1,1,466988,,,63/G
play,1,1,471865,,,K23
play,2,0,458640,,,D7/F
play,2,0,451494,,,D7/F.2-H
play,2,0,468406,,,S9/F
play,2,0,457908,,,14/SH.1-2;2-3
play,2,0,471014,,,W
play,2,0,488888,,,K
play,2,0,489432,,,7/F
play,2,1,459446,,,9/F
play,2,1,452759,,,S8/G
play,2,1,448602,,,SB2
play,2,1,448602,,,SB3
play,2,1,448602,,,9/SF.3-H
play,2,1,448146,,,K
play,3,0,460253,,,7/F
play,3,0,444961,,,D8/F
play,3,0,458640,,,63/G
play,3,0,451494,,,S8/G.2-H
play,3,0,468406,,,7/F
play,3,1,446404,,,K
play,3,1,451576,,,K23
play,3,1,473922,,,D8/F
play,3,1,466988,,,S8/L.2-H
play,3,1,471865,,,S6/G.1-3
play,3,1,459446,,,SBH;SB2
play,3,1,459446,,,K
play,4,0,457908,,,W
play,4,0,471014,,,T8/F.1-H
play,4,0,488888,,,8/SF.3-H
play,4,0,489432,,,S8/G
play,4,0,460253,,,9/F.?X?(93)
play,4,1,452759,,,S4/G
play,4,1,448602,,,CS2
play,4,1,448602,,,K
play,4,1,448146,,,6/L
play,5,0,444961,,,3/G
play,5,0,458640,,,K
play,5,0,451494,,,K
play,5,1,446404,,,63/G
play,5,1,451576,,,9/F
play,5,1,473922,,,13/BG
play,6,0,468406,,,7/F
play,6,0,457908,,,S9/L.BX2(936)
play,6,0,471014,,,K
play,6,1,466988,,,7/F
play,6,1,471865,,,S9/G
play,6,1,459446,,,S8/L.1-2
play,6,1,452759,,,S9/G.1-2;2-3
play,6,1,448602,,,8/SF.3-H
play,6,1,448146,,,K
play,7,0,488888,,,NP
sub,448162,Mark Rosen,1,0,1
play,7,0,488888,,,W
play,7,0,489432,,,SB2
play,7,0,489432,,,K
play,7,0,460253,,,53/G.2-3
play,7,0,444961,,,NP
sub,458220,Esmerling Vasquez,1,0,1
play,7,0,444961,,,S8/L.3-H
play,7,0,458640,,,WP.1-2
play,7,0,458640,,,W
play,7,0,451494,,,6/P
play,7,1,446404,,,NP
sub,451799,Darric Merrell,0,0,1
play,7,1,446404,,,53/G
play,7,1,451576,,,D9/F
play,7,1,473922,,,S7/G.2-3
play,7,1,466988,,,W.1-2
play,7,1,471865,,,NP
sub,460374,Adam Bright,0,0,1
play,7,1,471865,,,64(1)3/GDP/G6
play,8,0,468406,,,3/G
play,8,0,457908,,,K
play,8,0,471014,,,E7.B-2
play,8,0,488888,,,W
play,8,0,489432,,,FC6/G.1X2(64)
play,8,1,459446,,,S6/G
play,8,1,452759,,,NP
sub,489277,Rusty Ryal,1,4,12
play,8,1,452759,,,K
play,8,1,448602,,,SB2
play,8,1,448602,,,W
play,8,1,448146,,,NP
sub,459439,Jarrett Grube,0,0,1
play,8,1,448146,,,WP.1-2(E2/TH);2-H
play,8,1,448146,,,K
play,8,1,446404,,,S9/F.2-H
play,8,1,451576,,,NP
sub,446868,Wilkin Castillo,1,8,12
play,8,1,451576,,,FC6/G.1X2(64)
play,9,0,460253,,,NP
sub,489277,Rusty Ryal,1,4,5
play,9,0,444961,,,NP
sub,448602,Mark Reynolds,1,6,3
play,9,0,458640,,,NP
sub,446868,Wilkin Castillo,1,8,2
play,9,0,451494,,,NP
sub,450524,Matt Elliott,1,0,1
play,9,0,460253,,,3/G
play,9,0,444961,,,S9/F
play,9,0,458640,,,46(1)3/GDP/G4
id,LanCAL200604190
info,visteam,ModCAL
info,hometeam,LanCAL
info,date,2006/04/19
start,489432,Corey Wimberly,0,1,4
start,457908,Jeffrey Dragicevich,0,2,5
start,444961,Matthew Miller,0,3,8
start,458640,Doc Brooks,0,4,9
start,451494,Neil Wilson,0,5,2
start,468406,Jonathan Herrera,0,6,6
start,457555,Kyle Wilson,0,7,10
start,454550,Duke Sardinha,0,8,3
start,488888,Christopher Frey,0,9,7
start,465615,Ching-Lung Lo,0,0,1
start,473922,Chris Rahl,1,1,8
start,446868,Wilkin Castillo,1,2,2
start,452759,Brandon Burgess,1,3,7
start,471865,Carlos Gonzalez,1,4,9
start,459446,Cesar Nicolas,1,5,3
start,489277,Rusty Ryal,1,6,6
start,448602,Mark Reynolds,1,7,5
start,469085,Javier Brito,1,8,10
start,466988,Emilio Bonifacio,1,9,4
start,460105,Gregory Smith,1,0,1
play,1,0,489432,,,D7/L
play,1,0,457908,,,S1/G.2-3
play,1,0,444961,,,W.1-2
play,1,0,458640,,,K
play,1,0,451494,,,S7/G.1-3;2-H;3-H
play,1,0,468406,,,FC3/G.1X2(36);B-1
play,1,0,placeholder,,,PO1(13)
play,1,1,473922,,,4/P
play,1,1,446868,,,9/F
